Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Jorge López,2022-07-09,BAL,LAA,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,0,0,0,0,0,0,1,0,0,2,
Jorge López,2022-07-07,BAL,LAA,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Jorge López,2022-07-06,BAL,TEX,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Jorge López,2022-07-04,BAL,TEX,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,1,1,0,0,0,0,2,
Jorge López,2022-07-02,BAL,@MIN,0,0,1,54.00,1,0,0,0,0,0,1,0.1,5,4,2,2,1,0,0,0,0,0,1,
Jorge López,2022-07-01,BAL,@MIN,0,0,1,18.00,1,0,0,0,0,0,1,0.0,2,2,2,2,1,0,0,0,0,0,0,
Jorge López,2022-06-29,BAL,@SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,1,0,0,0,1,3,
Jorge López,2022-06-24,BAL,@CHW,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Jorge López,2022-06-23,BAL,@CHW,0,0,0,0.00,1,0,0,0,1,0,0,0.2,2,0,0,0,0,0,0,0,0,0,2,
Jorge López,2022-06-19,BAL,TBR,0,0,0,0.00,1,0,0,0,1,0,0,1.1,5,1,0,0,0,0,0,0,0,1,0,
Jorge López,2022-06-17,BAL,TBR,0,0,0,0.00,1,0,0,0,1,0,0,1.1,5,1,0,0,0,0,0,0,0,0,4,
Jorge López,2022-06-15,BAL,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Jorge López,2022-06-14,BAL,@TOR,0,0,0,0.00,1,0,0,0,1,0,0,1.2,5,0,0,0,0,0,0,0,1,0,1,
Jorge López,2022-06-11,BAL,@KCR,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Jorge López,2022-06-10,BAL,@KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Jorge López,2022-06-04,BAL,CLE,0,0,0,0.00,1,0,0,0,1,0,0,1.1,5,0,0,0,0,0,0,1,0,0,1,
Jorge López,2022-06-02,BAL,SEA,0,0,1,0.00,1,0,0,0,0,0,0,2.1,9,1,1,0,0,0,0,1,0,0,2,
