Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Josh Rogers,2022-06-02,WSN,@CIN,0,0,0,27.00,1,0,0,0,0,0,0,0.2,4,1,2,2,1,1,0,0,0,0,0,
Josh Rogers,2022-06-01,WSN,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Josh Rogers,2022-05-30,WSN,@NYM,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,0,
Josh Rogers,2022-05-24,WSN,LAD,0,0,0,5.40,1,0,0,0,0,0,0,1.2,10,2,1,1,0,3,0,0,0,0,0,
Josh Rogers,2022-05-22,WSN,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,0,
Josh Rogers,2022-05-21,WSN,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Josh Rogers,2022-05-14,WSN,HOU,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Josh Rogers,2022-05-13,WSN,HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Josh Rogers,2022-05-08,WSN,@LAA,0,0,0,54.00,1,0,0,0,0,1,0,0.1,3,1,2,2,0,1,0,0,0,0,0,
Josh Rogers,2022-05-05,WSN,@COL,0,0,0,5.40,1,0,0,0,0,0,0,1.2,6,1,1,1,1,0,0,0,0,0,3,
Josh Rogers,2022-04-30,WSN,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,0,
Josh Rogers,2022-04-28,WSN,MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Josh Rogers,2022-04-24,WSN,SFG,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,0,
Josh Rogers,2022-04-21,WSN,ARI,1,0,1,8.31,1,1,0,0,0,0,0,4.1,20,6,4,4,3,1,0,0,0,0,2,23
Josh Rogers,2022-04-16,WSN,@PIT,1,0,1,6.23,1,1,0,0,0,0,0,4.1,20,6,3,3,0,2,0,0,0,0,2,42
Josh Rogers,2022-04-11,WSN,@ATL,1,1,0,1.69,1,1,0,0,0,0,0,5.1,20,2,1,1,0,2,0,0,0,0,3,63
Josh Rogers,2021-10-01,WSN,BOS,1,0,1,6.00,1,1,0,0,0,0,0,6.0,27,7,4,4,2,3,0,0,0,0,3,35
Josh Rogers,2021-09-26,WSN,@CIN,1,0,1,5.79,1,1,0,0,0,0,0,4.2,25,7,3,3,2,4,0,0,0,0,3,28
Josh Rogers,2021-09-21,WSN,@MIA,1,1,0,1.17,1,1,0,0,0,0,0,7.2,29,5,1,1,1,2,0,0,0,0,4,67
Josh Rogers,2021-09-15,WSN,MIA,1,0,0,0.00,1,1,0,0,0,0,0,5.0,19,1,0,0,0,1,0,2,0,0,6,72
Josh Rogers,2021-09-10,WSN,@PIT,1,0,0,2.70,1,1,0,0,0,0,0,6.2,27,8,2,2,1,1,0,0,0,0,1,51
Josh Rogers,2021-09-04,WSN,NYM,1,1,0,4.76,1,1,0,0,0,0,0,5.2,24,4,3,3,1,3,0,0,0,0,5,50
