Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Kendall Graveman,2022-07-10,CHW,DET,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Kendall Graveman,2022-07-06,CHW,MIN,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,1,0,0,0,0,0,0,
Kendall Graveman,2022-07-04,CHW,MIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Kendall Graveman,2022-07-02,CHW,@SFG,0,0,0,9.00,1,0,0,0,1,0,0,1.0,6,3,1,1,0,0,0,0,0,0,0,
Kendall Graveman,2022-07-01,CHW,@SFG,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Kendall Graveman,2022-06-29,CHW,@LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Kendall Graveman,2022-06-26,CHW,BAL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,7,1,2,0,0,1,0,0,0,0,2,
Kendall Graveman,2022-06-21,CHW,TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,1,0,0,1,0,0,0,0,2,
Kendall Graveman,2022-06-20,CHW,TOR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Kendall Graveman,2022-06-13,CHW,@DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Kendall Graveman,2022-06-12,CHW,TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Kendall Graveman,2022-06-10,CHW,TEX,0,1,0,9.00,1,0,0,0,0,0,1,1.0,5,2,1,1,1,0,0,0,0,0,2,
Kendall Graveman,2022-06-07,CHW,LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,2,0,0,0,0,0,0,0,0,0,
Kendall Graveman,2022-06-05,CHW,@TBR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Kendall Graveman,2022-06-04,CHW,@TBR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,6,2,0,0,0,1,0,0,0,0,1,
Kendall Graveman,2022-05-29,CHW,CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Kendall Graveman,2022-05-25,CHW,BOS,0,0,0,0.00,1,0,0,0,0,1,0,0.1,3,1,0,0,0,1,0,0,0,0,0,
Kendall Graveman,2022-05-22,CHW,@NYY,0,1,0,9.00,1,0,0,0,0,0,1,1.0,6,2,1,1,1,1,1,0,0,0,0,
Kendall Graveman,2022-05-21,CHW,@NYY,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Kendall Graveman,2022-05-19,CHW,@KCR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Kendall Graveman,2022-05-16,CHW,@KCR,0,0,0,27.00,1,0,0,0,0,0,1,1.0,6,4,3,3,0,0,0,0,0,0,1,
Kendall Graveman,2022-05-14,CHW,NYY,0,0,0,0.00,1,0,0,0,0,1,0,2.0,6,1,0,0,0,0,0,0,0,0,2,
Kendall Graveman,2022-05-10,CHW,CLE,0,0,0,0.00,1,0,0,0,1,0,0,1.0,5,1,0,0,0,1,0,0,0,0,0,
Kendall Graveman,2022-05-06,CHW,@BOS,0,0,0,9.00,1,0,0,0,0,1,0,1.0,6,3,1,1,0,0,0,0,0,0,1,
Kendall Graveman,2022-05-04,CHW,@CHC,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Kendall Graveman,2022-05-02,CHW,LAA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Kendall Graveman,2022-04-30,CHW,LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,2,
Kendall Graveman,2022-04-27,CHW,KCR,0,0,0,0.00,1,0,0,0,1,0,0,2.0,6,0,0,0,0,0,0,0,0,0,4,
Kendall Graveman,2022-04-24,CHW,@MIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,6,0,0,0,0,3,0,0,0,0,0,
Kendall Graveman,2022-04-22,CHW,@MIN,0,0,1,6.75,1,0,0,0,0,0,1,1.1,7,2,2,1,0,1,0,0,1,0,1,
Kendall Graveman,2022-04-21,CHW,@CLE,0,0,0,27.00,1,0,0,0,0,0,0,0.1,4,2,2,1,0,0,0,0,0,0,0,
Kendall Graveman,2022-04-15,CHW,TBR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Kendall Graveman,2022-04-13,CHW,SEA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Kendall Graveman,2022-04-12,CHW,SEA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Kendall Graveman,2022-04-10,CHW,@DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Kendall Graveman,2022-04-08,CHW,@DET,0,0,0,0.00,1,0,0,0,0,1,0,1.2,5,1,0,0,0,0,0,0,0,0,1,
Kendall Graveman,2021-10-02,HOU,OAK,0,0,0,9.00,1,0,0,0,0,0,0,1.0,6,2,1,1,0,1,0,0,0,0,2,
Kendall Graveman,2021-09-30,HOU,TBR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,1,0,0,1,
Kendall Graveman,2021-09-25,HOU,@OAK,0,0,0,0.00,1,0,0,0,0,0,1,1.1,8,2,0,0,0,2,0,0,0,0,3,
Kendall Graveman,2021-09-22,HOU,@LAA,0,0,0,0.00,1,0,0,0,0,0,1,0.2,4,1,0,0,0,1,1,0,0,0,0,
Kendall Graveman,2021-09-17,HOU,ARI,0,0,0,9.00,1,0,0,0,0,0,1,1.0,4,2,1,1,0,1,0,0,0,0,0,
Kendall Graveman,2021-09-15,HOU,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Kendall Graveman,2021-09-12,HOU,LAA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Kendall Graveman,2021-09-08,HOU,SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,1,0,1,
Kendall Graveman,2021-09-07,HOU,SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Kendall Graveman,2021-09-05,HOU,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,1,
Kendall Graveman,2021-09-03,HOU,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,0.2,5,0,0,0,0,3,0,0,0,0,1,
Kendall Graveman,2021-08-31,HOU,@SEA,0,0,1,108.00,1,0,0,0,0,0,0,0.1,5,2,4,4,1,1,0,1,0,0,1,
Kendall Graveman,2021-08-28,HOU,@TEX,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,1,0,0,0,1,0,0,0,0,0,
Kendall Graveman,2021-08-25,HOU,KCR,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Kendall Graveman,2021-08-24,HOU,KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Kendall Graveman,2021-08-22,HOU,SEA,0,0,0,9.00,1,0,0,0,0,1,0,1.0,5,2,1,1,0,0,0,0,0,0,2,
Kendall Graveman,2021-08-18,HOU,@KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.2,6,1,0,0,0,0,0,1,0,0,1,
Kendall Graveman,2021-08-13,HOU,@LAA,0,0,0,9.00,1,0,0,0,0,0,0,1.0,6,2,1,1,0,0,0,1,0,0,1,
Kendall Graveman,2021-08-11,HOU,COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Kendall Graveman,2021-08-07,HOU,MIN,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Kendall Graveman,2021-08-06,HOU,MIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Kendall Graveman,2021-08-03,HOU,@LAD,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,1,0,0,0,0,0,1,0,0,2,
Kendall Graveman,2021-07-30,HOU,@SFG,0,0,0,0.00,1,0,0,0,0,1,0,1.1,4,0,0,0,0,0,0,0,0,0,3,
Kendall Graveman,2021-07-26,SEA,HOU,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Kendall Graveman,2021-07-24,SEA,OAK,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Kendall Graveman,2021-07-23,SEA,OAK,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Kendall Graveman,2021-07-20,SEA,@COL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Kendall Graveman,2021-07-16,SEA,@LAA,0,0,0,0.00,1,0,0,0,0,0,0,0.2,6,3,3,0,0,0,0,0,0,0,2,
Kendall Graveman,2021-07-09,SEA,LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Kendall Graveman,2021-07-08,SEA,NYY,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,1,0,0,0,
Kendall Graveman,2021-07-04,SEA,TEX,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Kendall Graveman,2021-07-02,SEA,TEX,0,0,0,0.00,1,0,0,0,0,0,1,1.0,5,1,1,0,0,0,0,0,0,0,2,
Kendall Graveman,2021-06-30,SEA,@TOR,0,1,0,0.00,1,0,0,0,0,0,0,1.2,5,0,0,0,0,1,0,0,0,0,0,
Kendall Graveman,2021-06-26,SEA,@CHW,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Kendall Graveman,2021-06-22,SEA,COL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Kendall Graveman,2021-06-19,SEA,TBR,0,0,0,9.00,1,0,0,0,0,0,1,1.0,4,1,1,1,1,0,0,0,0,0,1,
Kendall Graveman,2021-06-18,SEA,TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Kendall Graveman,2021-06-13,SEA,@CLE,0,0,0,9.00,1,0,0,0,0,0,0,1.0,6,1,1,1,0,1,0,1,1,0,1,
Kendall Graveman,2021-06-12,SEA,@CLE,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,2,1,1,1,0,0,0,0,0,0,
Kendall Graveman,2021-05-16,SEA,CLE,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Kendall Graveman,2021-05-14,SEA,CLE,0,0,0,0.00,1,0,0,0,0,1,0,1.1,5,1,0,0,0,0,0,0,0,0,0,
Kendall Graveman,2021-05-07,SEA,@TEX,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,3,
Kendall Graveman,2021-05-04,SEA,BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.2,6,0,0,0,0,1,0,0,1,0,1,
Kendall Graveman,2021-05-02,SEA,LAA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Kendall Graveman,2021-04-29,SEA,@HOU,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
