Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Kyle Gibson,2022-07-09,PHI,@STL,1,0,0,0.00,1,1,0,0,0,0,0,7.0,23,2,0,0,0,0,0,0,0,0,5,82
Kyle Gibson,2022-07-02,PHI,STL,1,0,0,13.50,1,1,0,0,0,0,0,4.0,23,7,6,6,4,2,0,2,0,0,2,5
Kyle Gibson,2022-06-26,PHI,@SDP,1,0,0,16.88,1,1,0,0,0,0,0,2.2,17,4,5,5,0,3,0,2,0,0,2,28
Kyle Gibson,2022-06-21,PHI,@TEX,1,0,1,4.26,1,1,0,0,0,0,0,6.1,24,7,3,3,2,0,0,0,0,0,4,46
Kyle Gibson,2022-06-15,PHI,MIA,1,0,0,1.13,1,1,0,0,0,0,0,8.0,29,7,1,1,1,0,0,0,0,0,6,70
Kyle Gibson,2022-06-10,PHI,ARI,1,1,0,4.50,1,1,0,0,0,0,0,6.0,25,4,3,3,1,3,0,0,0,0,4,50
Kyle Gibson,2022-06-05,PHI,LAA,1,0,0,13.50,1,1,0,0,0,0,0,3.1,17,6,5,5,0,2,0,0,0,0,3,31
Kyle Gibson,2022-05-30,PHI,SFG,1,0,0,3.00,1,1,0,0,0,0,0,6.0,24,3,2,2,1,1,0,2,0,0,4,59
Kyle Gibson,2022-05-24,PHI,@ATL,1,0,0,3.60,1,1,0,0,0,0,0,5.0,22,7,2,2,0,1,0,0,0,0,8,55
Kyle Gibson,2022-05-19,PHI,SDP,1,0,1,3.18,1,1,0,0,0,0,0,5.2,25,8,2,2,0,0,0,0,0,0,7,58
Kyle Gibson,2022-05-13,PHI,@LAD,1,0,0,14.73,1,1,0,0,0,0,0,3.2,20,8,6,6,1,1,0,0,0,0,1,20
Kyle Gibson,2022-05-08,PHI,NYM,1,1,0,3.00,1,1,0,0,0,0,0,6.0,21,6,2,2,0,0,0,0,0,0,3,60
Kyle Gibson,2022-04-30,PHI,@NYM,1,0,0,0.00,1,1,0,0,0,0,0,4.1,22,2,1,0,0,5,0,0,1,0,3,51
Kyle Gibson,2022-04-25,PHI,COL,1,1,0,3.18,1,1,0,0,0,0,0,5.2,21,3,2,2,2,2,0,0,0,0,4,49
Kyle Gibson,2022-04-19,PHI,@COL,1,0,0,4.50,1,1,0,0,0,0,0,6.0,26,6,3,3,0,2,0,0,0,0,3,53
Kyle Gibson,2022-04-14,PHI,@MIA,1,0,1,7.71,1,1,0,0,0,0,0,4.2,21,5,4,4,1,3,0,0,0,0,6,39
Kyle Gibson,2022-04-09,PHI,OAK,1,1,0,0.00,1,1,0,0,0,0,0,7.0,22,2,0,0,0,0,0,0,0,0,10,87
Kyle Gibson,2021-09-30,PHI,@ATL,1,0,1,8.31,1,1,0,0,0,0,0,4.1,21,4,5,4,2,2,0,1,0,0,8,35
Kyle Gibson,2021-09-24,PHI,PIT,1,0,0,6.00,1,1,0,0,0,0,0,6.0,24,3,4,4,0,2,0,1,0,0,6,60
Kyle Gibson,2021-09-19,PHI,@NYM,1,0,1,4.05,1,1,0,0,0,0,0,6.2,27,7,3,3,1,1,0,0,0,0,9,58
Kyle Gibson,2021-09-14,PHI,CHC,1,0,1,7.20,1,1,0,0,0,0,0,5.0,20,5,4,4,2,0,0,0,0,0,7,43
Kyle Gibson,2021-09-08,PHI,@MIL,1,0,0,5.79,1,1,0,0,0,0,0,4.2,25,7,3,3,0,4,0,0,0,0,5,42
Kyle Gibson,2021-09-03,PHI,@MIA,1,0,1,13.50,1,1,0,0,0,0,0,5.1,24,8,8,8,1,2,1,0,0,1,4,26
Kyle Gibson,2021-08-28,PHI,ARI,1,1,0,0.00,1,1,0,0,0,0,0,6.0,21,3,0,0,0,0,0,0,0,0,3,73
Kyle Gibson,2021-08-22,PHI,@SDP,1,1,0,1.13,1,1,0,0,0,0,0,8.0,30,6,1,1,0,1,0,0,0,0,3,74
