Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Lance Lynn,2022-07-11,CHW,@CLE,1,0,1,18.00,1,1,0,0,0,0,0,4.0,25,9,8,8,0,2,0,2,0,0,3,20
Lance Lynn,2022-07-06,CHW,MIN,1,0,0,9.00,1,1,0,0,0,0,0,5.0,23,6,5,5,1,2,0,0,1,0,4,36
Lance Lynn,2022-07-01,CHW,@SFG,1,0,0,0.00,1,1,0,0,0,0,0,6.0,23,3,0,0,0,2,0,0,0,0,5,70
Lance Lynn,2022-06-25,CHW,BAL,1,0,1,6.75,1,1,0,0,0,0,0,6.2,29,6,6,5,1,1,0,2,0,0,8,49
Lance Lynn,2022-06-20,CHW,TOR,1,1,0,5.40,1,1,0,0,0,0,0,5.0,22,4,5,3,1,2,0,0,0,0,5,41
Lance Lynn,2022-06-13,CHW,@DET,1,0,0,6.23,1,1,0,0,0,0,0,4.1,22,10,3,3,1,0,0,0,0,0,4,34
Lance Lynn,2021-10-01,CHW,DET,1,1,0,1.80,1,1,0,0,0,0,0,5.0,18,4,1,1,0,1,0,0,0,0,4,62
Lance Lynn,2021-09-25,CHW,@CLE,1,0,1,9.00,1,1,0,0,0,0,0,6.0,25,7,6,6,2,0,0,0,0,0,6,39
Lance Lynn,2021-09-18,CHW,@TEX,1,0,1,1.69,1,1,0,0,0,0,0,5.1,24,6,2,1,0,2,0,0,0,0,5,56
Lance Lynn,2021-09-12,CHW,BOS,1,0,0,0.00,1,1,0,0,0,0,0,5.0,17,2,0,0,0,0,0,0,0,0,9,76
Lance Lynn,2021-08-28,CHW,CHC,1,0,1,12.60,1,1,0,0,0,0,0,5.0,24,7,7,7,3,2,0,0,0,0,7,21
Lance Lynn,2021-08-23,CHW,@TOR,1,0,0,1.29,1,1,0,0,0,0,0,7.0,26,4,1,1,0,0,0,0,0,0,4,76
Lance Lynn,2021-08-18,CHW,OAK,1,0,0,2.25,1,1,0,0,0,0,0,4.0,19,4,1,1,1,3,0,0,1,0,4,46
Lance Lynn,2021-08-12,CHW,NYY,1,0,0,7.20,1,1,0,0,0,0,0,5.0,22,4,4,4,2,2,0,0,0,0,7,42
Lance Lynn,2021-08-06,CHW,@CHC,1,0,0,1.50,1,1,0,0,0,0,0,6.0,24,4,1,1,0,2,0,0,0,0,8,70
Lance Lynn,2021-07-30,CHW,CLE,1,0,0,5.40,1,1,0,0,0,0,0,5.0,23,7,3,3,0,1,0,1,0,0,7,53
Lance Lynn,2021-07-25,CHW,@MIL,1,1,0,1.50,1,1,0,0,0,0,0,6.0,24,6,1,1,0,0,0,0,0,0,6,68
Lance Lynn,2021-07-19,CHW,MIN,1,0,0,1.29,1,1,0,0,0,0,0,7.0,27,5,1,1,1,1,0,0,0,0,4,66
Lance Lynn,2021-07-07,CHW,@MIN,1,1,0,1.50,1,1,0,0,0,0,0,6.0,25,4,1,1,1,3,0,0,1,0,6,60
Lance Lynn,2021-07-02,CHW,@DET,1,1,0,1.50,1,1,0,0,0,0,0,6.0,27,4,1,1,0,5,1,0,1,0,9,65
Lance Lynn,2021-06-26,CHW,SEA,1,0,0,0.00,1,1,0,0,0,0,0,3.0,10,0,0,0,0,2,0,0,0,0,4,59
Lance Lynn,2021-06-19,CHW,@HOU,1,0,1,13.50,1,1,0,0,0,0,0,4.0,21,8,6,6,0,1,0,0,1,0,6,35
Lance Lynn,2021-06-14,CHW,TBR,1,0,1,4.50,1,1,0,0,0,0,0,6.0,25,6,3,3,2,3,0,0,0,0,8,46
Lance Lynn,2021-06-09,CHW,TOR,1,0,0,1.29,1,1,0,0,0,0,0,7.0,25,4,1,1,1,0,0,0,0,0,9,75
Lance Lynn,2021-06-03,CHW,DET,1,1,0,1.50,1,1,0,0,0,0,0,6.0,23,4,1,1,1,2,0,0,0,0,6,62
Lance Lynn,2021-05-29,CHW,BAL,1,1,0,0.00,1,1,0,0,0,0,0,5.0,19,3,0,0,0,0,0,0,0,0,7,72
Lance Lynn,2021-05-24,CHW,STL,1,1,0,0.00,1,1,0,0,0,0,0,7.0,27,2,1,0,0,3,0,1,0,0,4,74
Lance Lynn,2021-05-18,CHW,@MIN,1,0,0,3.00,1,1,0,0,0,0,0,6.0,25,5,2,2,2,1,0,0,0,0,2,49
Lance Lynn,2021-05-13,CHW,MIN,1,1,0,0.00,1,1,0,0,0,0,0,5.0,24,2,1,0,0,3,1,0,1,0,9,67
Lance Lynn,2021-05-08,CHW,@KCR,1,1,0,0.00,1,1,0,0,0,0,0,5.0,20,1,0,0,0,4,0,0,0,0,6,67
Lance Lynn,2021-05-01,CHW,CLE,1,1,0,5.40,1,1,0,0,0,0,0,5.0,20,4,3,3,1,2,0,0,0,0,2,46
Lance Lynn,2021-04-15,CHW,CLE,1,0,1,3.00,1,1,0,0,0,0,0,6.0,23,5,2,2,1,0,0,0,0,0,10,65
Lance Lynn,2021-04-08,CHW,KCR,1,1,0,0.00,1,1,1,1,0,0,0,9.0,32,5,0,0,0,0,0,0,0,0,11,96
Lance Lynn,2021-04-03,CHW,@LAA,1,0,0,0.00,1,1,0,0,0,0,0,4.2,22,6,2,0,0,2,0,0,0,0,6,53
Lance Lynn,2020-09-24,TEX,HOU,1,0,1,14.29,1,1,0,0,0,0,0,5.2,31,12,10,9,3,2,0,0,0,0,5,5
Lance Lynn,2020-09-19,TEX,@LAA,1,0,0,3.86,1,1,0,0,0,0,0,7.0,27,7,3,3,1,0,0,0,1,0,5,60
Lance Lynn,2020-09-13,TEX,OAK,1,1,0,1.29,1,1,0,0,0,0,0,7.0,26,3,1,1,0,2,0,0,0,0,10,81
Lance Lynn,2020-09-08,TEX,LAA,1,1,0,1.29,1,1,0,0,0,0,0,7.0,28,4,1,1,1,2,0,3,1,0,6,69
Lance Lynn,2020-09-03,TEX,@HOU,1,0,1,9.00,1,1,0,0,0,0,0,6.0,30,8,6,6,2,2,0,2,0,0,7,35
Lance Lynn,2020-08-29,TEX,LAD,1,0,1,4.50,1,1,0,0,0,0,0,6.0,26,5,4,3,1,3,0,0,0,0,6,50
Lance Lynn,2020-08-24,TEX,OAK,1,1,0,3.00,1,1,0,0,0,0,0,6.0,26,5,2,2,1,2,0,1,0,0,8,60
Lance Lynn,2020-08-19,TEX,@SDP,1,0,0,2.57,1,1,0,0,0,0,0,7.0,29,8,2,2,2,0,0,0,0,0,6,56
Lance Lynn,2020-08-14,TEX,@COL,1,1,0,1.00,1,1,1,0,0,0,0,9.0,31,2,2,1,0,0,0,0,0,0,6,92
Lance Lynn,2020-08-09,TEX,LAA,1,1,0,3.60,1,1,0,0,0,0,0,5.0,21,4,2,2,1,3,0,0,0,0,6,52
Lance Lynn,2020-08-04,TEX,@OAK,1,0,0,1.42,1,1,0,0,0,0,0,6.1,24,3,1,1,1,3,0,0,0,0,7,66
Lance Lynn,2020-07-29,TEX,ARI,1,0,0,0.00,1,1,0,0,0,0,0,6.0,21,1,0,0,0,2,0,0,0,0,8,80
Lance Lynn,2020-07-24,TEX,COL,1,1,0,0.00,1,1,0,0,0,0,0,6.0,24,2,0,0,0,4,0,0,0,0,9,75
