Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Luis Garcia,2022-07-05,HOU,KCR,1,1,0,7.11,1,1,0,0,0,0,0,6.1,27,8,5,5,2,1,0,0,1,0,7,39
Luis Garcia,2022-06-30,HOU,NYY,1,1,0,1.69,1,1,0,0,0,0,0,5.1,21,3,1,1,1,2,0,0,0,0,6,58
Luis Garcia,2022-06-22,HOU,NYM,1,1,0,5.40,1,1,0,0,0,0,0,5.0,21,6,3,3,0,1,0,0,0,0,5,51
Luis Garcia,2022-06-15,HOU,@TEX,1,1,0,3.00,1,1,0,0,0,0,0,6.0,23,5,2,2,1,0,0,0,0,0,9,62
Luis Garcia,2022-06-10,HOU,MIA,1,0,1,10.38,1,1,0,0,0,0,0,4.1,20,5,5,5,3,2,0,0,0,0,7,25
Luis Garcia,2022-06-04,HOU,@KCR,1,0,1,2.57,1,1,0,0,0,0,0,7.0,26,4,2,2,1,1,0,0,0,0,2,61
Luis Garcia,2022-05-29,HOU,@SEA,1,0,0,1.50,1,1,0,0,0,0,0,6.0,23,4,1,1,0,1,0,0,0,0,6,68
Luis Garcia,2022-05-23,HOU,CLE,1,0,1,3.60,1,1,0,0,0,0,0,5.0,23,5,4,2,1,2,0,0,0,0,4,41
Luis Garcia,2022-05-18,HOU,@BOS,1,0,1,6.75,1,1,0,0,0,0,0,4.0,21,5,5,3,1,3,0,0,0,0,4,30
Luis Garcia,2022-05-12,HOU,@MIN,1,1,0,0.00,1,1,0,0,0,0,0,5.0,22,5,0,0,0,2,0,0,0,0,9,64
Luis Garcia,2022-05-06,HOU,DET,1,1,0,1.29,1,1,0,0,0,0,0,7.0,26,2,2,1,0,2,0,0,0,0,9,76
Luis Garcia,2022-04-30,HOU,@TOR,1,0,1,3.00,1,1,0,0,0,0,0,6.0,24,5,2,2,2,1,0,1,0,0,5,50
Luis Garcia,2022-04-24,HOU,TOR,1,0,0,7.50,1,1,0,0,0,0,0,6.0,23,5,5,5,2,1,0,0,0,0,6,42
Luis Garcia,2022-04-18,HOU,LAA,1,1,0,4.76,1,1,0,0,0,0,0,5.2,22,4,3,3,1,1,0,0,0,0,7,55
Luis Garcia,2022-04-12,HOU,@ARI,1,0,0,0.00,1,1,0,0,0,0,0,4.0,16,2,0,0,0,2,0,0,0,0,1,56
Luis Garcia,2021-09-29,HOU,TBR,1,0,1,10.80,1,1,0,0,0,0,0,5.0,23,8,6,6,2,2,0,0,1,0,6,27
Luis Garcia,2021-09-22,HOU,@LAA,1,0,0,0.00,1,1,0,0,0,0,0,6.0,21,3,0,0,0,3,0,0,1,0,1,66
Luis Garcia,2021-09-16,HOU,@TEX,1,1,0,1.69,1,1,0,0,0,0,0,5.1,22,5,1,1,0,3,0,0,0,0,2,56
Luis Garcia,2021-09-11,HOU,LAA,1,0,1,7.20,1,1,0,0,0,0,0,5.0,24,8,4,4,1,2,0,0,0,0,3,36
Luis Garcia,2021-09-05,HOU,@SDP,1,0,0,4.76,1,1,0,0,0,0,0,5.2,23,6,3,3,0,1,0,0,0,0,5,57
Luis Garcia,2021-08-30,HOU,@SEA,1,0,0,3.60,1,1,0,0,0,0,0,5.0,22,5,2,2,1,2,0,0,0,1,6,51
Luis Garcia,2021-08-24,HOU,KCR,1,1,0,0.00,1,1,0,0,0,0,0,6.2,24,4,0,0,0,1,0,0,0,0,7,78
Luis Garcia,2021-08-19,HOU,@KCR,1,0,0,5.40,1,1,0,0,0,0,0,5.0,18,4,3,3,1,1,0,0,1,0,3,49
Luis Garcia,2021-08-14,HOU,@LAA,1,1,0,3.60,1,1,0,0,0,0,0,5.0,23,6,2,2,1,3,0,0,2,0,5,46
Luis Garcia,2021-08-07,HOU,MIN,1,1,0,0.00,1,1,0,0,0,0,0,6.0,20,2,0,0,0,0,0,0,0,0,8,81
Luis Garcia,2021-08-01,HOU,@SFG,1,0,1,9.64,1,1,0,0,0,0,0,4.2,24,8,5,5,2,2,0,0,1,0,7,29
Luis Garcia,2021-07-26,HOU,@SEA,1,0,0,9.64,1,1,0,0,0,0,0,4.2,21,6,6,5,1,1,0,0,0,0,9,40
Luis Garcia,2021-07-20,HOU,CLE,1,1,0,0.00,1,1,0,0,0,0,0,6.0,21,3,0,0,0,0,0,0,0,0,8,79
Luis Garcia,2021-07-07,HOU,OAK,1,0,0,1.80,1,1,0,0,0,0,0,5.0,19,2,1,1,1,2,0,0,0,0,7,61
Luis Garcia,2021-06-30,HOU,BAL,1,0,1,9.00,1,1,0,0,0,0,0,4.0,18,3,4,4,0,3,0,0,0,0,5,46
Luis Garcia,2021-06-24,HOU,@DET,1,1,0,3.00,1,1,0,0,0,0,0,6.0,25,7,2,2,0,2,0,0,2,0,5,58
Luis Garcia,2021-06-18,HOU,CHW,1,0,0,1.29,1,1,0,0,0,0,0,7.0,29,7,1,1,0,2,0,0,0,0,8,70
Luis Garcia,2021-06-12,HOU,@MIN,1,0,1,6.23,1,1,0,0,0,0,0,4.1,20,6,4,3,1,1,0,0,0,0,4,39
Luis Garcia,2021-06-06,HOU,@TOR,1,1,0,1.50,1,1,0,0,0,0,0,6.0,23,3,1,1,0,2,0,0,0,0,8,72
Luis Garcia,2021-06-01,HOU,BOS,1,1,0,1.29,1,1,0,0,0,0,0,7.0,27,5,1,1,0,1,0,0,0,0,6,74
Luis Garcia,2021-05-26,HOU,LAD,1,1,0,1.50,1,1,0,0,0,0,0,6.0,22,3,1,1,0,1,0,0,0,0,7,73
Luis Garcia,2021-05-20,HOU,@OAK,1,1,0,3.60,1,1,0,0,0,0,0,5.0,20,3,2,2,2,2,0,0,0,0,7,50
Luis Garcia,2021-05-15,HOU,TEX,1,1,0,1.80,1,1,0,0,0,0,0,5.0,21,5,1,1,0,2,0,0,1,0,5,59
Luis Garcia,2021-05-10,HOU,LAA,1,0,0,5.06,1,1,0,0,0,0,0,5.1,23,5,3,3,2,2,0,0,0,0,7,45
Luis Garcia,2021-05-05,HOU,@NYY,1,0,0,5.79,1,1,0,0,0,0,0,4.2,19,2,3,3,1,2,0,1,0,0,8,54
Luis Garcia,2021-04-29,HOU,SEA,1,0,1,1.80,1,1,0,0,0,0,0,5.0,18,3,1,1,1,0,0,0,0,0,6,62
Luis Garcia,2021-04-25,HOU,LAA,0,0,1,5.40,1,0,0,0,0,0,0,1.2,8,2,1,1,1,0,0,1,0,0,0,
Luis Garcia,2021-04-20,HOU,@COL,1,0,1,3.18,1,1,0,0,0,0,0,5.2,22,3,2,2,0,3,1,1,0,0,6,63
Luis Garcia,2021-04-12,HOU,DET,0,0,0,0.00,1,0,0,0,0,0,0,4.1,16,2,0,0,0,1,0,0,0,0,7,
