Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Luis García,2022-07-09,SDP,SFG,0,0,1,18.00,1,0,0,0,0,0,0,1.0,6,2,2,2,1,1,0,0,0,0,1,
Luis García,2022-07-07,SDP,SFG,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,0,0,0,0,0,2,
Luis García,2022-07-05,SDP,SEA,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,2,
Luis García,2022-06-28,SDP,@ARI,0,0,0,54.00,1,0,0,0,0,1,0,0.1,5,1,2,2,0,2,0,1,1,0,0,
Luis García,2022-06-26,SDP,PHI,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,2,1,1,0,0,0,0,0,0,1,
Luis García,2022-06-24,SDP,PHI,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Luis García,2022-06-21,SDP,ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Luis García,2022-06-20,SDP,ARI,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Luis García,2022-06-18,SDP,@COL,0,0,1,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,1,
Luis García,2022-06-16,SDP,@CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,1,0,0,0,0,0,0,0,2,
Luis García,2022-06-12,SDP,COL,0,0,1,18.00,1,0,0,0,0,0,0,1.0,6,3,2,2,0,0,0,0,0,0,2,
Luis García,2022-06-11,SDP,COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Luis García,2022-06-04,SDP,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,1,
Luis García,2022-06-02,SDP,@MIL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Luis García,2022-05-31,SDP,@STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,1,
Luis García,2022-05-29,SDP,PIT,0,1,0,0.00,1,0,0,0,0,0,0,1.0,2,0,0,0,0,0,0,0,0,0,1,
Luis García,2022-05-28,SDP,PIT,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,0,0,0,0,1,0,1,0,0,2,
Luis García,2022-05-25,SDP,MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Luis García,2022-05-23,SDP,MIL,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,1,0,0,0,0,0,
