Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Luis Patiño,2022-04-11,TBR,OAK,1,0,1,13.50,1,1,0,0,0,0,0,0.2,3,1,1,1,0,0,0,0,0,0,0,38
Luis Patiño,2021-10-02,TBR,@NYY,0,1,0,0.00,1,0,0,0,0,0,0,2.0,7,0,0,0,0,0,0,0,0,0,3,
Luis Patiño,2021-09-29,TBR,@HOU,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,1,
Luis Patiño,2021-09-22,TBR,TOR,1,0,0,0.00,1,1,0,0,0,0,0,3.0,12,1,0,0,0,1,0,1,0,0,1,56
Luis Patiño,2021-09-17,TBR,DET,1,0,0,6.00,1,1,0,0,0,0,0,6.0,25,6,4,4,1,1,0,0,1,0,4,49
Luis Patiño,2021-09-12,TBR,@DET,1,0,0,4.15,1,1,0,0,0,0,0,4.1,20,5,2,2,1,2,0,0,1,0,3,44
Luis Patiño,2021-09-05,TBR,MIN,1,0,0,13.50,1,1,0,0,0,0,0,2.2,17,6,4,4,0,3,0,0,1,1,4,31
Luis Patiño,2021-08-30,TBR,BOS,1,1,0,1.59,1,1,0,0,0,0,0,5.2,23,5,1,1,1,1,0,0,0,0,5,59
Luis Patiño,2021-08-21,TBR,CHW,1,1,0,3.00,1,1,0,0,0,0,0,6.0,23,5,2,2,1,1,0,0,1,0,5,58
Luis Patiño,2021-08-15,TBR,@MIN,1,0,0,6.00,1,1,0,0,0,0,0,3.0,16,2,2,2,0,5,0,0,0,0,2,41
Luis Patiño,2021-08-10,TBR,@BOS,1,0,0,6.00,1,1,0,0,0,0,0,6.0,26,6,4,4,2,3,1,0,0,0,7,42
Luis Patiño,2021-08-03,TBR,SEA,1,0,1,5.40,1,1,0,0,0,0,0,5.0,22,5,3,3,2,2,0,0,0,0,3,39
Luis Patiño,2021-07-29,TBR,NYY,1,1,0,0.00,1,1,0,0,0,0,0,6.0,23,3,0,0,0,2,0,0,1,0,8,75
Luis Patiño,2021-07-22,TBR,@CLE,1,0,0,6.75,1,1,0,0,0,0,0,5.1,25,5,4,4,1,3,1,0,0,0,4,43
Luis Patiño,2021-07-02,TBR,@TOR,1,0,1,8.44,1,1,0,0,0,0,0,5.1,25,7,7,5,1,1,0,0,1,0,5,35
Luis Patiño,2021-05-18,TBR,@BAL,1,0,0,10.80,1,1,0,0,0,0,0,3.1,19,6,4,4,0,2,0,1,1,0,6,39
Luis Patiño,2021-05-11,TBR,NYY,1,0,1,2.25,1,1,0,0,0,0,0,4.0,16,3,2,1,1,1,0,1,0,0,3,48
Luis Patiño,2021-05-04,TBR,@LAA,0,1,0,3.00,1,0,0,0,0,0,0,3.0,11,2,1,1,1,0,0,0,0,0,5,
Luis Patiño,2021-04-29,TBR,OAK,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,2,
Luis Patiño,2021-04-25,TBR,TOR,1,0,0,0.00,1,1,0,0,0,0,0,2.2,9,0,0,0,0,1,0,0,0,0,3,58
Luis Patiño,2020-09-25,SDP,SFG,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Luis Patiño,2020-09-19,SDP,@SEA,1,0,0,5.40,1,1,0,0,0,0,0,1.2,10,3,1,1,0,2,0,0,0,0,3,41
Luis Patiño,2020-09-05,SDP,@OAK,0,0,0,13.50,1,0,0,0,0,0,0,1.1,8,3,2,2,1,1,0,0,0,0,1,
Luis Patiño,2020-08-29,SDP,@COL,0,0,0,4.50,1,0,0,0,0,0,0,2.0,8,2,1,1,0,0,0,0,0,0,3,
Luis Patiño,2020-08-27,SDP,SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,2,0,0,1,0,0,
Luis Patiño,2020-08-23,SDP,HOU,0,0,0,0.00,1,0,0,0,0,0,0,2.1,8,1,0,0,0,0,0,0,0,0,2,
Luis Patiño,2020-08-20,SDP,TEX,0,0,0,6.75,1,0,0,0,0,0,0,1.1,7,2,1,1,0,0,0,1,0,0,2,
Luis Patiño,2020-08-18,SDP,@TEX,0,0,0,0.00,1,0,0,0,0,1,0,1.0,6,0,0,0,0,3,0,0,0,0,1,
Luis Patiño,2020-08-13,SDP,@LAD,0,0,0,0.00,1,0,0,0,0,0,0,2.0,9,2,0,0,0,1,0,0,0,0,2,
Luis Patiño,2020-08-09,SDP,ARI,0,0,0,10.80,1,0,0,0,0,0,0,1.2,11,2,2,2,1,4,0,0,0,0,3,
Luis Patiño,2020-08-05,SDP,LAD,0,0,0,13.50,1,0,0,0,0,0,0,2.0,9,3,3,3,1,0,0,0,0,0,2,
