Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Madison Bumgarner,2022-07-09,ARI,COL,1,1,0,2.57,1,1,0,0,0,0,0,7.0,27,6,2,2,1,0,0,0,0,0,5,62
Madison Bumgarner,2022-07-04,ARI,SFG,1,1,0,5.40,1,1,0,0,0,0,0,5.0,24,5,3,3,0,3,0,2,0,0,4,48
Madison Bumgarner,2022-06-29,ARI,SDP,1,0,1,1.80,1,1,0,0,0,0,0,5.0,22,4,1,1,0,3,0,0,0,0,4,56
Madison Bumgarner,2022-06-22,ARI,@SDP,1,0,1,9.00,1,1,0,0,0,0,0,4.0,22,9,6,4,0,0,0,1,0,0,5,32
Madison Bumgarner,2022-06-17,ARI,MIN,1,1,0,3.00,1,1,0,0,0,0,0,6.0,27,9,2,2,1,1,0,0,0,0,3,46
Madison Bumgarner,2022-06-11,ARI,@PHI,1,0,1,1.80,1,1,0,0,0,0,0,5.0,23,6,3,1,1,2,0,0,0,0,4,42
Madison Bumgarner,2022-06-06,ARI,@CIN,1,0,1,7.20,1,1,0,0,0,0,0,5.0,25,8,4,4,1,2,0,1,0,0,4,35
Madison Bumgarner,2022-06-01,ARI,ATL,1,0,1,3.00,1,1,0,0,0,0,0,6.0,27,7,2,2,0,2,0,0,0,0,6,57
Madison Bumgarner,2022-05-27,ARI,LAD,1,0,1,7.50,1,1,0,0,0,0,0,6.0,26,7,5,5,3,2,0,0,0,0,3,27
Madison Bumgarner,2022-05-21,ARI,@CHC,1,0,0,5.14,1,1,0,0,0,0,0,7.0,26,5,4,4,2,0,0,0,0,0,7,54
Madison Bumgarner,2022-05-16,ARI,@LAD,1,0,1,5.40,1,1,0,0,0,0,0,5.0,23,6,3,3,0,2,0,0,0,0,1,45
Madison Bumgarner,2022-05-10,ARI,MIA,1,1,0,2.84,1,1,0,0,0,0,0,6.1,26,6,2,2,1,1,0,0,0,0,5,56
Madison Bumgarner,2022-05-04,ARI,@MIA,1,0,0,9.00,1,1,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,0,34
Madison Bumgarner,2022-04-29,ARI,@STL,1,1,0,1.80,1,1,0,0,0,0,0,5.0,19,3,1,1,1,1,0,0,0,0,2,54
Madison Bumgarner,2022-04-24,ARI,NYM,1,0,0,0.00,1,1,0,0,0,0,0,5.0,18,4,1,0,0,0,0,0,0,0,4,62
Madison Bumgarner,2022-04-19,ARI,@WSN,1,0,1,0.00,1,1,0,0,0,0,0,5.0,20,2,2,0,0,4,0,0,0,0,5,56
Madison Bumgarner,2022-04-12,ARI,HOU,1,0,0,1.80,1,1,0,0,0,0,0,5.0,23,5,1,1,1,2,0,0,0,0,2,48
Madison Bumgarner,2022-04-07,ARI,SDP,1,0,0,3.00,1,1,0,0,0,0,0,3.0,14,1,1,1,0,4,0,0,0,0,2,46
Madison Bumgarner,2021-09-30,ARI,@SFG,1,0,0,7.20,1,1,0,0,0,0,0,5.0,23,8,4,4,1,0,0,0,0,0,4,40
Madison Bumgarner,2021-09-23,ARI,ATL,1,0,0,5.40,1,1,0,0,0,0,0,5.0,21,5,3,3,1,2,0,0,0,0,5,46
Madison Bumgarner,2021-09-17,ARI,@HOU,1,0,0,2.57,1,1,0,0,0,0,0,7.0,23,1,2,2,1,1,0,0,0,0,3,69
Madison Bumgarner,2021-09-10,ARI,@SEA,1,0,1,7.50,1,1,0,0,0,0,0,6.0,26,8,5,5,3,1,0,0,0,0,6,31
Madison Bumgarner,2021-09-03,ARI,SEA,1,0,0,7.50,1,1,0,0,0,0,0,6.0,29,5,5,5,2,5,0,1,0,0,5,34
Madison Bumgarner,2021-08-29,ARI,@PHI,1,0,1,9.00,1,1,0,0,0,0,0,5.0,25,7,5,5,0,4,0,0,0,0,3,36
Madison Bumgarner,2021-08-24,ARI,@PIT,1,0,1,6.00,1,1,0,0,0,0,0,6.0,26,6,4,4,2,3,1,0,0,0,5,39
Madison Bumgarner,2021-08-19,ARI,PHI,1,1,0,1.13,1,1,0,0,0,0,0,8.0,30,3,1,1,0,1,0,2,0,0,5,82
Madison Bumgarner,2021-08-13,ARI,SDP,1,0,0,2.70,1,1,0,0,0,0,0,6.2,29,9,2,2,1,0,0,0,0,0,6,56
Madison Bumgarner,2021-08-08,ARI,@SDP,1,0,1,2.57,1,1,0,0,0,0,0,7.0,26,6,2,2,1,1,0,0,0,0,5,61
Madison Bumgarner,2021-08-03,ARI,SFG,1,1,0,1.29,1,1,0,0,0,0,0,7.0,27,6,1,1,1,1,0,0,0,0,4,63
Madison Bumgarner,2021-07-28,ARI,@TEX,1,1,0,2.57,1,1,0,0,0,0,0,7.0,26,4,2,2,0,1,0,0,0,0,4,70
Madison Bumgarner,2021-07-21,ARI,PIT,1,0,0,1.80,1,1,0,0,0,0,0,5.0,22,7,3,1,0,0,0,0,0,0,1,48
Madison Bumgarner,2021-07-16,ARI,CHC,1,0,1,1.50,1,1,0,0,0,0,0,6.0,22,2,2,1,1,1,0,2,0,0,6,64
Madison Bumgarner,2021-06-02,ARI,NYM,1,0,0,22.50,1,1,0,0,0,0,0,2.0,13,8,5,5,1,0,0,0,0,0,2,17
Madison Bumgarner,2021-05-28,ARI,STL,1,0,1,13.50,1,1,0,0,0,0,0,4.0,22,5,7,6,2,4,0,0,1,0,4,17
Madison Bumgarner,2021-05-22,ARI,@COL,1,0,1,7.50,1,1,0,0,0,0,0,6.0,27,8,7,5,1,0,0,1,1,0,2,35
Madison Bumgarner,2021-05-17,ARI,@LAD,1,0,1,4.50,1,1,0,0,0,0,0,4.0,18,2,2,2,1,4,0,0,0,0,5,45
Madison Bumgarner,2021-05-11,ARI,MIA,1,1,0,0.00,1,1,0,0,0,0,0,7.0,25,4,0,0,0,0,0,0,0,0,9,83
Madison Bumgarner,2021-05-06,ARI,@MIA,1,0,0,1.50,1,1,0,0,0,0,0,6.0,21,2,1,1,1,0,0,1,0,0,7,70
Madison Bumgarner,2021-04-30,ARI,COL,1,1,0,1.80,1,1,0,0,0,0,0,5.0,20,4,1,1,0,1,0,0,0,1,6,63
Madison Bumgarner,2021-04-25,ARI,@ATL,1,1,0,0.00,1,1,1,1,0,0,0,7.0,21,0,0,0,0,0,0,0,0,0,7,89
Madison Bumgarner,2021-04-18,ARI,@WSN,1,1,0,1.80,1,1,0,0,0,0,0,5.0,18,2,1,1,1,1,0,1,0,0,5,60
Madison Bumgarner,2021-04-12,ARI,OAK,1,0,1,11.57,1,1,0,0,0,0,0,4.2,24,7,6,6,1,3,1,1,0,0,5,29
