Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Michael King,2022-07-09,NYY,@BOS,0,0,0,4.50,1,0,0,0,0,1,0,2.0,7,1,1,1,0,0,0,0,0,0,2,
Michael King,2022-07-07,NYY,@BOS,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,0,0,0,0,1,0,0,0,0,1,
Michael King,2022-07-02,NYY,@CLE,0,0,0,0.00,1,0,0,0,0,0,0,2.0,10,2,0,0,0,1,0,0,0,0,3,
Michael King,2022-06-28,NYY,OAK,0,0,0,0.00,1,0,0,0,0,1,0,1.1,5,1,0,0,0,1,0,0,0,0,2,
Michael King,2022-06-26,NYY,HOU,0,1,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,1,0,0,0,0,1,
Michael King,2022-06-25,NYY,HOU,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,1,1,0,0,0,0,1,
Michael King,2022-06-22,NYY,@TBR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Michael King,2022-06-18,NYY,@TOR,0,0,0,0.00,1,0,0,0,0,1,0,2.0,8,1,0,0,0,1,0,0,0,0,3,
Michael King,2022-06-16,NYY,TBR,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Michael King,2022-06-14,NYY,TBR,0,0,0,0.00,1,0,0,0,0,1,0,1.1,5,0,0,0,0,1,0,0,0,0,2,
Michael King,2022-06-10,NYY,CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Michael King,2022-06-09,NYY,@MIN,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Michael King,2022-06-05,NYY,DET,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Michael King,2022-06-04,NYY,DET,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Michael King,2022-05-28,NYY,@TBR,0,0,0,5.40,1,0,0,0,0,0,0,1.2,7,3,1,1,0,0,0,0,0,0,0,
Michael King,2022-05-24,NYY,BAL,0,0,0,40.50,1,0,0,0,0,0,1,0.2,5,2,3,3,1,1,0,0,0,0,0,
Michael King,2022-05-21,NYY,CHW,0,0,0,18.00,1,0,0,0,0,1,0,1.0,7,3,2,2,0,1,0,0,0,0,1,
Michael King,2022-05-17,NYY,@BAL,0,0,0,0.00,1,0,0,0,0,1,0,3.0,9,0,0,0,0,0,0,0,0,0,6,
Michael King,2022-05-13,NYY,@CHW,0,0,0,3.38,1,0,0,0,0,0,0,2.2,10,3,1,1,0,0,0,0,0,0,2,
Michael King,2022-05-11,NYY,TOR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,2,0,0,0,0,0,0,0,0,1,
Michael King,2022-05-08,NYY,TEX,0,0,1,13.50,1,0,0,0,0,0,1,1.1,7,2,2,2,1,1,0,0,1,0,3,
Michael King,2022-05-04,NYY,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,3.0,9,0,0,0,0,0,0,0,0,0,3,
Michael King,2022-05-01,NYY,@KCR,0,0,0,0.00,1,0,0,0,0,1,0,1.2,4,0,0,0,0,0,0,0,0,0,2,
Michael King,2022-04-27,NYY,BAL,0,1,0,0.00,1,0,0,0,0,0,0,2.1,9,1,0,0,0,1,0,0,0,0,2,
Michael King,2022-04-22,NYY,CLE,0,0,0,0.00,1,0,0,0,0,1,0,3.0,10,1,0,0,0,0,0,0,0,0,8,
Michael King,2022-04-16,NYY,@BAL,0,0,0,0.00,1,0,0,0,0,1,0,2.0,9,2,0,0,0,1,0,0,0,0,3,
Michael King,2022-04-14,NYY,TOR,0,0,0,0.00,1,0,0,0,1,0,0,1.0,2,0,0,0,0,0,0,0,0,0,1,
Michael King,2022-04-11,NYY,TOR,0,0,0,3.38,1,0,0,0,0,0,0,2.2,13,5,1,1,0,0,0,0,0,0,3,
Michael King,2022-04-08,NYY,BOS,0,1,0,0.00,1,0,0,0,0,0,0,2.0,7,1,1,0,0,1,1,0,0,0,3,
Michael King,2021-10-02,NYY,TBR,0,0,0,81.00,1,0,0,0,0,0,0,0.1,5,4,3,3,1,0,0,0,0,0,1,
Michael King,2021-09-30,NYY,@TOR,0,1,0,0.00,1,0,0,0,0,0,0,1.1,6,1,0,0,0,1,0,0,0,0,1,
Michael King,2021-09-28,NYY,@TOR,0,1,0,3.38,1,0,0,0,0,0,0,2.2,11,2,1,1,0,1,0,0,0,0,1,
Michael King,2021-09-25,NYY,@BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.1,6,2,0,0,0,0,0,0,1,0,2,
Michael King,2021-09-21,NYY,TEX,0,0,0,0.00,1,0,0,0,0,1,0,1.1,4,0,0,0,0,0,0,0,0,0,3,
Michael King,2021-09-17,NYY,CLE,0,0,0,0.00,1,0,0,0,0,1,0,2.0,6,0,0,0,0,0,0,0,0,0,3,
Michael King,2021-09-14,NYY,@BAL,0,0,0,0.00,1,0,0,0,0,0,0,3.0,10,0,0,0,0,1,0,0,0,0,2,
Michael King,2021-09-10,NYY,@NYM,0,0,0,3.00,1,0,0,0,0,0,0,3.0,13,2,2,1,0,0,0,2,1,0,2,
Michael King,2021-07-03,NYY,NYM,0,0,0,0.00,1,0,0,0,0,0,0,4.0,17,3,0,0,0,1,0,0,0,0,9,
Michael King,2021-06-28,NYY,LAA,1,0,1,4.15,1,1,0,0,0,0,0,4.1,21,6,3,2,1,2,0,0,0,0,4,40
Michael King,2021-06-23,NYY,KCR,1,0,0,3.86,1,1,0,0,0,0,0,4.2,21,3,2,2,1,3,1,1,1,0,5,50
Michael King,2021-06-17,NYY,@TOR,1,0,0,6.23,1,1,0,0,0,0,0,4.1,17,5,3,3,0,2,0,0,1,0,1,45
Michael King,2021-06-10,NYY,@MIN,1,0,0,4.91,1,1,0,0,0,0,0,3.2,18,4,2,2,0,3,0,0,0,0,3,46
Michael King,2021-06-04,NYY,BOS,1,0,1,6.75,1,1,0,0,0,0,0,5.1,22,6,4,4,1,0,0,0,0,0,5,48
Michael King,2021-05-30,NYY,@DET,1,0,1,7.71,1,1,0,0,0,0,0,2.1,15,3,4,2,0,2,0,2,0,0,2,35
Michael King,2021-05-25,NYY,TOR,0,0,0,3.00,1,0,0,0,0,0,0,3.0,16,6,1,1,1,1,0,0,0,0,3,
Michael King,2021-05-16,NYY,@BAL,0,0,1,4.50,1,0,0,0,0,0,0,2.0,9,2,1,1,0,1,0,0,1,0,0,
Michael King,2021-05-13,NYY,@TBR,0,0,0,11.57,1,0,0,0,0,0,0,2.1,11,2,3,3,1,2,0,0,0,0,6,
Michael King,2021-05-09,NYY,WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,2,0,0,0,0,0,0,0,0,0,
Michael King,2021-04-28,NYY,@BAL,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,1,0,0,0,0,0,0,0,0,2,
Michael King,2021-04-16,NYY,TBR,0,0,0,0.00,1,0,0,0,0,0,0,3.0,15,2,0,0,0,3,0,1,0,0,4,
Michael King,2021-04-04,NYY,TOR,0,0,0,0.00,1,0,0,0,0,0,0,6.0,21,1,0,0,0,1,0,0,0,0,3,
Michael King,2020-09-21,NYY,@TOR,1,0,1,16.87,1,1,0,0,0,0,0,2.2,14,5,5,5,0,1,0,0,0,0,6,37
Michael King,2020-09-15,NYY,TOR,0,0,0,13.50,1,0,0,0,0,0,0,2.0,12,5,3,3,0,2,0,0,0,0,1,
Michael King,2020-09-08,NYY,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Michael King,2020-09-04,NYY,@BAL,1,0,0,6.75,1,1,0,0,0,0,0,4.0,19,4,3,3,2,2,0,1,0,0,3,36
Michael King,2020-08-30,NYY,NYM,1,0,0,4.91,1,1,0,0,0,0,0,3.2,18,6,2,2,0,1,0,0,0,0,3,47
Michael King,2020-08-17,NYY,BOS,0,1,0,3.00,1,0,0,0,0,0,0,3.0,13,3,1,1,0,0,0,1,0,0,2,
Michael King,2020-08-08,NYY,@TBR,1,0,1,7.36,1,1,0,0,0,0,0,3.2,17,1,3,3,0,5,0,0,0,0,4,47
