Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Miguel Castro,2022-07-10,NYY,@BOS,0,0,0,18.00,1,0,0,0,0,0,0,0.0,4,2,4,2,0,1,0,0,0,0,0,
Miguel Castro,2022-07-08,NYY,@BOS,0,1,0,0.00,1,0,0,0,0,0,0,1.1,6,1,0,0,0,0,0,1,0,0,3,
Miguel Castro,2022-06-29,NYY,OAK,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,2,0,0,0,0,0,0,0,0,2,
Miguel Castro,2022-06-26,NYY,HOU,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,1,0,0,0,0,0,0,0,0,3,
Miguel Castro,2022-06-24,NYY,HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.0,2,0,0,0,0,0,0,0,0,0,1,
Miguel Castro,2022-06-23,NYY,HOU,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Miguel Castro,2022-06-19,NYY,@TOR,0,0,0,27.00,1,0,0,0,0,0,0,0.2,5,2,2,2,1,1,0,0,0,0,1,
Miguel Castro,2022-06-17,NYY,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,0,
Miguel Castro,2022-06-15,NYY,TBR,0,0,0,27.00,1,0,0,0,0,1,0,0.2,4,1,2,2,0,0,0,1,0,0,0,
Miguel Castro,2022-06-12,NYY,CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Miguel Castro,2022-06-10,NYY,CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Miguel Castro,2022-06-09,NYY,@MIN,0,1,0,0.00,1,0,0,0,0,0,0,1.1,5,0,0,0,0,1,0,0,0,0,1,
Miguel Castro,2022-06-05,NYY,DET,0,0,0,13.50,1,0,0,0,0,0,1,0.2,3,2,1,1,0,0,0,0,1,0,1,
Miguel Castro,2022-05-31,NYY,LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,1,
Miguel Castro,2022-05-25,NYY,BAL,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Miguel Castro,2022-05-22,NYY,CHW,0,0,0,27.00,1,0,0,0,0,0,0,0.1,2,1,1,1,1,0,0,0,0,0,0,
Miguel Castro,2022-05-21,NYY,CHW,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,1,0,0,0,0,0,0,0,0,1,
Miguel Castro,2022-05-19,NYY,@BAL,0,0,0,18.00,1,0,0,0,0,0,0,0.0,3,1,3,2,0,1,0,0,0,0,0,
Miguel Castro,2022-05-12,NYY,@CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Miguel Castro,2022-05-10,NYY,TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,0,0,0,0,0,0,1,0,0,4,
Miguel Castro,2022-05-03,NYY,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Miguel Castro,2022-05-02,NYY,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,1,0,0,0,1,0,0,0,0,0,
Miguel Castro,2022-04-30,NYY,@KCR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,1,0,0,0,0,1,
Miguel Castro,2022-04-28,NYY,BAL,0,1,0,0.00,1,0,0,0,0,0,0,0.1,3,1,0,0,0,1,0,0,0,0,1,
Miguel Castro,2022-04-23,NYY,CLE,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Miguel Castro,2022-04-21,NYY,@DET,0,0,0,18.00,1,0,0,0,0,0,0,1.0,6,3,2,2,0,1,0,0,0,0,0,
Miguel Castro,2022-04-19,NYY,@DET,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Miguel Castro,2022-04-15,NYY,@BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,2,0,0,0,0,3,
Miguel Castro,2022-04-14,NYY,TOR,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,0,0,0,0,0,0,1,0,0,0,
Miguel Castro,2022-04-12,NYY,TOR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,0,0,0,0,0,0,
Miguel Castro,2022-04-09,NYY,BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Miguel Castro,2022-04-08,NYY,BOS,0,0,0,0.00,1,0,0,0,0,0,0,0.1,2,0,0,0,0,1,0,0,0,0,1,
Miguel Castro,2021-10-02,NYM,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,1,
Miguel Castro,2021-09-30,NYM,MIA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Miguel Castro,2021-09-28,NYM,MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Miguel Castro,2021-09-26,NYM,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Miguel Castro,2021-09-24,NYM,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Miguel Castro,2021-09-21,NYM,@BOS,0,0,0,27.00,1,0,0,0,0,0,0,0.2,4,0,2,2,0,1,0,1,0,0,1,
Miguel Castro,2021-09-18,NYM,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,6,1,0,0,0,2,0,0,0,0,0,
Miguel Castro,2021-09-15,NYM,STL,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,1,0,0,
Miguel Castro,2021-09-13,NYM,STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Miguel Castro,2021-09-12,NYM,NYY,0,0,0,13.50,1,0,0,0,0,1,0,0.2,3,1,1,1,0,0,0,0,0,0,2,
Miguel Castro,2021-09-07,NYM,@MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Miguel Castro,2021-09-05,NYM,@WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Miguel Castro,2021-09-04,NYM,@WSN,0,0,0,81.00,1,0,0,0,0,0,0,0.1,5,3,4,3,0,0,0,0,0,0,1,
Miguel Castro,2021-08-29,NYM,WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Miguel Castro,2021-08-27,NYM,WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,2,
Miguel Castro,2021-08-24,NYM,SFG,0,0,0,4.50,1,0,0,0,0,0,0,2.0,9,2,1,1,0,1,0,0,0,0,1,
Miguel Castro,2021-08-21,NYM,@LAD,0,0,0,9.00,1,0,0,0,0,0,0,0.0,4,1,1,1,0,3,0,0,0,0,0,
Miguel Castro,2021-08-18,NYM,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Miguel Castro,2021-08-16,NYM,@SFG,0,0,1,13.50,1,0,0,0,0,0,0,1.1,6,2,2,2,1,0,0,0,0,0,2,
Miguel Castro,2021-08-14,NYM,LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Miguel Castro,2021-08-13,NYM,LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Miguel Castro,2021-08-10,NYM,WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Miguel Castro,2021-08-07,NYM,@PHI,0,0,0,0.00,1,0,0,0,0,0,0,0.1,2,0,0,0,0,0,0,1,0,0,0,
Miguel Castro,2021-08-05,NYM,@MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Miguel Castro,2021-08-04,NYM,@MIA,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Miguel Castro,2021-08-01,NYM,CIN,0,0,0,0.00,1,0,0,0,0,0,0,0.1,3,0,0,0,0,2,0,0,0,0,1,
Miguel Castro,2021-07-30,NYM,CIN,0,0,1,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,0,0,1,
Miguel Castro,2021-07-29,NYM,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Miguel Castro,2021-07-26,NYM,ATL,0,0,0,0.00,1,0,0,0,0,0,0,2.0,9,2,0,0,0,1,0,0,0,0,4,
Miguel Castro,2021-07-24,NYM,TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,0,
Miguel Castro,2021-07-19,NYM,@CIN,0,0,0,5.40,1,0,0,0,0,0,0,1.2,7,2,1,1,0,0,0,0,0,0,0,
Miguel Castro,2021-07-18,NYM,@PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Miguel Castro,2021-07-16,NYM,@PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Miguel Castro,2021-07-11,NYM,PIT,0,0,0,0.00,1,0,0,0,0,1,0,1.1,7,2,0,0,0,1,0,0,0,0,1,
Miguel Castro,2021-07-07,NYM,MIL,0,0,0,54.00,1,0,0,0,0,0,0,0.1,3,1,2,2,1,0,0,1,1,0,0,
Miguel Castro,2021-07-04,NYM,@NYY,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,1,0,1,
Miguel Castro,2021-07-03,NYM,@NYY,0,0,0,9.00,1,0,0,0,0,0,0,0.0,3,1,1,1,0,1,0,1,0,0,0,
Miguel Castro,2021-06-28,NYM,@WSN,0,0,0,18.00,1,0,0,0,0,0,0,1.0,6,2,3,2,1,1,0,0,0,0,0,
Miguel Castro,2021-06-25,NYM,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.1,7,0,0,0,0,3,0,0,0,0,1,
Miguel Castro,2021-06-23,NYM,ATL,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,1,0,0,0,1,0,0,0,0,0,
Miguel Castro,2021-06-21,NYM,ATL,0,0,1,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,0,
Miguel Castro,2021-06-19,NYM,@WSN,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,0,0,0,0,2,0,0,0,0,0,
Miguel Castro,2021-06-18,NYM,@WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.2,4,0,0,0,0,0,0,0,0,0,1,
Miguel Castro,2021-06-16,NYM,CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,0,0,1,1,0,2,
Miguel Castro,2021-06-11,NYM,SDP,0,0,0,54.00,1,0,0,0,0,1,0,0.1,4,2,2,2,1,1,0,0,0,0,1,
Miguel Castro,2021-06-06,NYM,@SDP,0,0,0,0.00,1,0,0,0,0,1,0,1.1,5,0,0,0,0,1,0,0,0,0,1,
Miguel Castro,2021-06-02,NYM,@ARI,0,1,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,1,0,0,0,0,0,
Miguel Castro,2021-05-31,NYM,@ARI,0,0,0,0.00,1,0,0,0,0,1,0,1.1,6,2,0,0,0,0,0,0,0,0,0,
Miguel Castro,2021-05-29,NYM,ATL,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,0,1,0,0,1,0,1,
Miguel Castro,2021-05-25,NYM,COL,0,1,0,0.00,1,0,0,0,0,0,0,2.0,7,0,0,0,0,1,0,0,0,0,4,
Miguel Castro,2021-05-22,NYM,@MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Miguel Castro,2021-05-21,NYM,@MIA,0,0,0,9.00,1,0,0,0,0,0,1,1.0,4,1,1,1,1,0,0,0,1,0,3,
Miguel Castro,2021-05-19,NYM,@ATL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Miguel Castro,2021-05-18,NYM,@ATL,1,0,0,0.00,1,1,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,47
Miguel Castro,2021-05-14,NYM,@TBR,0,0,1,27.00,1,0,0,0,0,0,0,0.1,4,1,1,1,0,2,0,0,0,0,0,
Miguel Castro,2021-05-09,NYM,ARI,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,0,0,0,0,1,0,1,0,0,0,
Miguel Castro,2021-05-07,NYM,ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Miguel Castro,2021-05-05,NYM,@STL,1,0,0,0.00,1,1,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,43
Miguel Castro,2021-05-02,NYM,@PHI,0,0,0,18.00,1,0,0,0,0,0,1,1.0,6,2,3,2,1,0,0,0,0,0,3,
Miguel Castro,2021-04-30,NYM,@PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Miguel Castro,2021-04-27,NYM,BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Miguel Castro,2021-04-25,NYM,WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,1,0,3,
Miguel Castro,2021-04-22,NYM,@CHC,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
