Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Nabil Crismatt,2022-07-11,SDP,@COL,0,0,0,5.40,1,0,0,0,0,1,0,1.2,8,2,1,1,0,1,0,0,0,0,3,
Nabil Crismatt,2022-07-07,SDP,SFG,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,1,0,0,0,3,
Nabil Crismatt,2022-07-04,SDP,SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Nabil Crismatt,2022-06-30,SDP,@LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Nabil Crismatt,2022-06-26,SDP,PHI,0,0,1,27.00,1,0,0,0,0,0,1,1.0,6,2,3,3,1,1,0,0,0,0,2,
Nabil Crismatt,2022-06-24,SDP,PHI,0,1,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,1,
Nabil Crismatt,2022-06-21,SDP,ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Nabil Crismatt,2022-06-18,SDP,@COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Nabil Crismatt,2022-06-14,SDP,@CHC,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,1,0,0,0,0,0,0,0,0,0,
Nabil Crismatt,2022-06-12,SDP,COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Nabil Crismatt,2022-06-11,SDP,COL,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,2,0,0,0,0,0,0,0,0,0,
Nabil Crismatt,2022-06-08,SDP,NYM,0,0,0,0.00,1,0,0,0,0,0,0,2.0,8,2,0,0,0,0,0,0,0,0,2,
Nabil Crismatt,2022-06-04,SDP,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Nabil Crismatt,2022-06-02,SDP,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,
Nabil Crismatt,2022-06-01,SDP,@STL,0,0,0,0.00,1,0,0,0,0,0,0,0.1,2,1,0,0,0,0,0,0,0,0,0,
Nabil Crismatt,2022-05-29,SDP,PIT,0,0,0,18.00,1,0,0,0,0,0,1,1.0,6,3,2,2,0,0,0,0,0,0,1,
Nabil Crismatt,2022-05-27,SDP,PIT,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Nabil Crismatt,2022-05-23,SDP,MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,2,0,0,0,0,0,0,0,0,0,
Nabil Crismatt,2022-05-20,SDP,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.2,8,2,0,0,0,1,0,0,0,0,0,
Nabil Crismatt,2022-05-15,SDP,@ATL,0,1,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,4,
Nabil Crismatt,2022-05-14,SDP,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Nabil Crismatt,2022-05-11,SDP,CHC,0,0,0,0.00,1,0,0,0,0,0,0,3.0,10,1,0,0,0,0,0,0,0,0,1,
Nabil Crismatt,2022-05-07,SDP,MIA,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,3,
Nabil Crismatt,2022-05-04,SDP,@CLE,0,1,0,4.50,1,0,0,0,0,0,0,2.0,9,2,1,1,0,1,0,0,0,0,0,
Nabil Crismatt,2022-04-28,SDP,@CIN,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Nabil Crismatt,2022-04-22,SDP,LAD,0,0,0,6.75,1,0,0,0,0,0,0,1.1,6,0,1,1,0,2,0,0,0,0,0,
