Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Nick Anderson,2021-09-26,TBR,MIA,0,0,0,9.00,1,0,0,0,1,0,0,1.0,4,1,1,1,1,0,0,0,0,0,0,
Nick Anderson,2021-09-21,TBR,TOR,0,0,1,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,0,1,0,0,0,0,0,
Nick Anderson,2021-09-19,TBR,DET,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,0,
Nick Anderson,2021-09-17,TBR,DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Nick Anderson,2021-09-15,TBR,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Nick Anderson,2021-09-13,TBR,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,0,
Nick Anderson,2020-09-25,TBR,PHI,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Nick Anderson,2020-09-23,TBR,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Nick Anderson,2020-09-21,TBR,@NYM,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Nick Anderson,2020-09-18,TBR,@BAL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Nick Anderson,2020-09-16,TBR,WSN,0,0,1,9.00,1,0,0,0,0,0,0,1.0,4,1,2,1,1,0,0,0,0,0,3,
Nick Anderson,2020-09-15,TBR,WSN,0,0,0,0.00,1,0,0,0,1,0,0,0.2,2,0,0,0,0,0,0,0,0,0,2,
Nick Anderson,2020-09-12,TBR,BOS,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Nick Anderson,2020-09-04,TBR,MIA,0,0,0,0.00,1,0,0,0,1,0,0,1.0,5,0,0,0,0,1,0,0,0,0,1,
Nick Anderson,2020-08-19,TBR,@NYY,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Nick Anderson,2020-08-18,TBR,@NYY,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Nick Anderson,2020-08-15,TBR,@TOR,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Nick Anderson,2020-08-12,TBR,@BOS,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Nick Anderson,2020-08-11,TBR,@BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,3,
Nick Anderson,2020-08-08,TBR,NYY,0,0,0,0.00,1,0,0,0,1,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Nick Anderson,2020-08-07,TBR,NYY,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,0,0,1,
Nick Anderson,2020-08-04,TBR,BOS,0,0,0,0.00,1,0,0,0,1,0,0,0.2,2,0,0,0,0,0,0,0,0,0,2,
Nick Anderson,2020-08-01,TBR,@BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Nick Anderson,2020-07-28,TBR,ATL,0,0,0,0.00,1,0,0,0,0,1,0,0.1,2,1,0,0,0,0,0,0,0,0,1,
Nick Anderson,2020-07-25,TBR,TOR,0,1,0,0.00,1,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,0,
