Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Nick Sandlin,2022-07-10,CLE,@KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Nick Sandlin,2022-07-09,CLE,@KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Nick Sandlin,2022-07-05,CLE,@DET,0,0,0,18.00,1,0,0,0,0,0,0,1.0,6,3,2,2,0,0,0,0,0,0,2,
Nick Sandlin,2022-06-18,CLE,@LAD,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,0,0,0,0,1,0,0,0,0,2,
Nick Sandlin,2022-06-15,CLE,@COL,0,0,0,9.00,1,0,0,0,0,1,0,1.0,6,2,1,1,0,1,0,0,0,0,1,
Nick Sandlin,2022-06-10,CLE,OAK,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Nick Sandlin,2022-06-07,CLE,TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Nick Sandlin,2022-05-30,CLE,KCR,0,1,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,3,1,0,0,0,0,
Nick Sandlin,2022-05-23,CLE,@HOU,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,1,0,0,0,1,0,0,0,0,1,
Nick Sandlin,2022-05-17,CLE,CIN,0,0,1,0.00,1,0,0,0,0,0,0,1.0,6,0,1,0,0,3,0,0,0,0,2,
Nick Sandlin,2022-05-14,CLE,@MIN,0,1,0,0.00,1,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,0,
Nick Sandlin,2022-05-09,CLE,@CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.0,6,0,0,0,0,3,0,0,0,0,0,
Nick Sandlin,2022-05-05,CLE,TOR,0,0,0,6.75,1,0,0,0,0,1,0,1.1,7,2,1,1,1,1,0,0,0,0,0,
Nick Sandlin,2022-05-04,CLE,SDP,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,2,1,0,0,0,1,
Nick Sandlin,2022-04-30,CLE,@OAK,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Nick Sandlin,2022-04-28,CLE,@LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Nick Sandlin,2022-04-23,CLE,@NYY,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Nick Sandlin,2022-04-20,CLE,CHW,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Nick Sandlin,2022-04-16,CLE,SFG,0,0,1,18.00,1,0,0,0,0,0,0,1.0,6,2,2,2,0,1,0,0,1,0,1,
Nick Sandlin,2022-04-13,CLE,@CIN,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,2,2,2,1,0,0,0,0,0,0,
Nick Sandlin,2022-04-11,CLE,@KCR,0,0,0,0.00,1,0,0,0,0,1,0,1.2,4,0,0,0,0,0,0,0,0,0,1,
Nick Sandlin,2022-04-09,CLE,@KCR,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,0,0,0,
Nick Sandlin,2021-08-11,CLE,OAK,0,0,1,27.00,1,0,0,0,0,0,1,0.0,3,2,3,3,1,0,0,1,0,0,0,
Nick Sandlin,2021-08-09,CLE,CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,1,0,0,0,0,0,0,0,1,
Nick Sandlin,2021-08-08,CLE,DET,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,2,
Nick Sandlin,2021-08-02,CLE,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Nick Sandlin,2021-07-31,CLE,@CHW,0,0,0,0.00,1,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Nick Sandlin,2021-07-30,CLE,@CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Nick Sandlin,2021-07-28,CLE,STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Nick Sandlin,2021-07-27,CLE,STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Nick Sandlin,2021-07-23,CLE,TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,1,0,0,0,0,1,
