Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Penn Murfee,2022-07-10,SEA,TOR,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,1,
Penn Murfee,2022-07-08,SEA,TOR,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Penn Murfee,2022-07-07,SEA,TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,1,
Penn Murfee,2022-07-01,SEA,OAK,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,1,
Penn Murfee,2022-06-29,SEA,BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Penn Murfee,2022-06-27,SEA,BAL,0,0,0,4.50,1,0,0,0,0,0,0,2.0,7,1,1,1,1,0,0,0,0,0,2,
Penn Murfee,2022-06-25,SEA,@LAA,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Penn Murfee,2022-06-22,SEA,@OAK,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Penn Murfee,2022-06-18,SEA,LAA,1,0,0,0.00,1,1,0,0,0,0,0,2.0,8,1,0,0,0,1,0,0,0,0,2,49
Penn Murfee,2022-06-17,SEA,LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,1,0,1,
Penn Murfee,2022-06-15,SEA,MIN,0,0,0,40.50,1,0,0,0,0,0,0,0.2,6,3,3,3,0,1,0,0,1,0,1,
Penn Murfee,2022-06-13,SEA,MIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Penn Murfee,2022-06-11,SEA,BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Penn Murfee,2022-06-10,SEA,BOS,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Penn Murfee,2022-06-07,SEA,@HOU,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,0,0,1,
Penn Murfee,2022-06-06,SEA,@HOU,0,0,0,0.00,1,0,0,0,0,1,0,1.2,5,1,0,0,0,0,0,0,0,0,1,
Penn Murfee,2022-06-03,SEA,@TEX,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Penn Murfee,2022-06-01,SEA,@BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,0,0,0,0,1,0,0,0,0,1,
Penn Murfee,2022-05-28,SEA,HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Penn Murfee,2022-05-24,SEA,OAK,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Penn Murfee,2022-05-23,SEA,OAK,0,0,0,9.00,1,0,0,0,0,0,0,0.0,3,2,1,1,0,1,0,0,0,0,0,
Penn Murfee,2022-05-21,SEA,@BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Penn Murfee,2022-05-20,SEA,@BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Penn Murfee,2022-05-17,SEA,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,2,0,0,0,0,1,
Penn Murfee,2022-05-16,SEA,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,2,
Penn Murfee,2022-05-14,SEA,@NYM,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,0,0,1,
Penn Murfee,2022-05-11,SEA,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,1,
Penn Murfee,2022-05-09,SEA,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Penn Murfee,2022-05-07,SEA,TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.2,4,0,0,0,0,0,0,0,0,0,2,
Penn Murfee,2022-05-04,SEA,@HOU,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,4,
Penn Murfee,2022-05-03,SEA,@HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Penn Murfee,2022-04-29,SEA,@MIA,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,0,0,0,0,0,0,1,0,0,2,
