Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Pete Fairbanks,2021-10-01,TBR,@NYY,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Pete Fairbanks,2021-09-30,TBR,@HOU,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Pete Fairbanks,2021-09-25,TBR,MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,6,2,0,0,0,1,0,0,0,0,0,
Pete Fairbanks,2021-09-22,TBR,TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,2,0,0,0,0,2,
Pete Fairbanks,2021-09-19,TBR,DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,2,
Pete Fairbanks,2021-09-16,TBR,DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Pete Fairbanks,2021-09-14,TBR,@TOR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Pete Fairbanks,2021-09-10,TBR,@DET,0,0,1,81.00,1,0,0,0,0,1,0,0.1,4,2,3,3,0,1,0,0,0,0,1,
Pete Fairbanks,2021-09-08,TBR,@BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Pete Fairbanks,2021-09-05,TBR,MIN,0,0,0,9.00,1,0,0,0,0,0,1,1.0,6,2,1,1,0,1,0,0,0,0,0,
Pete Fairbanks,2021-09-03,TBR,MIN,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,1,0,0,0,1,0,0,0,0,2,
Pete Fairbanks,2021-09-01,TBR,BOS,0,0,1,9.00,1,0,0,0,0,0,0,1.0,6,3,1,1,0,0,0,0,0,0,3,
Pete Fairbanks,2021-08-30,TBR,BOS,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Pete Fairbanks,2021-07-28,TBR,NYY,0,0,1,9.00,1,0,0,0,0,0,0,0.0,2,1,2,1,0,0,0,1,0,0,0,
Pete Fairbanks,2021-07-23,TBR,@CLE,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,1,
Pete Fairbanks,2021-07-22,TBR,@CLE,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Pete Fairbanks,2021-07-20,TBR,BAL,0,0,0,0.00,1,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,2,
Pete Fairbanks,2021-07-18,TBR,@ATL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Pete Fairbanks,2021-07-16,TBR,@ATL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Pete Fairbanks,2021-07-10,TBR,TOR,0,0,0,0.00,1,0,0,0,0,1,0,1.1,4,0,0,0,0,0,0,0,0,0,3,
Pete Fairbanks,2021-07-07,TBR,CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Pete Fairbanks,2021-07-05,TBR,CLE,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Pete Fairbanks,2021-07-03,TBR,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Pete Fairbanks,2021-06-30,TBR,@WSN,0,0,0,108.00,1,0,0,0,0,0,0,0.1,7,3,4,4,0,3,0,0,1,0,1,
Pete Fairbanks,2021-06-27,TBR,LAA,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,1,1,0,0,0,0,1,
Pete Fairbanks,2021-06-22,TBR,BOS,0,0,1,4.50,1,0,0,0,0,0,0,2.0,9,3,4,1,0,1,1,0,1,0,1,
Pete Fairbanks,2021-06-20,TBR,@SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Pete Fairbanks,2021-06-17,TBR,@SEA,0,0,1,54.00,1,0,0,0,0,0,1,0.1,5,3,2,2,0,1,0,0,0,0,0,
Pete Fairbanks,2021-06-16,TBR,@CHW,0,0,1,0.00,1,0,0,0,0,0,0,0.1,2,1,1,0,0,0,0,0,0,0,0,
Pete Fairbanks,2021-06-14,TBR,@CHW,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Pete Fairbanks,2021-06-12,TBR,BAL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Pete Fairbanks,2021-06-11,TBR,BAL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Pete Fairbanks,2021-06-06,TBR,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,2,
Pete Fairbanks,2021-06-05,TBR,@TEX,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,1,0,0,0,0,0,0,0,0,2,
Pete Fairbanks,2021-06-01,TBR,@NYY,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,2,0,0,0,0,0,
