Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Raisel Iglesias,2022-07-08,LAA,@BAL,0,0,1,40.50,1,0,0,0,0,0,1,0.2,6,4,3,3,0,0,0,0,1,0,1,
Raisel Iglesias,2022-07-06,LAA,@MIA,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,0,1,0,0,0,0,0,
Raisel Iglesias,2022-07-02,LAA,@HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,0,0,1,0,0,2,
Raisel Iglesias,2022-06-29,LAA,CHW,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Raisel Iglesias,2022-06-27,LAA,CHW,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Raisel Iglesias,2022-06-21,LAA,KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Raisel Iglesias,2022-06-19,LAA,@SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Raisel Iglesias,2022-06-18,LAA,@SEA,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Raisel Iglesias,2022-06-16,LAA,@SEA,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Raisel Iglesias,2022-06-12,LAA,NYM,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,1,0,0,0,0,0,1,
Raisel Iglesias,2022-06-09,LAA,BOS,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Raisel Iglesias,2022-06-07,LAA,BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,1,0,1,
Raisel Iglesias,2022-06-05,LAA,@PHI,0,0,1,20.25,1,0,0,0,0,0,1,1.1,7,3,3,3,1,0,0,0,0,0,1,
Raisel Iglesias,2022-05-27,LAA,TOR,0,0,1,0.00,1,0,0,0,0,0,0,1.0,5,2,1,0,0,0,0,0,0,0,1,
Raisel Iglesias,2022-05-24,LAA,TEX,0,0,0,0.00,1,0,0,0,1,0,0,0.1,2,1,0,0,0,0,0,0,0,0,1,
Raisel Iglesias,2022-05-22,LAA,OAK,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Raisel Iglesias,2022-05-21,LAA,OAK,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Raisel Iglesias,2022-05-18,LAA,@TEX,0,0,1,27.00,1,0,0,0,0,0,0,0.1,2,1,2,1,1,0,0,0,0,0,1,
Raisel Iglesias,2022-05-14,LAA,@OAK,0,0,1,40.50,1,0,0,0,0,0,1,0.2,5,2,3,3,1,1,0,0,0,0,0,
Raisel Iglesias,2022-05-13,LAA,@OAK,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Raisel Iglesias,2022-05-11,LAA,TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Raisel Iglesias,2022-05-06,LAA,WSN,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Raisel Iglesias,2022-05-01,LAA,@CHW,0,0,0,54.00,1,0,0,0,0,0,0,0.1,6,3,2,2,0,1,0,1,0,0,1,
Raisel Iglesias,2022-04-29,LAA,@CHW,0,0,0,0.00,1,0,0,0,1,0,0,0.2,3,0,0,0,0,1,0,0,1,0,1,
Raisel Iglesias,2022-04-28,LAA,CLE,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,1,0,0,0,0,0,0,0,0,1,
Raisel Iglesias,2022-04-26,LAA,CLE,0,0,0,0.00,1,0,0,0,1,0,0,0.2,2,0,0,0,0,0,0,0,0,0,2,
Raisel Iglesias,2022-04-25,LAA,CLE,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Raisel Iglesias,2022-04-23,LAA,BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Raisel Iglesias,2022-04-20,LAA,@HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Raisel Iglesias,2022-04-15,LAA,@TEX,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Raisel Iglesias,2022-04-12,LAA,MIA,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Raisel Iglesias,2022-04-11,LAA,MIA,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,0,
Raisel Iglesias,2022-04-09,LAA,HOU,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Raisel Iglesias,2021-10-03,LAA,@SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Raisel Iglesias,2021-10-01,LAA,@SEA,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Raisel Iglesias,2021-09-29,LAA,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Raisel Iglesias,2021-09-23,LAA,HOU,0,0,0,9.00,1,0,0,0,1,0,0,1.0,5,2,1,1,1,0,0,0,0,0,3,
Raisel Iglesias,2021-09-22,LAA,HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Raisel Iglesias,2021-09-19,LAA,OAK,0,0,1,0.00,1,0,0,0,0,0,0,1.0,5,1,1,0,0,1,0,0,0,0,0,
Raisel Iglesias,2021-09-15,LAA,@CHW,0,0,0,0.00,1,0,0,0,1,0,0,1.0,5,2,0,0,0,0,0,0,0,0,2,
Raisel Iglesias,2021-09-11,LAA,@HOU,0,0,0,9.00,1,0,0,0,1,0,0,1.0,6,2,1,1,0,1,0,0,0,1,1,
Raisel Iglesias,2021-09-07,LAA,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Raisel Iglesias,2021-09-03,LAA,TEX,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Raisel Iglesias,2021-08-31,LAA,NYY,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Raisel Iglesias,2021-08-30,LAA,NYY,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Raisel Iglesias,2021-08-28,LAA,SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Raisel Iglesias,2021-08-24,LAA,@BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,0,
Raisel Iglesias,2021-08-18,LAA,@DET,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Raisel Iglesias,2021-08-15,LAA,HOU,0,0,0,0.00,1,0,0,0,1,0,0,1.1,6,2,0,0,0,0,0,0,0,0,3,
