Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Randy Dobnak,2021-09-03,MIN,@TBR,1,0,1,6.43,1,1,0,0,0,0,0,7.0,28,6,5,5,0,0,0,0,1,0,2,58
Randy Dobnak,2021-06-19,MIN,@TEX,1,0,0,3.60,1,1,0,0,0,0,0,5.0,19,4,2,2,1,1,0,0,1,0,1,50
Randy Dobnak,2021-06-13,MIN,HOU,0,0,0,27.00,1,0,0,0,0,0,0,2.0,13,7,6,6,1,0,0,0,0,0,2,
Randy Dobnak,2021-06-09,MIN,NYY,1,0,1,15.43,1,1,0,0,0,0,0,4.2,26,11,8,8,4,3,0,0,0,0,0,-7
Randy Dobnak,2021-06-02,MIN,@BAL,1,0,1,4.76,1,1,0,0,0,0,0,5.2,27,8,3,3,1,2,0,1,0,0,3,43
Randy Dobnak,2021-05-28,MIN,KCR,1,0,1,9.00,1,1,0,0,0,0,0,6.0,27,9,6,6,0,1,0,0,0,0,3,42
Randy Dobnak,2021-05-21,MIN,@CLE,1,1,0,0.00,1,1,0,0,0,0,0,6.0,24,3,0,0,0,2,0,0,0,0,5,72
Randy Dobnak,2021-05-01,MIN,KCR,0,0,0,6.00,1,0,0,0,0,0,0,3.0,13,3,2,2,2,1,0,0,0,0,3,
Randy Dobnak,2021-04-28,MIN,@CLE,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,3,
Randy Dobnak,2021-04-21,MIN,@OAK,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Randy Dobnak,2021-04-16,MIN,@LAA,0,0,1,19.29,1,0,0,0,0,0,0,2.1,13,6,5,5,0,0,0,0,0,0,4,
Randy Dobnak,2021-04-13,MIN,BOS,0,0,1,3.00,1,0,0,0,0,0,0,3.0,11,2,1,1,0,1,0,0,0,0,0,
Randy Dobnak,2021-04-05,MIN,@DET,0,0,0,15.00,1,0,0,0,1,0,0,3.0,15,5,5,5,2,1,0,0,0,0,1,
Randy Dobnak,2021-04-01,MIN,@MIL,0,0,1,0.00,1,0,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,0,0,
Randy Dobnak,2020-09-15,MIN,@CHW,1,0,1,8.31,1,1,0,0,0,0,0,4.1,24,8,4,4,0,1,0,2,0,0,4,42
Randy Dobnak,2020-09-08,MIN,@STL,1,0,1,16.87,1,1,0,0,0,0,0,2.2,15,2,5,5,0,2,0,2,0,0,2,37
Randy Dobnak,2020-09-04,MIN,DET,1,1,0,0.00,1,1,0,0,0,0,0,5.0,18,4,0,0,0,1,0,0,0,0,4,66
Randy Dobnak,2020-08-29,MIN,@DET,1,0,1,12.46,1,1,0,0,0,0,0,4.1,24,12,6,6,0,2,0,0,0,0,1,23
Randy Dobnak,2020-08-22,MIN,@KCR,1,1,0,3.60,1,1,0,0,0,0,0,5.0,23,8,2,2,1,1,0,0,0,0,2,44
Randy Dobnak,2020-08-16,MIN,KCR,1,1,0,3.38,1,1,0,0,0,0,0,5.1,20,3,2,2,2,1,0,0,0,0,3,51
Randy Dobnak,2020-08-10,MIN,@MIL,1,1,0,1.80,1,1,0,0,0,0,0,5.0,20,4,1,1,0,1,0,0,0,0,3,62
Randy Dobnak,2020-08-05,MIN,@PIT,1,1,0,0.00,1,1,0,0,0,0,0,6.0,20,3,0,0,0,0,0,0,0,0,1,73
Randy Dobnak,2020-07-31,MIN,CLE,1,1,0,0.00,1,1,0,0,0,0,0,5.0,19,3,0,0,0,2,0,0,0,0,4,66
Randy Dobnak,2020-07-25,MIN,@CHW,1,0,1,2.25,1,1,0,0,0,0,0,4.0,17,3,1,1,0,2,0,0,0,0,3,56
