Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Richard Bleier,2022-07-11,MIA,PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Richard Bleier,2022-07-10,MIA,@NYM,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,0,0,0,0,0,0,
Richard Bleier,2022-07-07,MIA,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Richard Bleier,2022-07-06,MIA,LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Richard Bleier,2022-06-27,MIA,@STL,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,2,2,2,1,0,0,0,0,0,0,
Richard Bleier,2022-06-25,MIA,NYM,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,0,0,1,
Richard Bleier,2022-06-21,MIA,COL,0,0,0,0.00,1,0,0,0,0,0,1,0.1,2,1,0,0,0,0,0,0,0,0,1,
Richard Bleier,2022-06-18,MIA,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Richard Bleier,2022-06-14,MIA,@PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.2,6,1,0,0,0,0,0,0,0,0,0,
Richard Bleier,2022-06-12,MIA,@HOU,0,0,0,0.00,1,0,0,0,0,0,0,0.1,3,2,0,0,0,0,0,0,0,0,0,
Richard Bleier,2022-06-10,MIA,@HOU,0,0,0,27.00,1,0,0,0,0,0,0,0.1,3,2,1,1,0,0,0,0,0,0,0,
Richard Bleier,2022-06-09,MIA,WSN,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,0,0,0,0,1,0,0,0,0,1,
Richard Bleier,2022-06-07,MIA,WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,0,
Richard Bleier,2022-06-05,MIA,SFG,0,0,0,13.50,1,0,0,0,0,0,0,0.2,3,1,1,1,0,0,0,0,0,0,1,
Richard Bleier,2022-06-03,MIA,SFG,1,0,1,9.00,1,1,0,0,0,0,0,1.0,5,1,1,1,0,1,0,0,0,0,1,39
Richard Bleier,2022-06-01,MIA,@COL,0,0,0,27.00,1,0,0,0,0,0,0,0.2,5,3,2,2,0,0,0,0,0,0,0,
Richard Bleier,2022-05-29,MIA,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Richard Bleier,2022-05-06,MIA,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,0,
Richard Bleier,2022-05-04,MIA,ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Richard Bleier,2022-05-02,MIA,ARI,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,3,1,1,0,0,0,0,0,0,1,
Richard Bleier,2022-05-01,MIA,SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Richard Bleier,2022-04-28,MIA,@WSN,0,0,0,13.50,1,0,0,0,0,1,0,0.2,5,2,1,1,0,1,0,0,0,0,0,
Richard Bleier,2022-04-26,MIA,@WSN,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,0,0,0,
Richard Bleier,2022-04-24,MIA,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,0.1,3,1,0,0,0,1,0,0,0,0,0,
Richard Bleier,2022-04-22,MIA,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,0.1,2,1,0,0,0,0,0,0,0,0,0,
Richard Bleier,2022-04-15,MIA,PHI,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Richard Bleier,2022-04-09,MIA,@SFG,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
