Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Ross Stripling,2022-07-08,TOR,@SEA,1,0,0,3.60,1,1,0,0,0,0,0,5.0,22,7,2,2,0,1,0,0,0,0,6,53
Ross Stripling,2022-07-03,TOR,TBR,1,0,1,5.79,1,1,0,0,0,0,0,4.2,21,7,4,3,1,1,0,0,0,0,3,36
Ross Stripling,2022-06-28,TOR,BOS,1,0,0,3.60,1,1,0,0,0,0,0,5.0,20,5,2,2,1,1,0,0,0,0,3,48
Ross Stripling,2022-06-22,TOR,@CHW,1,1,0,1.50,1,1,0,0,0,0,0,6.0,22,5,1,1,0,1,0,0,0,0,5,65
Ross Stripling,2022-06-17,TOR,NYY,1,0,1,4.91,1,1,0,0,0,0,0,3.2,18,5,2,2,0,2,0,0,0,0,3,44
Ross Stripling,2022-06-12,TOR,@DET,1,1,0,0.00,1,1,0,0,0,0,0,6.0,18,1,0,0,0,0,0,0,0,0,4,77
Ross Stripling,2022-06-06,TOR,@KCR,1,1,0,0.00,1,1,0,0,0,0,0,5.0,16,1,0,0,0,0,0,0,0,0,2,69
Ross Stripling,2022-06-01,TOR,CHW,0,1,0,0.00,1,0,0,0,0,0,0,2.2,11,3,0,0,0,0,0,0,0,0,2,
Ross Stripling,2022-05-29,TOR,@LAA,0,0,0,5.40,1,0,0,0,0,0,0,1.2,8,2,1,1,0,1,0,0,0,0,3,
Ross Stripling,2022-05-28,TOR,@LAA,0,0,0,0.00,1,0,0,0,1,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Ross Stripling,2022-05-24,TOR,@STL,0,0,0,4.50,1,0,0,0,0,0,0,2.0,8,2,1,1,0,0,0,0,0,0,3,
Ross Stripling,2022-05-18,TOR,SEA,0,0,0,4.50,1,0,0,0,0,0,0,2.0,8,1,1,1,1,1,0,0,0,0,2,
Ross Stripling,2022-05-16,TOR,SEA,0,0,0,0.00,1,0,0,0,0,0,0,0.1,4,1,1,0,0,1,0,0,0,0,1,
Ross Stripling,2022-05-07,TOR,@CLE,1,0,1,9.00,1,1,0,0,0,0,0,4.0,18,5,4,4,1,1,0,0,0,0,3,36
Ross Stripling,2022-05-02,TOR,NYY,1,0,0,4.50,1,1,0,0,0,0,0,4.0,18,6,2,2,1,0,0,0,0,0,3,42
Ross Stripling,2022-04-27,TOR,BOS,1,0,0,1.80,1,1,0,0,0,0,0,5.0,20,5,1,1,0,0,0,0,0,0,7,63
Ross Stripling,2022-04-22,TOR,@HOU,1,0,0,6.75,1,1,0,0,0,0,0,4.0,18,5,3,3,0,1,0,0,0,0,2,44
Ross Stripling,2022-04-15,TOR,OAK,1,0,0,0.00,1,1,0,0,0,0,0,4.0,14,2,0,0,0,0,0,0,0,0,3,62
Ross Stripling,2022-04-10,TOR,TEX,0,0,0,18.00,1,0,0,0,0,0,0,1.0,7,1,2,2,0,3,0,0,0,0,0,
Ross Stripling,2022-04-08,TOR,TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Ross Stripling,2021-10-02,TOR,BAL,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,0,
Ross Stripling,2021-09-22,TOR,@TBR,0,0,1,33.75,1,0,0,0,0,0,0,1.1,10,5,5,5,1,1,0,0,0,0,0,
Ross Stripling,2021-09-17,TOR,MIN,0,0,0,3.00,1,0,0,0,0,0,0,3.0,12,2,1,1,1,1,0,0,0,0,2,
Ross Stripling,2021-09-11,TOR,@BAL,0,0,0,16.20,1,0,0,0,0,0,0,1.2,10,5,3,3,2,0,0,0,0,0,1,
Ross Stripling,2021-08-10,TOR,@LAA,1,0,0,0.00,1,1,0,0,0,0,0,2.0,8,1,0,0,0,1,0,0,0,0,0,49
Ross Stripling,2021-08-05,TOR,CLE,1,1,0,0.00,1,1,0,0,0,0,0,6.0,23,3,0,0,0,1,0,0,0,0,6,75
Ross Stripling,2021-07-30,TOR,KCR,1,1,0,3.38,1,1,0,0,0,0,0,5.1,21,4,2,2,1,1,0,0,0,0,1,52
Ross Stripling,2021-07-25,TOR,@NYM,1,0,0,1.80,1,1,0,0,0,0,0,5.0,18,5,1,1,0,0,0,0,0,0,6,64
Ross Stripling,2021-07-19,TOR,BOS,1,0,1,162.00,1,1,0,0,0,0,0,0.1,7,4,6,6,2,2,0,0,0,0,0,1
Ross Stripling,2021-07-10,TOR,@TBR,1,0,1,9.82,1,1,0,0,0,0,0,3.2,17,4,4,4,3,2,0,0,0,0,5,26
Ross Stripling,2021-07-03,TOR,TBR,1,0,0,1.59,1,1,0,0,0,0,0,5.2,22,2,1,1,1,3,0,0,0,0,5,61
Ross Stripling,2021-06-27,TOR,BAL,1,1,0,3.60,1,1,0,0,0,0,0,5.0,23,6,2,2,1,1,0,0,0,0,3,48
Ross Stripling,2021-06-22,TOR,@MIA,1,0,0,1.50,1,1,0,0,0,0,0,6.0,21,2,1,1,1,1,0,0,0,0,7,69
Ross Stripling,2021-06-16,TOR,NYY,1,0,1,2.70,1,1,0,0,0,0,0,6.2,27,3,3,2,1,2,0,0,0,0,9,65
Ross Stripling,2021-06-11,TOR,@BOS,1,0,0,6.35,1,1,0,0,0,0,0,5.2,24,5,4,4,1,2,0,0,0,0,6,49
Ross Stripling,2021-06-05,TOR,HOU,1,1,0,1.80,1,1,0,0,0,0,0,5.0,21,7,1,1,0,1,0,1,0,0,4,56
Ross Stripling,2021-05-30,TOR,@CLE,1,1,0,1.80,1,1,0,0,0,0,0,5.0,18,2,1,1,1,1,0,0,0,0,3,59
Ross Stripling,2021-05-24,TOR,TBR,0,0,0,0.00,1,0,0,0,0,0,0,7.0,24,2,0,0,0,2,0,1,0,0,7,
Ross Stripling,2021-05-19,TOR,BOS,1,0,1,14.73,1,1,0,0,0,0,0,3.2,19,8,6,6,3,0,0,0,0,0,3,14
Ross Stripling,2021-05-13,TOR,@ATL,1,0,0,3.60,1,1,0,0,0,0,0,5.0,20,4,2,2,1,1,0,0,0,0,9,58
Ross Stripling,2021-05-07,TOR,@HOU,1,0,1,7.36,1,1,0,0,0,0,0,3.2,19,6,3,3,1,3,0,0,0,0,3,33
Ross Stripling,2021-05-02,TOR,ATL,1,0,0,4.15,1,1,0,0,0,0,0,4.1,19,5,2,2,0,1,0,0,0,0,4,53
Ross Stripling,2021-04-08,TOR,LAA,1,0,0,7.20,1,1,0,0,0,0,0,5.0,22,6,4,4,1,1,0,0,0,0,5,44
Ross Stripling,2021-04-03,TOR,@NYY,1,0,1,8.10,1,1,0,0,0,0,0,3.1,19,7,3,3,1,2,0,0,0,0,5,33
Ross Stripling,2020-09-26,TOR,BAL,0,0,0,27.00,1,0,0,0,0,0,0,0.2,4,3,2,2,0,0,0,0,0,0,0,
Ross Stripling,2020-09-23,TOR,NYY,0,0,0,0.00,1,0,0,0,1,0,0,4.0,13,1,0,0,0,0,0,0,0,0,3,
Ross Stripling,2020-09-18,TOR,@PHI,1,0,0,8.10,1,1,0,0,0,0,0,3.1,16,4,3,3,1,3,0,0,0,0,4,37
Ross Stripling,2020-09-09,TOR,NYY,0,0,1,8.10,1,0,0,0,0,0,0,3.1,16,4,3,3,0,2,0,0,0,0,2,
Ross Stripling,2020-09-04,TOR,BOS,1,0,1,6.23,1,1,0,0,0,0,0,4.1,21,6,3,3,0,2,0,0,0,0,4,47
Ross Stripling,2020-08-29,LAD,@TEX,1,0,0,6.75,1,1,0,0,0,0,0,4.0,18,4,3,3,2,3,0,0,0,0,3,33
Ross Stripling,2020-08-23,LAD,COL,1,0,0,4.50,1,1,0,0,0,0,0,4.0,20,6,2,2,2,2,0,0,0,0,2,33
Ross Stripling,2020-08-17,LAD,SEA,1,0,0,18.00,1,1,0,0,0,0,0,3.0,17,8,7,6,3,0,0,0,1,0,2,6
Ross Stripling,2020-08-11,LAD,SDP,1,0,1,3.86,1,1,0,0,0,0,0,4.2,22,6,6,2,2,2,0,0,0,0,4,27
Ross Stripling,2020-08-05,LAD,@SDP,1,1,0,6.35,1,1,0,0,0,0,0,5.2,25,6,4,4,1,2,0,0,0,0,7,48
