Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Ryne Stanek,2022-07-06,HOU,KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.2,7,2,0,0,0,1,0,0,0,0,2,
Ryne Stanek,2022-07-04,HOU,KCR,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,0,
Ryne Stanek,2022-06-30,HOU,NYY,0,0,0,0.00,1,0,0,0,0,1,0,0.2,4,1,0,0,0,1,0,0,0,0,1,
Ryne Stanek,2022-06-26,HOU,@NYY,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,2,
Ryne Stanek,2022-06-23,HOU,@NYY,0,0,0,0.00,1,0,0,0,0,0,0,0.1,3,1,0,0,0,1,0,0,0,0,1,
Ryne Stanek,2022-06-22,HOU,NYM,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Ryne Stanek,2022-06-19,HOU,CHW,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Ryne Stanek,2022-06-17,HOU,CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Ryne Stanek,2022-06-13,HOU,@TEX,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,2,0,0,0,0,0,0,0,0,2,
Ryne Stanek,2022-06-11,HOU,MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Ryne Stanek,2022-06-06,HOU,SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,0,0,0,0,0,2,
Ryne Stanek,2022-06-05,HOU,@KCR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Ryne Stanek,2022-05-31,HOU,@OAK,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
