Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Spencer Strider,2022-07-07,ATL,STL,1,0,0,0.00,1,1,0,0,0,0,0,6.0,22,2,0,0,0,2,0,0,0,0,12,79
Spencer Strider,2022-07-02,ATL,@CIN,1,1,0,1.50,1,1,0,0,0,0,0,6.0,21,1,1,1,0,1,0,1,1,0,11,79
Spencer Strider,2022-06-26,ATL,LAD,1,0,0,0.00,1,1,0,0,0,0,0,6.0,23,5,0,0,0,0,0,0,1,0,7,72
Spencer Strider,2022-06-21,ATL,SFG,1,0,0,14.73,1,1,0,0,0,0,0,3.2,19,6,6,6,1,1,0,1,0,0,4,27
Spencer Strider,2022-06-15,ATL,@WSN,1,1,0,3.18,1,1,0,0,0,0,0,5.2,21,1,2,2,1,2,0,0,0,0,11,66
Spencer Strider,2022-06-10,ATL,PIT,1,1,0,0.00,1,1,0,0,0,0,0,5.2,22,4,0,0,0,1,0,0,0,0,8,71
Spencer Strider,2022-06-04,ATL,@COL,1,0,0,2.25,1,1,0,0,0,0,0,4.0,19,2,1,1,0,5,0,0,2,0,5,51
Spencer Strider,2022-05-30,ATL,@ARI,1,0,1,6.23,1,1,0,0,0,0,0,4.1,19,4,5,3,1,2,0,0,0,0,7,39
Spencer Strider,2022-05-25,ATL,PHI,0,1,0,0.00,1,0,0,0,0,0,0,2.2,10,0,0,0,0,2,0,0,0,0,5,
Spencer Strider,2022-05-20,ATL,@MIA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,2,0,0,0,0,0,0,0,0,0,
Spencer Strider,2022-05-18,ATL,@MIL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Spencer Strider,2022-05-16,ATL,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,1,0,0,0,0,0,0,0,0,3,
Spencer Strider,2022-05-13,ATL,SDP,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,2,2,2,0,0,0,0,0,0,2,
Spencer Strider,2022-05-06,ATL,MIL,0,0,0,0.00,1,0,0,0,0,0,0,4.0,16,4,0,0,0,0,0,0,0,0,8,
Spencer Strider,2022-04-30,ATL,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,3.2,12,0,0,0,0,1,0,0,0,0,5,
Spencer Strider,2022-04-23,ATL,MIA,0,0,1,27.00,1,0,0,0,0,0,1,0.0,4,2,3,3,0,2,0,0,1,0,0,
Spencer Strider,2022-04-17,ATL,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,3.2,13,0,0,0,0,3,0,0,0,0,3,
Spencer Strider,2022-04-11,ATL,WSN,0,0,0,2.70,1,0,0,0,0,0,0,3.1,15,3,1,1,0,3,0,0,0,0,3,
Spencer Strider,2022-04-07,ATL,CIN,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,5,
Spencer Strider,2021-10-03,ATL,NYM,0,1,0,0.00,1,0,0,0,0,0,0,1.1,5,0,0,0,0,1,0,0,0,0,0,
Spencer Strider,2021-10-01,ATL,NYM,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,2,1,1,1,0,0,0,0,0,0,
