Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Tanner Scott,2022-07-10,MIA,@NYM,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Tanner Scott,2022-07-09,MIA,@NYM,0,0,1,0.00,1,0,0,0,0,0,1,0.2,4,1,2,0,0,0,0,0,0,0,2,
Tanner Scott,2022-07-08,MIA,@NYM,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Tanner Scott,2022-07-05,MIA,LAA,0,0,0,9.00,1,0,0,0,1,0,0,1.0,6,1,1,1,0,2,0,0,0,0,1,
Tanner Scott,2022-07-03,MIA,@WSN,0,1,0,9.00,1,0,0,0,0,0,1,1.0,6,1,1,1,0,1,0,1,0,0,1,
Tanner Scott,2022-07-02,MIA,@WSN,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Tanner Scott,2022-07-01,MIA,@WSN,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Tanner Scott,2022-06-26,MIA,NYM,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,1,0,2,
Tanner Scott,2022-06-23,MIA,COL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,3,
Tanner Scott,2022-06-21,MIA,COL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Tanner Scott,2022-06-19,MIA,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,2,0,0,0,0,1,
Tanner Scott,2022-06-15,MIA,@PHI,0,0,1,40.50,1,0,0,0,0,0,1,0.2,5,2,3,3,1,1,0,0,0,0,2,
Tanner Scott,2022-06-14,MIA,@PHI,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Tanner Scott,2022-06-10,MIA,@HOU,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Tanner Scott,2022-06-09,MIA,WSN,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Tanner Scott,2022-06-08,MIA,WSN,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,1,1,0,0,0,0,0,0,0,2,
Tanner Scott,2022-06-04,MIA,SFG,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Tanner Scott,2022-06-02,MIA,SFG,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Tanner Scott,2022-05-30,MIA,@COL,0,0,0,27.00,1,0,0,0,0,0,0,1.0,6,3,3,3,0,0,0,0,0,0,1,
Tanner Scott,2022-05-27,MIA,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Tanner Scott,2022-05-21,MIA,ATL,0,0,0,27.00,1,0,0,0,0,0,0,0.2,5,2,2,2,0,1,0,0,0,0,0,
Tanner Scott,2022-05-18,MIA,WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,1,
Tanner Scott,2022-05-17,MIA,WSN,0,0,0,0.00,1,0,0,0,0,1,0,1.1,5,0,0,0,0,1,0,0,0,0,1,
Tanner Scott,2022-05-15,MIA,MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,2,0,0,0,0,1,
Tanner Scott,2022-05-13,MIA,MIL,0,0,1,9.00,1,0,0,0,0,0,0,0.0,3,2,1,1,0,0,0,1,0,0,0,
Tanner Scott,2022-05-09,MIA,@ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Tanner Scott,2022-05-06,MIA,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,2,0,0,0,0,2,
Tanner Scott,2022-05-04,MIA,ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,1,0,0,0,0,0,0,0,2,
Tanner Scott,2022-05-02,MIA,ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Tanner Scott,2022-04-29,MIA,SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Tanner Scott,2022-04-27,MIA,@WSN,0,0,0,0.00,1,0,0,0,0,0,0,0.0,3,1,0,0,0,2,0,0,0,0,0,
Tanner Scott,2022-04-24,MIA,@ATL,0,0,0,81.00,1,0,0,0,0,0,0,0.1,4,2,3,3,1,0,0,0,1,0,1,
Tanner Scott,2022-04-23,MIA,@ATL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Tanner Scott,2022-04-21,MIA,STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Tanner Scott,2022-04-19,MIA,STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Tanner Scott,2022-04-16,MIA,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,0,0,1,0,0,3,
Tanner Scott,2022-04-12,MIA,@LAA,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,1,2,2,1,1,0,0,0,0,2,
Tanner Scott,2022-04-11,MIA,@LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Tanner Scott,2022-04-08,MIA,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Tanner Scott,2021-09-11,BAL,TOR,0,0,0,162.00,1,0,0,0,0,0,0,0.1,7,6,6,6,2,0,0,0,0,0,0,
Tanner Scott,2021-09-09,BAL,KCR,0,0,0,18.00,1,0,0,0,0,0,0,1.0,6,3,2,2,0,0,0,0,1,0,1,
Tanner Scott,2021-09-05,BAL,@NYY,0,0,0,0.00,1,0,0,0,0,1,0,1.2,7,1,0,0,0,1,0,0,0,0,2,
Tanner Scott,2021-09-04,BAL,@NYY,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,0,1,0,0,1,0,0,0,0,2,
Tanner Scott,2021-09-01,BAL,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,2,0,0,0,0,0,0,0,0,0,
Tanner Scott,2021-08-29,BAL,TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,1,
Tanner Scott,2021-08-27,BAL,TBR,0,0,0,27.00,1,0,0,0,0,0,0,1.0,6,1,3,3,1,1,0,1,0,0,0,
Tanner Scott,2021-08-25,BAL,LAA,0,1,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Tanner Scott,2021-08-22,BAL,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Tanner Scott,2021-08-20,BAL,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Tanner Scott,2021-08-18,BAL,@TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,1,0,1,
Tanner Scott,2021-08-17,BAL,@TBR,0,0,0,27.00,1,0,0,0,0,0,0,0.2,4,2,2,2,1,0,0,0,0,0,1,
Tanner Scott,2021-08-15,BAL,@BOS,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,1,0,0,0,1,0,0,0,0,0,
Tanner Scott,2021-08-12,BAL,DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Tanner Scott,2021-07-31,BAL,@DET,0,0,0,9.00,1,0,0,0,0,0,0,0.0,3,0,1,1,0,2,0,1,0,0,0,
Tanner Scott,2021-07-30,BAL,@DET,0,0,0,27.00,1,0,0,0,0,0,0,0.0,4,2,3,3,0,1,0,1,1,0,0,
