Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Taylor Hearn,2022-06-25,TEX,WSN,0,0,0,0.00,1,0,0,0,0,0,0,4.0,14,0,0,0,0,2,0,0,1,0,1,
Taylor Hearn,2022-06-18,TEX,@DET,1,0,1,19.64,1,1,0,0,0,0,0,3.2,21,10,8,8,2,0,0,1,0,0,4,9
Taylor Hearn,2022-06-13,TEX,HOU,1,0,0,5.06,1,1,0,0,0,0,0,5.1,25,7,3,3,0,3,0,0,0,0,3,45
Taylor Hearn,2022-06-07,TEX,@CLE,1,1,0,4.76,1,1,0,0,0,0,0,5.2,23,4,3,3,0,2,0,0,1,0,6,58
Taylor Hearn,2022-06-02,TEX,TBR,1,0,1,6.75,1,1,0,0,0,0,0,4.0,22,6,3,3,0,4,0,0,0,0,3,37
Taylor Hearn,2022-05-28,TEX,@OAK,1,1,0,3.00,1,1,0,0,0,0,0,6.0,27,8,3,2,1,1,0,0,0,0,5,47
Taylor Hearn,2022-05-22,TEX,@HOU,1,0,1,7.71,1,1,0,0,0,0,0,4.2,22,6,4,4,1,2,0,0,0,0,2,35
Taylor Hearn,2022-05-17,TEX,LAA,1,0,0,6.75,1,1,0,0,0,0,0,4.0,20,5,3,3,2,3,0,0,0,0,2,28
Taylor Hearn,2022-05-12,TEX,KCR,1,1,0,0.00,1,1,0,0,0,0,0,5.0,19,1,0,0,0,3,0,0,0,0,5,66
Taylor Hearn,2022-05-01,TEX,ATL,1,1,0,3.60,1,1,0,0,0,0,0,5.0,21,4,2,2,0,3,0,0,0,0,6,55
Taylor Hearn,2022-04-26,TEX,HOU,1,0,1,7.20,1,1,0,0,0,0,0,5.0,20,5,4,4,1,1,0,0,1,0,4,43
Taylor Hearn,2022-04-21,TEX,@SEA,1,0,0,15.00,1,1,0,0,0,0,0,3.0,19,5,5,5,2,4,0,1,0,0,4,16
Taylor Hearn,2022-04-16,TEX,LAA,1,0,1,7.36,1,1,0,0,0,0,0,3.2,18,6,3,3,0,1,0,0,0,0,4,42
Taylor Hearn,2022-04-11,TEX,COL,1,0,0,2.25,1,1,0,0,0,0,0,4.0,21,8,1,1,0,1,0,1,0,0,6,48
Taylor Hearn,2021-09-29,TEX,LAA,1,0,1,6.75,1,1,0,0,0,0,0,5.1,21,6,4,4,0,1,0,0,2,0,2,49
Taylor Hearn,2021-09-22,TEX,@NYY,1,0,0,5.06,1,1,0,0,0,0,0,5.1,22,4,3,3,0,4,0,0,0,0,3,51
