Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Tommy Nance,2022-07-07,MIA,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Tommy Nance,2022-07-06,MIA,LAA,0,0,0,9.00,1,0,0,0,0,0,0,2.0,10,3,2,2,0,1,0,0,0,0,2,
Tommy Nance,2022-06-27,MIA,@STL,0,0,0,9.00,1,0,0,0,0,0,0,2.0,9,3,2,2,0,0,0,0,1,0,6,
Tommy Nance,2022-06-20,MIA,@NYM,0,0,0,18.00,1,0,0,0,0,0,0,1.0,8,2,2,2,0,2,0,1,1,0,2,
Tommy Nance,2022-06-17,MIA,@NYM,0,0,0,40.50,1,0,0,0,0,0,0,0.2,6,1,3,3,1,2,0,1,0,0,0,
Tommy Nance,2022-06-15,MIA,@PHI,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Tommy Nance,2022-06-12,MIA,@HOU,0,0,0,0.00,1,0,0,0,0,0,0,2.1,8,2,0,0,0,0,0,0,0,0,3,
Tommy Nance,2022-06-09,MIA,WSN,0,0,0,18.00,1,0,0,0,0,0,0,1.0,6,2,2,2,0,1,0,1,0,0,0,
Tommy Nance,2022-06-05,MIA,SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.2,9,2,0,0,0,2,0,0,0,0,1,
Tommy Nance,2022-06-01,MIA,@COL,0,0,0,6.75,1,0,0,0,0,0,0,1.1,7,4,1,1,0,0,0,0,0,0,3,
Tommy Nance,2022-05-29,MIA,@ATL,0,0,0,18.00,1,0,0,0,0,0,0,1.0,6,3,2,2,0,0,0,0,1,0,2,
Tommy Nance,2022-05-25,MIA,@TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,3,
Tommy Nance,2022-05-21,MIA,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,6,1,0,0,0,2,1,0,0,0,1,
Tommy Nance,2022-05-18,MIA,WSN,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,0,0,0,0,1,0,0,0,0,1,
Tommy Nance,2022-05-15,MIA,MIL,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,0,
Tommy Nance,2022-05-14,MIA,MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Tommy Nance,2022-05-09,MIA,@ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.2,5,0,0,0,0,1,0,0,0,0,3,
Tommy Nance,2021-10-01,CHC,@STL,0,0,1,13.50,1,0,0,0,0,0,0,0.2,4,1,1,1,0,1,0,0,0,0,0,
Tommy Nance,2021-09-25,CHC,STL,0,0,0,27.00,1,0,0,0,0,0,0,1.0,6,2,3,3,1,0,0,0,1,0,2,
Tommy Nance,2021-09-24,CHC,STL,0,0,0,18.00,1,0,0,0,0,0,0,1.0,7,3,2,2,0,0,0,1,0,0,0,
Tommy Nance,2021-09-21,CHC,MIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,2,
Tommy Nance,2021-09-16,CHC,@PHI,0,0,0,54.00,1,0,0,0,0,0,0,0.2,6,3,4,4,0,1,0,0,0,0,0,
Tommy Nance,2021-09-14,CHC,@PHI,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Tommy Nance,2021-09-11,CHC,SFG,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,1,0,0,0,0,0,2,
Tommy Nance,2021-09-10,CHC,SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Tommy Nance,2021-06-30,CHC,@MIL,0,0,0,27.00,1,0,0,0,0,0,0,1.2,10,2,5,5,1,1,0,2,1,0,2,
Tommy Nance,2021-06-27,CHC,@LAD,0,0,0,3.00,1,0,0,0,0,0,0,3.0,12,3,1,1,0,0,0,0,1,0,5,
Tommy Nance,2021-06-25,CHC,@LAD,0,0,0,27.00,1,0,0,0,0,0,0,0.2,4,2,2,2,1,0,0,0,0,0,0,
Tommy Nance,2021-06-21,CHC,CLE,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,0,1,0,0,2,0,2,
Tommy Nance,2021-06-19,CHC,MIA,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,2,2,2,1,0,0,0,0,0,0,
Tommy Nance,2021-06-16,CHC,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,0,
