Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Trevor Williams,2022-07-07,NYM,MIA,1,1,0,0.00,1,1,0,0,0,0,0,7.0,22,2,0,0,0,0,0,0,0,0,7,84
Trevor Williams,2022-07-02,NYM,TEX,1,0,1,12.27,1,1,0,0,0,0,0,3.2,17,5,5,5,3,1,0,0,0,0,3,19
Trevor Williams,2022-06-28,NYM,HOU,0,0,0,0.00,1,0,0,0,0,0,0,2.1,10,1,0,0,0,2,0,0,0,0,4,
Trevor Williams,2022-06-21,NYM,@HOU,1,0,1,6.75,1,1,0,0,0,0,0,4.0,17,4,3,3,2,3,0,0,0,0,2,30
Trevor Williams,2022-06-15,NYM,MIL,0,0,0,3.86,1,0,0,0,0,0,0,2.1,11,2,1,1,0,2,1,0,0,0,4,
Trevor Williams,2022-06-11,NYM,@LAA,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,1,
Trevor Williams,2022-06-05,NYM,@LAD,1,0,0,3.60,1,1,0,0,0,0,0,5.0,21,6,2,2,1,0,0,0,0,0,5,50
Trevor Williams,2022-05-31,NYM,WSN,1,1,0,0.00,1,1,0,0,0,0,0,5.0,20,4,0,0,0,2,0,0,0,0,1,58
Trevor Williams,2022-05-25,NYM,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,3.2,13,1,0,0,0,2,0,0,0,0,5,
Trevor Williams,2022-05-21,NYM,@COL,1,0,1,9.00,1,1,0,0,0,0,0,4.0,16,3,4,4,2,0,0,1,0,0,2,35
Trevor Williams,2022-05-17,NYM,STL,1,0,0,0.00,1,1,0,0,0,0,0,4.0,16,4,0,0,0,0,0,0,0,0,6,61
Trevor Williams,2022-05-11,NYM,@WSN,0,0,0,0.00,1,0,0,0,0,0,0,3.2,13,2,0,0,0,1,0,0,0,0,2,
Trevor Williams,2022-05-04,NYM,ATL,0,0,0,7.36,1,0,0,0,0,0,0,3.2,15,3,3,3,1,1,0,0,0,0,6,
Trevor Williams,2022-04-23,NYM,@ARI,1,0,1,18.00,1,1,0,0,0,0,0,2.0,13,7,4,4,0,0,0,0,0,0,0,25
Trevor Williams,2022-04-17,NYM,ARI,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,2,0,0,0,0,0,0,0,0,1,
Trevor Williams,2022-04-10,NYM,@WSN,0,0,1,0.00,1,0,0,0,0,0,1,1.0,7,2,2,0,0,0,0,0,0,0,0,
Trevor Williams,2021-10-03,NYM,@ATL,0,0,0,5.40,1,0,0,0,0,0,0,5.0,21,4,3,3,0,2,0,0,0,0,5,
Trevor Williams,2021-09-28,NYM,MIA,0,0,0,2.25,1,0,0,0,0,0,0,4.0,17,5,1,1,1,0,0,0,0,0,6,
Trevor Williams,2021-09-22,NYM,@BOS,0,0,0,9.00,1,0,0,0,0,0,0,4.0,21,8,6,4,0,1,0,0,0,0,4,
Trevor Williams,2021-09-14,NYM,STL,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,1,0,0,0,0,0,0,0,0,0,
Trevor Williams,2021-09-13,NYM,STL,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,2,
Trevor Williams,2021-09-06,NYM,@WSN,1,0,0,3.60,1,1,0,0,0,0,0,5.0,26,10,2,2,0,2,0,0,0,0,3,43
Trevor Williams,2021-08-31,NYM,MIA,1,0,0,0.00,1,1,0,0,0,0,0,4.1,18,4,1,0,0,0,0,0,0,0,4,59
Trevor Williams,2021-08-24,NYM,SFG,0,0,0,0.00,1,0,0,0,0,0,0,2.1,9,1,0,0,0,1,0,0,0,0,1,
Trevor Williams,2021-08-19,NYM,@LAD,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,0,0,0,0,1,0,1,0,0,2,
Trevor Williams,2021-08-12,NYM,WSN,1,0,0,2.08,1,1,0,0,0,0,0,4.1,17,3,1,1,0,2,0,0,0,0,2,55
Trevor Williams,2021-07-25,CHC,ARI,1,1,0,0.00,1,1,0,0,0,0,0,6.1,24,5,0,0,0,0,0,0,0,0,6,74
Trevor Williams,2021-07-20,CHC,@STL,1,0,0,7.20,1,1,0,0,0,0,0,5.0,23,7,4,4,1,1,0,0,0,0,3,39
Trevor Williams,2021-07-06,CHC,PHI,0,0,0,7.36,1,0,0,0,0,0,0,3.2,20,6,7,3,1,1,0,0,0,0,3,
Trevor Williams,2021-05-26,CHC,@PIT,1,1,0,1.50,1,1,0,0,0,0,0,6.0,20,3,1,1,0,0,0,0,0,0,7,74
Trevor Williams,2021-05-20,CHC,WSN,1,0,0,3.86,1,1,0,0,0,0,0,4.2,19,5,2,2,2,2,0,0,0,0,5,41
Trevor Williams,2021-05-15,CHC,@DET,1,0,0,13.50,1,1,0,0,0,0,0,2.0,12,4,3,3,0,2,0,0,0,0,2,33
Trevor Williams,2021-05-08,CHC,PIT,1,0,0,4.50,1,1,0,0,0,0,0,4.0,20,5,2,2,1,2,0,0,0,0,6,44
Trevor Williams,2021-05-02,CHC,@CIN,1,0,0,20.25,1,1,0,0,0,0,0,2.2,16,6,6,6,3,4,0,0,0,0,2,2
Trevor Williams,2021-04-27,CHC,@ATL,1,0,1,3.60,1,1,0,0,0,0,0,5.0,23,6,2,2,1,2,0,0,0,0,8,50
Trevor Williams,2021-04-22,CHC,NYM,1,0,0,3.60,1,1,0,0,0,0,0,5.0,21,5,2,2,1,1,0,0,0,0,6,52
Trevor Williams,2021-04-17,CHC,ATL,1,1,0,1.80,1,1,0,0,0,0,0,5.0,21,4,1,1,0,3,0,0,0,0,4,57
Trevor Williams,2021-04-11,CHC,@PIT,1,0,1,13.50,1,1,0,0,0,0,0,3.1,23,10,5,5,0,2,0,1,0,0,3,24
Trevor Williams,2021-04-05,CHC,MIL,1,1,0,3.00,1,1,0,0,0,0,0,6.0,22,2,2,2,0,2,0,1,0,0,6,68
Trevor Williams,2020-09-23,PIT,CHC,1,1,0,1.59,1,1,0,0,0,0,0,5.2,23,3,1,1,1,3,0,0,0,0,4,58
Trevor Williams,2020-09-18,PIT,STL,1,0,1,10.38,1,1,0,0,0,0,0,4.1,21,7,6,5,2,0,0,0,0,0,3,26
Trevor Williams,2020-09-12,PIT,@KCR,1,0,1,10.80,1,1,0,0,0,0,0,5.0,27,10,6,6,2,3,0,0,0,0,4,19
Trevor Williams,2020-09-05,PIT,CIN,1,0,1,7.50,1,1,0,0,0,0,0,6.0,26,5,5,5,3,3,0,0,0,0,6,34
Trevor Williams,2020-08-31,PIT,@MIL,1,0,0,6.75,1,1,0,0,0,0,0,4.0,21,7,5,3,1,2,0,1,0,0,6,32
Trevor Williams,2020-08-26,PIT,@CHW,1,0,1,12.00,1,1,0,0,0,0,0,6.0,28,9,8,8,3,2,0,0,0,0,3,16
Trevor Williams,2020-08-20,PIT,CLE,1,0,1,2.25,1,1,0,0,0,0,0,4.0,20,6,1,1,0,2,0,0,0,0,5,51
Trevor Williams,2020-08-13,PIT,@CIN,1,1,0,5.40,1,1,0,0,0,0,0,5.0,22,7,3,3,1,1,0,0,0,0,4,44
Trevor Williams,2020-08-05,PIT,MIN,1,0,1,1.29,1,1,0,0,0,0,0,7.0,25,3,1,1,0,1,0,1,0,0,5,77
Trevor Williams,2020-07-31,PIT,@CHC,1,0,1,3.86,1,1,0,0,0,0,0,4.2,21,4,3,2,1,3,0,1,0,0,6,46
Trevor Williams,2020-07-25,PIT,@STL,1,0,1,7.36,1,1,0,0,0,0,0,3.2,18,5,3,3,1,1,0,1,1,0,3,39
