Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Ty Blach,2022-07-01,COL,ARI,0,0,0,2.25,1,0,0,0,0,0,0,4.0,14,2,1,1,1,0,0,0,0,0,2,
Ty Blach,2022-06-29,COL,LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.1,6,2,0,0,0,0,0,0,0,0,1,
Ty Blach,2022-06-10,COL,@SDP,0,0,0,13.50,1,0,0,0,0,0,0,2.2,15,5,4,4,0,1,0,1,1,0,1,
Ty Blach,2022-06-02,COL,ATL,0,0,0,12.00,1,0,0,0,0,0,0,3.0,16,7,4,4,0,0,0,0,0,0,1,
Ty Blach,2022-05-26,COL,@WSN,0,0,0,9.00,1,0,0,0,0,0,0,1.0,6,1,1,1,0,2,0,0,0,0,0,
Ty Blach,2022-05-23,COL,@PIT,0,0,0,0.00,1,0,0,0,0,0,0,2.2,8,1,0,0,0,0,0,0,0,0,2,
Ty Blach,2022-05-21,COL,NYM,1,0,0,6.00,1,1,0,0,0,0,0,3.0,15,6,2,2,0,1,0,0,0,0,0,37
Ty Blach,2022-05-16,COL,SFG,0,0,0,12.00,1,0,0,0,0,0,0,3.0,13,3,4,4,2,1,0,0,0,0,2,
Ty Blach,2022-05-13,COL,KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Ty Blach,2022-05-10,COL,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,2.2,10,1,0,0,0,1,0,0,0,0,3,
Ty Blach,2022-05-08,COL,@ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Ty Blach,2022-05-03,COL,WSN,0,0,0,6.00,1,0,0,0,0,0,0,3.0,12,4,2,2,0,0,0,0,0,0,0,
Ty Blach,2022-04-25,COL,@PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Ty Blach,2022-04-23,COL,@DET,0,0,0,54.00,1,0,0,0,0,0,0,0.2,8,5,4,4,0,1,0,0,0,0,1,
Ty Blach,2022-04-19,COL,PHI,0,0,0,18.00,1,0,0,0,0,0,1,1.0,5,3,2,2,1,0,0,0,0,0,0,
Ty Blach,2022-04-15,COL,CHC,0,1,0,0.00,1,0,0,0,0,0,0,1.2,6,0,0,0,0,1,1,0,0,0,1,
Ty Blach,2022-04-10,COL,LAD,0,0,0,0.00,1,0,0,0,1,0,0,4.0,14,1,0,0,0,1,0,0,0,0,4,
