Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Tyler Kinley,2022-06-08,COL,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,1,0,2,
Tyler Kinley,2022-06-07,COL,@SFG,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Tyler Kinley,2022-06-04,COL,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Tyler Kinley,2022-06-03,COL,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,0,
Tyler Kinley,2022-06-01,COL,MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,1,
Tyler Kinley,2022-05-30,COL,MIA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Tyler Kinley,2022-05-28,COL,@WSN,0,0,0,0.00,1,0,0,0,0,1,0,1.2,6,1,0,0,0,0,0,0,0,0,3,
Tyler Kinley,2022-05-23,COL,@PIT,0,0,1,9.00,1,0,0,0,0,0,0,1.0,6,3,1,1,0,0,0,0,0,0,1,
Tyler Kinley,2022-05-22,COL,NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Tyler Kinley,2022-05-18,COL,SFG,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Tyler Kinley,2022-05-15,COL,KCR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Tyler Kinley,2022-05-14,COL,KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Tyler Kinley,2022-05-07,COL,@ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Tyler Kinley,2022-05-05,COL,WSN,0,0,0,0.00,1,0,0,0,0,1,0,0.1,2,1,0,0,0,0,0,0,0,0,0,
Tyler Kinley,2022-05-04,COL,WSN,0,0,0,0.00,1,0,0,0,0,1,0,1.1,4,0,0,0,0,0,0,1,0,0,1,
Tyler Kinley,2022-04-30,COL,CIN,0,0,0,0.00,1,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,2,
Tyler Kinley,2022-04-28,COL,@PHI,0,0,0,13.50,1,0,0,0,0,0,0,0.2,7,1,4,1,0,3,0,0,0,0,0,
Tyler Kinley,2022-04-24,COL,@DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Tyler Kinley,2022-04-23,COL,@DET,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Tyler Kinley,2022-04-18,COL,PHI,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Tyler Kinley,2022-04-17,COL,CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,1,
Tyler Kinley,2022-04-15,COL,CHC,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Tyler Kinley,2022-04-14,COL,CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Tyler Kinley,2022-04-11,COL,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Tyler Kinley,2022-04-08,COL,LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.0,7,2,0,0,0,2,0,0,1,0,1,
Tyler Kinley,2021-10-03,COL,@ARI,0,0,0,13.50,1,0,0,0,0,0,1,1.1,7,2,2,2,0,1,0,0,0,0,0,
Tyler Kinley,2021-10-01,COL,@ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Tyler Kinley,2021-09-28,COL,WSN,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Tyler Kinley,2021-09-26,COL,SFG,0,0,0,27.00,1,0,0,0,0,0,0,0.1,2,1,1,1,1,0,0,0,0,0,1,
Tyler Kinley,2021-09-25,COL,SFG,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,1,
Tyler Kinley,2021-09-22,COL,LAD,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Tyler Kinley,2021-09-21,COL,LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Tyler Kinley,2021-09-19,COL,@WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Tyler Kinley,2021-09-17,COL,@WSN,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,1,0,0,0,1,0,0,0,0,0,
Tyler Kinley,2021-09-15,COL,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,2,
Tyler Kinley,2021-09-14,COL,@ATL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Tyler Kinley,2021-09-11,COL,@PHI,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,2,2,2,2,0,0,0,0,0,2,
Tyler Kinley,2021-09-09,COL,@PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Tyler Kinley,2021-09-08,COL,SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,3,
Tyler Kinley,2021-09-04,COL,ATL,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Tyler Kinley,2021-09-02,COL,ATL,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,0,
Tyler Kinley,2021-08-31,COL,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Tyler Kinley,2021-08-29,COL,@LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,2,0,1,
Tyler Kinley,2021-08-28,COL,@LAD,0,0,0,4.50,1,0,0,0,0,0,0,2.0,7,1,1,1,1,1,0,0,0,0,2,
Tyler Kinley,2021-08-25,COL,@CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,3,
Tyler Kinley,2021-08-21,COL,ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Tyler Kinley,2021-08-18,COL,SDP,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,0,0,0,0,1,0,0,1,0,0,
Tyler Kinley,2021-08-15,COL,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,2,
Tyler Kinley,2021-08-13,COL,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Tyler Kinley,2021-08-11,COL,@HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,2,
Tyler Kinley,2021-08-07,COL,MIA,0,0,0,54.00,1,0,0,0,0,0,0,0.2,7,4,4,4,0,1,0,0,0,0,0,
