Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Walker Buehler,2022-06-10,LAD,@SFG,1,0,1,6.75,1,1,0,0,0,0,0,4.0,16,4,3,3,1,0,0,0,0,0,6,46
Walker Buehler,2022-06-04,LAD,NYM,1,0,1,19.29,1,1,0,0,0,0,0,2.1,13,5,5,5,2,2,0,0,0,0,3,15
Walker Buehler,2022-05-30,LAD,PIT,1,0,0,6.00,1,1,0,0,0,0,0,6.0,25,7,4,4,2,1,0,0,0,0,7,42
Walker Buehler,2022-05-24,LAD,@WSN,1,1,0,3.00,1,1,0,0,0,0,0,6.0,26,6,3,2,0,2,0,0,0,0,3,53
Walker Buehler,2022-05-18,LAD,ARI,1,1,0,3.60,1,1,0,0,0,0,0,5.0,22,6,2,2,0,2,0,0,0,0,4,51
Walker Buehler,2022-05-13,LAD,PHI,1,0,0,9.00,1,1,0,0,0,0,0,5.0,25,9,5,5,1,1,0,0,0,0,3,31
Walker Buehler,2022-05-08,LAD,@CHC,1,1,0,1.29,1,1,0,0,0,0,0,7.0,26,4,1,1,0,2,0,0,0,0,6,72
Walker Buehler,2022-05-01,LAD,DET,1,1,0,0.00,1,1,0,0,0,0,0,5.0,22,6,0,0,0,1,0,1,0,0,5,60
Walker Buehler,2022-04-25,LAD,@ARI,1,1,0,0.00,1,1,1,1,0,0,0,9.0,31,3,0,0,0,0,0,1,1,0,10,97
Walker Buehler,2022-04-19,LAD,ATL,1,0,1,5.40,1,1,0,0,0,0,0,5.0,22,8,3,3,1,1,0,0,0,0,2,38
Walker Buehler,2022-04-14,LAD,CIN,1,0,0,3.18,1,1,0,0,0,0,0,5.2,24,5,2,2,1,3,0,0,0,0,4,49
Walker Buehler,2022-04-08,LAD,@COL,1,1,0,3.60,1,1,0,0,0,0,0,5.0,22,4,2,2,0,2,0,0,0,0,5,56
Walker Buehler,2021-10-03,LAD,MIL,1,1,0,1.80,1,1,0,0,0,0,0,5.0,20,3,1,1,0,1,0,1,0,0,11,70
Walker Buehler,2021-09-28,LAD,SDP,1,1,0,0.00,1,1,0,0,0,0,0,7.0,24,3,0,0,0,2,0,0,0,0,5,77
Walker Buehler,2021-09-22,LAD,@COL,1,0,0,12.27,1,1,0,0,0,0,0,3.2,18,7,5,5,1,0,0,0,0,0,2,29
Walker Buehler,2021-09-17,LAD,@CIN,1,0,1,4.50,1,1,0,0,0,0,0,6.0,25,6,3,3,0,2,0,0,0,0,5,56
Walker Buehler,2021-09-11,LAD,SDP,1,1,0,2.57,1,1,0,0,0,0,0,7.0,28,6,2,2,1,2,0,0,0,0,5,59
Walker Buehler,2021-09-05,LAD,@SFG,1,0,1,18.00,1,1,0,0,0,0,0,3.0,17,7,6,6,1,1,0,0,0,0,1,19
Walker Buehler,2021-08-31,LAD,ATL,1,0,0,2.57,1,1,0,0,0,0,0,7.0,27,4,2,2,1,2,0,0,0,0,5,63
Walker Buehler,2021-08-25,LAD,@SDP,1,0,0,0.00,1,1,0,0,0,0,0,6.2,25,3,1,0,0,1,0,0,1,0,8,77
Walker Buehler,2021-08-20,LAD,NYM,1,1,0,2.35,1,1,0,0,0,0,0,7.2,30,6,2,2,1,0,0,1,1,0,8,70
Walker Buehler,2021-08-14,LAD,@NYM,1,0,0,1.29,1,1,0,0,0,0,0,7.0,28,4,1,1,1,3,0,0,0,0,10,69
Walker Buehler,2021-08-08,LAD,LAA,1,1,0,1.50,1,1,0,0,0,0,0,6.0,26,4,1,1,0,4,0,0,0,0,8,65
Walker Buehler,2021-08-03,LAD,HOU,1,0,1,1.50,1,1,0,0,0,0,0,6.0,25,5,1,1,0,3,1,0,1,0,5,62
Walker Buehler,2021-07-28,LAD,@SFG,1,1,0,0.00,1,1,0,0,0,0,0,7.0,25,3,0,0,0,2,0,0,1,0,8,80
Walker Buehler,2021-07-22,LAD,SFG,1,0,0,1.23,1,1,0,0,0,0,0,7.1,27,5,1,1,0,1,0,0,0,0,9,78
Walker Buehler,2021-07-17,LAD,@COL,1,1,0,2.57,1,1,0,0,0,0,0,7.0,27,4,2,2,0,2,0,0,0,0,8,72
Walker Buehler,2021-07-10,LAD,ARI,1,1,0,0.00,1,1,0,0,0,0,0,6.0,23,3,0,0,0,2,0,0,0,0,7,73
Walker Buehler,2021-07-05,LAD,@MIA,1,0,0,5.40,1,1,0,0,0,0,0,5.0,23,5,4,3,0,2,0,1,0,0,6,50
Walker Buehler,2021-06-29,LAD,SFG,1,1,0,0.00,1,1,0,0,0,0,0,6.2,24,3,1,0,0,1,0,0,0,0,7,76
Walker Buehler,2021-06-24,LAD,CHC,1,0,1,4.50,1,1,0,0,0,0,0,6.0,24,5,3,3,2,2,0,0,0,0,6,47
Walker Buehler,2021-06-19,LAD,@ARI,1,1,0,2.45,1,1,0,0,0,0,0,7.1,26,2,2,2,0,2,0,1,0,0,11,81
Walker Buehler,2021-06-13,LAD,TEX,1,1,0,0.00,1,1,0,0,0,0,0,6.0,27,5,0,0,0,3,0,1,0,0,5,65
Walker Buehler,2021-06-08,LAD,@PIT,1,1,0,0.00,1,1,0,0,0,0,0,7.0,24,2,0,0,0,1,0,0,0,0,2,78
Walker Buehler,2021-06-02,LAD,STL,1,1,0,4.50,1,1,0,0,0,0,0,6.0,27,7,3,3,2,2,1,0,1,0,8,45
Walker Buehler,2021-05-28,LAD,SFG,1,0,0,1.50,1,1,0,0,0,0,0,6.0,23,3,2,1,1,3,0,0,0,0,3,55
Walker Buehler,2021-05-22,LAD,@SFG,1,1,0,1.29,1,1,0,0,0,0,0,7.0,26,6,1,1,0,1,0,0,0,0,5,70
Walker Buehler,2021-05-17,LAD,ARI,1,1,0,0.00,1,1,0,0,0,0,0,7.0,26,1,0,0,0,4,0,0,0,0,7,79
Walker Buehler,2021-05-11,LAD,SEA,1,0,0,5.14,1,1,0,0,0,0,0,7.0,25,4,4,4,3,1,0,0,0,0,8,50
Walker Buehler,2021-05-05,LAD,@CHC,1,0,0,3.00,1,1,0,0,0,0,0,6.0,23,5,2,2,1,0,0,0,0,0,8,62
Walker Buehler,2021-04-27,LAD,CIN,1,0,0,7.11,1,1,0,0,0,0,0,6.1,27,7,5,5,1,1,0,1,0,0,10,51
Walker Buehler,2021-04-22,LAD,SDP,1,0,0,2.57,1,1,0,0,0,0,0,7.0,25,4,2,2,1,0,0,0,0,0,9,71
Walker Buehler,2021-04-16,LAD,@SDP,1,0,0,3.00,1,1,0,0,0,0,0,6.0,25,7,2,2,1,1,0,0,0,0,4,52
