Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Will Vest,2022-07-11,DET,@KCR,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,2,0,0,0,0,0,0,0,0,0,
Will Vest,2022-07-09,DET,@CHW,0,0,0,18.00,1,0,0,0,0,0,0,1.0,6,3,2,2,0,0,0,0,1,0,3,
Will Vest,2022-07-06,DET,CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Will Vest,2022-07-03,DET,KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.1,6,1,0,0,0,1,0,0,0,0,1,
Will Vest,2022-07-01,DET,KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,2,
Will Vest,2022-06-26,DET,@ARI,0,0,1,45.00,1,0,0,0,0,0,0,1.0,8,4,5,5,1,1,0,0,0,0,0,
Will Vest,2022-06-20,DET,@BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Will Vest,2022-06-18,DET,TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Will Vest,2022-06-17,DET,TEX,0,0,0,27.00,1,0,0,0,0,0,0,0.2,7,3,2,2,0,2,0,0,0,0,0,
Will Vest,2022-06-14,DET,CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,1,0,0,
Will Vest,2022-06-13,DET,CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,1,0,0,0,0,1,
Will Vest,2022-06-10,DET,TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Will Vest,2022-06-08,DET,@PIT,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Will Vest,2022-06-03,DET,@NYY,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,1,0,2,
Will Vest,2022-06-01,DET,MIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,0,0,0,0,0,1,
Will Vest,2022-05-18,DET,@TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,2,
Will Vest,2022-05-17,DET,@TBR,0,0,0,27.00,1,0,0,0,0,0,0,0.2,5,2,2,2,1,1,0,0,0,0,0,
Will Vest,2022-05-13,DET,BAL,0,0,0,0.00,1,0,0,0,1,0,0,0.2,2,0,0,0,0,0,0,0,0,0,2,
Will Vest,2022-05-12,DET,OAK,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Will Vest,2022-05-10,DET,OAK,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Will Vest,2022-05-08,DET,@HOU,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,0,0,0,0,1,0,0,0,0,2,
Will Vest,2022-05-04,DET,PIT,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,1,1,0,1,
Will Vest,2022-04-29,DET,@LAD,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,4,
Will Vest,2022-04-27,DET,@MIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,0,
Will Vest,2022-04-23,DET,COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Will Vest,2022-04-19,DET,NYY,0,0,0,0.00,1,0,0,0,0,0,0,1.2,6,1,0,0,0,0,0,0,0,0,2,
Will Vest,2022-04-16,DET,@KCR,0,0,1,18.00,1,0,0,0,0,0,0,1.0,5,1,2,2,1,1,0,0,0,0,1,
Will Vest,2022-04-12,DET,BOS,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,1,
Will Vest,2022-04-09,DET,CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,0,
Will Vest,2021-07-06,SEA,NYY,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,3,
Will Vest,2021-06-29,SEA,@TOR,0,0,0,27.00,1,0,0,0,0,0,0,1.0,7,4,3,3,1,1,0,0,0,0,1,
Will Vest,2021-06-27,SEA,@CHW,0,0,0,18.00,1,0,0,0,0,0,0,1.0,6,1,2,2,0,2,0,0,1,0,2,
Will Vest,2021-06-23,SEA,COL,0,0,0,0.00,1,0,0,0,0,0,0,1.2,5,0,0,0,0,0,0,0,0,0,2,
Will Vest,2021-06-16,SEA,MIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,0,
Will Vest,2021-06-15,SEA,MIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Will Vest,2021-06-11,SEA,@CLE,0,0,0,18.00,1,0,0,0,0,0,0,1.0,7,3,2,2,0,1,0,0,0,0,0,
Will Vest,2021-06-10,SEA,@DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,0,
Will Vest,2021-06-08,SEA,@DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Will Vest,2021-06-05,SEA,@LAA,0,0,0,135.00,1,0,0,0,0,0,0,0.1,6,5,5,5,0,0,0,0,0,0,1,
Will Vest,2021-06-04,SEA,@LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,1,
