Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Zack Thompson,2022-07-06,STL,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Zack Thompson,2022-07-05,STL,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Zack Thompson,2022-07-02,STL,@PHI,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,0,
Zack Thompson,2022-07-01,STL,@PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Zack Thompson,2022-06-26,STL,CHC,0,0,1,0.00,1,0,0,0,0,0,0,1.2,7,3,1,0,0,0,0,0,0,0,2,
Zack Thompson,2022-06-23,STL,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,0,
Zack Thompson,2022-06-21,STL,@MIL,0,1,0,0.00,1,0,0,0,0,0,0,1.2,6,0,0,0,0,1,0,0,0,0,2,
Zack Thompson,2022-06-18,STL,@BOS,0,0,0,0.00,1,0,0,0,0,0,0,3.0,9,0,0,0,0,0,0,0,0,0,4,
Zack Thompson,2022-06-13,STL,PIT,1,0,0,9.00,1,1,0,0,0,0,0,5.0,24,7,5,5,2,2,0,0,0,0,2,26
Zack Thompson,2022-06-03,STL,@CHC,0,0,0,2.25,1,0,0,0,1,0,0,4.0,16,3,1,1,0,1,0,0,0,0,3,
