Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Andre Pallante,2022-07-10,STL,PHI,1,0,0,4.76,1,1,0,0,0,0,0,5.2,25,9,3,3,1,1,0,0,0,0,4,42
Andre Pallante,2022-07-05,STL,@ATL,1,0,1,17.18,1,1,0,0,0,0,0,3.2,22,10,7,7,2,0,0,0,1,0,5,13
Andre Pallante,2022-06-29,STL,MIA,1,0,0,2.57,1,1,0,0,0,0,0,7.0,25,5,2,2,0,1,0,0,0,0,2,65
Andre Pallante,2022-06-24,STL,CHC,1,0,1,4.50,1,1,0,0,0,0,0,6.0,27,7,3,3,1,3,0,0,0,0,2,42
Andre Pallante,2022-06-19,STL,@BOS,1,0,1,3.18,1,1,0,0,0,0,0,5.2,22,4,2,2,1,1,0,1,1,0,4,55
Andre Pallante,2022-06-15,STL,PIT,0,0,1,7.71,1,0,0,0,0,0,0,2.1,9,2,2,2,1,1,0,0,0,0,1,
Andre Pallante,2022-06-10,STL,CIN,1,1,0,0.00,1,1,0,0,0,0,0,5.1,21,4,0,0,0,2,0,0,0,0,4,63
Andre Pallante,2022-06-04,STL,@CHC,1,0,0,2.25,1,1,0,0,0,0,0,4.0,18,4,1,1,0,4,0,0,0,0,2,46
Andre Pallante,2022-05-30,STL,SDP,0,1,0,2.70,1,0,0,0,0,0,0,3.1,15,5,1,1,0,0,0,0,0,0,5,
Andre Pallante,2022-05-26,STL,MIL,0,0,0,0.00,1,0,0,0,0,0,0,3.0,11,2,0,0,0,0,0,0,0,0,1,
Andre Pallante,2022-05-23,STL,TOR,0,0,0,0.00,1,0,0,0,0,0,0,0.1,3,0,0,0,0,2,0,0,0,0,0,
Andre Pallante,2022-05-21,STL,@PIT,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Andre Pallante,2022-05-19,STL,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,2.0,9,3,0,0,0,0,0,0,0,0,2,
Andre Pallante,2022-05-17,STL,@NYM,0,0,0,0.00,1,0,0,0,0,1,0,0.1,4,0,0,0,0,3,0,0,0,0,0,
Andre Pallante,2022-05-14,STL,SFG,0,0,0,0.00,1,0,0,0,0,1,0,0.1,4,2,0,0,0,1,0,0,0,0,0,
Andre Pallante,2022-05-10,STL,BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Andre Pallante,2022-05-08,STL,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,0,
Andre Pallante,2022-05-05,STL,@SFG,0,0,0,0.00,1,0,0,0,0,1,0,1.1,4,0,0,0,0,1,0,0,0,0,0,
Andre Pallante,2022-05-01,STL,ARI,0,0,0,5.40,1,0,0,0,0,0,0,1.2,8,3,1,1,1,0,0,0,0,0,1,
Andre Pallante,2022-04-29,STL,ARI,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,1,
Andre Pallante,2022-04-26,STL,NYM,0,0,0,0.00,1,0,0,0,0,0,0,3.0,11,3,0,0,0,0,0,0,0,0,1,
Andre Pallante,2022-04-23,STL,@CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,1,
Andre Pallante,2022-04-20,STL,@MIA,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,3,
Andre Pallante,2022-04-15,STL,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,2.0,9,2,0,0,0,1,0,0,0,0,1,
Andre Pallante,2022-04-10,STL,PIT,0,0,0,9.00,1,0,0,0,0,0,0,1.0,6,2,1,1,0,1,0,0,0,0,0,
