Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Andrew Wantz,2022-07-09,LAA,@BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Andrew Wantz,2022-07-07,LAA,@BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,0,
Andrew Wantz,2022-07-03,LAA,@HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Andrew Wantz,2022-07-02,LAA,@HOU,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,2,2,2,2,0,0,0,0,0,2,
Andrew Wantz,2022-06-26,LAA,SEA,1,0,0,0.00,1,1,0,0,0,0,0,1.0,4,0,0,0,0,0,0,1,0,0,2,47
Andrew Wantz,2022-06-24,LAA,SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,0,0,0,0,2,0,0,0,0,0,
Andrew Wantz,2022-06-21,LAA,KCR,0,0,0,13.50,1,0,0,0,0,0,0,1.1,8,3,2,2,0,1,0,0,0,1,1,
Andrew Wantz,2022-06-19,LAA,@SEA,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Andrew Wantz,2022-06-14,LAA,@LAD,0,0,0,4.50,1,0,0,0,0,0,0,2.0,9,1,1,1,1,2,0,0,0,0,2,
Andrew Wantz,2022-06-10,LAA,NYM,0,0,0,4.50,1,0,0,0,0,0,0,2.0,8,3,1,1,1,0,0,0,0,0,3,
Andrew Wantz,2022-06-08,LAA,BOS,0,0,0,0.00,1,0,0,0,0,0,0,2.0,9,2,0,0,0,0,0,0,0,0,0,
Andrew Wantz,2022-06-06,LAA,BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Andrew Wantz,2022-06-03,LAA,@PHI,0,0,0,0.00,1,0,0,0,0,0,0,2.1,8,1,0,0,0,0,0,0,0,0,1,
Andrew Wantz,2022-04-30,LAA,@CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.0,2,0,0,0,0,0,0,0,0,0,1,
Andrew Wantz,2022-04-27,LAA,CLE,0,0,0,18.00,1,0,0,0,0,0,0,1.0,6,3,2,2,1,0,0,0,0,0,2,
Andrew Wantz,2022-04-19,LAA,@HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Andrew Wantz,2021-10-02,LAA,@SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.1,6,0,0,0,0,2,0,0,0,0,1,
Andrew Wantz,2021-09-28,LAA,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,2.1,8,1,0,0,0,0,0,0,0,0,4,
Andrew Wantz,2021-09-22,LAA,HOU,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,0,0,0,0,1,1,0,0,0,2,
Andrew Wantz,2021-09-20,LAA,HOU,0,0,0,36.00,1,0,0,0,0,0,0,1.0,7,4,4,4,1,0,0,0,0,0,0,
