Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Anthony DeSclafani,2022-06-26,SFG,CIN,1,0,1,23.63,1,1,0,0,0,0,0,2.2,16,7,7,7,0,1,0,0,0,0,1,19
Anthony DeSclafani,2022-06-21,SFG,@ATL,1,0,0,15.00,1,1,0,0,0,0,0,3.0,15,6,5,5,2,1,0,0,0,0,3,19
Anthony DeSclafani,2022-04-21,SFG,@NYM,1,0,1,9.00,1,1,0,0,0,0,0,5.0,24,9,5,5,2,1,0,0,0,0,4,26
Anthony DeSclafani,2022-04-16,SFG,@CLE,1,0,0,3.86,1,1,0,0,0,0,0,4.2,19,5,2,2,0,0,0,0,0,0,4,55
Anthony DeSclafani,2022-04-10,SFG,MIA,1,0,0,4.91,1,1,0,0,0,0,0,3.2,20,8,2,2,0,1,0,1,0,0,5,42
Anthony DeSclafani,2021-10-01,SFG,SDP,1,1,0,0.00,1,1,0,0,0,0,0,5.0,18,4,0,0,0,0,0,0,0,0,3,65
Anthony DeSclafani,2021-09-25,SFG,@COL,1,0,0,4.50,1,1,0,0,0,0,0,4.0,18,5,2,2,0,1,0,0,0,0,3,49
Anthony DeSclafani,2021-09-19,SFG,ATL,1,0,1,3.00,1,1,0,0,0,0,0,6.0,23,6,2,2,1,0,0,0,0,0,6,58
Anthony DeSclafani,2021-09-14,SFG,SDP,1,1,0,1.35,1,1,0,0,0,0,0,6.2,25,3,1,1,0,1,0,0,0,0,3,72
Anthony DeSclafani,2021-09-08,SFG,@COL,1,0,0,6.23,1,1,0,0,0,0,0,4.1,20,7,3,3,0,1,0,0,0,0,5,46
Anthony DeSclafani,2021-09-03,SFG,LAD,1,0,0,0.00,1,1,0,0,0,0,0,6.0,22,2,0,0,0,3,0,0,1,0,5,71
Anthony DeSclafani,2021-08-29,SFG,@ATL,1,0,1,9.00,1,1,0,0,0,0,0,3.0,15,6,3,3,2,0,0,0,1,0,4,29
Anthony DeSclafani,2021-08-18,SFG,NYM,1,0,0,0.00,1,1,0,0,0,0,0,1.1,7,1,0,0,0,1,0,1,0,0,1,45
Anthony DeSclafani,2021-08-13,SFG,COL,1,1,0,3.60,1,1,0,0,0,0,0,5.0,22,5,2,2,0,2,0,0,0,0,4,54
Anthony DeSclafani,2021-08-02,SFG,@ARI,1,0,0,8.31,1,1,0,0,0,0,0,4.1,21,7,5,4,2,1,0,0,1,0,5,28
Anthony DeSclafani,2021-07-28,SFG,LAD,1,0,1,13.50,1,1,0,0,0,0,0,2.2,16,6,4,4,0,2,0,0,0,0,3,31
Anthony DeSclafani,2021-07-22,SFG,@LAD,1,0,0,4.50,1,1,0,0,0,0,0,6.0,24,6,3,3,1,1,0,0,0,0,7,54
Anthony DeSclafani,2021-07-17,SFG,@STL,1,0,1,4.50,1,1,0,0,0,0,0,6.0,23,5,3,3,2,0,0,0,1,0,4,49
Anthony DeSclafani,2021-07-10,SFG,WSN,1,1,0,0.00,1,1,0,0,0,0,0,6.0,23,3,0,0,0,1,0,1,1,0,6,74
Anthony DeSclafani,2021-07-04,SFG,@ARI,1,1,0,2.08,1,1,0,0,0,0,0,8.2,31,6,2,2,0,2,0,0,0,0,7,77
Anthony DeSclafani,2021-06-28,SFG,@LAD,1,0,1,5.40,1,1,0,0,0,0,0,5.0,21,5,3,3,3,2,0,0,0,0,6,35
Anthony DeSclafani,2021-06-22,SFG,@LAA,1,1,0,0.00,1,1,0,0,0,0,0,7.0,26,3,0,0,0,2,0,0,0,0,9,81
