Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Archie Bradley,2022-06-25,LAA,SEA,0,0,1,0.00,1,0,0,0,0,1,0,0.2,5,0,3,0,0,2,0,0,0,0,1,
Archie Bradley,2022-06-24,LAA,SEA,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,0,0,2,
Archie Bradley,2022-06-21,LAA,KCR,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,0,
Archie Bradley,2022-06-18,LAA,@SEA,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Archie Bradley,2022-06-18,LAA,@SEA,0,0,0,0.00,1,0,0,0,0,0,1,0.2,3,1,0,0,0,0,0,0,0,0,1,
Archie Bradley,2022-06-12,LAA,NYM,0,0,0,0.00,1,0,0,0,0,0,0,0.1,3,1,0,0,0,1,0,0,0,0,1,
Archie Bradley,2022-06-10,LAA,NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,0,0,0,0,1,0,0,0,0,0,
Archie Bradley,2022-06-08,LAA,BOS,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Archie Bradley,2022-06-04,LAA,@PHI,0,0,0,18.00,1,0,0,0,0,0,0,1.0,4,1,2,2,0,1,0,0,0,0,0,
Archie Bradley,2022-06-02,LAA,@NYY,0,0,0,0.00,1,0,0,0,0,0,1,0.2,3,1,0,0,0,0,0,0,0,0,1,
Archie Bradley,2022-05-31,LAA,@NYY,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,1,0,0,0,0,0,0,0,0,0,
Archie Bradley,2022-05-28,LAA,TOR,0,0,0,0.00,1,0,0,0,0,0,0,0.1,3,2,0,0,0,0,0,0,0,0,0,
Archie Bradley,2022-05-25,LAA,TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Archie Bradley,2022-04-29,LAA,@CHW,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Archie Bradley,2022-04-28,LAA,CLE,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Archie Bradley,2022-04-24,LAA,BAL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,2,0,0,0,0,0,0,0,0,0,1,
Archie Bradley,2022-04-22,LAA,BAL,0,0,0,81.00,1,0,0,0,0,0,0,0.1,5,4,3,3,0,0,0,0,0,0,0,
Archie Bradley,2022-04-18,LAA,@HOU,0,0,0,13.50,1,0,0,0,0,0,0,1.1,6,2,2,2,1,0,0,0,0,0,1,
Archie Bradley,2022-04-16,LAA,@TEX,0,0,0,0.00,1,0,0,0,0,1,0,2.0,6,0,0,0,0,0,0,0,0,0,3,
Archie Bradley,2022-04-10,LAA,HOU,0,0,0,18.00,1,0,0,0,0,0,0,1.0,6,2,2,2,0,1,1,0,1,0,1,
Archie Bradley,2022-04-07,LAA,HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Archie Bradley,2021-09-23,PHI,PIT,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Archie Bradley,2021-09-21,PHI,BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,0,0,0,0,0,1,
Archie Bradley,2021-09-20,PHI,BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Archie Bradley,2021-09-17,PHI,@NYM,0,0,0,27.00,1,0,0,0,0,1,0,0.2,5,3,2,2,0,0,0,0,0,0,1,
Archie Bradley,2021-09-15,PHI,CHC,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,0,0,0,0,0,0,1,0,0,0,
Archie Bradley,2021-09-14,PHI,CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Archie Bradley,2021-09-11,PHI,COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,1,0,0,0,0,0,
Archie Bradley,2021-09-05,PHI,@MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Archie Bradley,2021-09-04,PHI,@MIA,0,0,1,27.00,1,0,0,0,0,0,1,1.0,6,3,3,3,1,0,0,0,0,0,3,
Archie Bradley,2021-09-02,PHI,@WSN,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Archie Bradley,2021-08-30,PHI,@WSN,0,0,0,0.00,1,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Archie Bradley,2021-08-29,PHI,ARI,0,0,0,27.00,1,0,0,0,0,1,0,0.2,6,3,2,2,0,1,0,0,0,0,1,
Archie Bradley,2021-08-24,PHI,TBR,0,0,1,18.00,1,0,0,0,0,0,0,1.0,6,2,2,2,0,0,0,1,0,0,2,
