Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Brandon Bielak,2022-06-18,HOU,CHW,0,0,0,0.00,1,0,0,0,0,0,0,3.0,13,3,0,0,0,1,0,0,0,0,4,
Brandon Bielak,2022-06-15,HOU,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Brandon Bielak,2022-06-08,HOU,SEA,0,0,0,3.00,1,0,0,0,0,0,0,3.0,13,2,1,1,0,1,0,1,0,0,1,
Brandon Bielak,2021-09-24,HOU,@OAK,1,0,1,9.00,1,1,0,0,0,0,0,3.0,14,4,3,3,0,2,0,0,0,0,3,41
Brandon Bielak,2021-09-17,HOU,ARI,1,0,0,0.00,1,1,0,0,0,0,0,2.2,13,3,0,0,0,2,0,0,1,0,6,53
Brandon Bielak,2021-09-11,HOU,LAA,0,0,0,0.00,1,0,0,0,0,0,0,3.0,13,2,0,0,0,2,0,0,0,0,1,
Brandon Bielak,2021-09-06,HOU,SEA,0,0,0,0.00,1,0,0,0,1,0,0,3.0,11,1,0,0,0,4,0,0,0,0,3,
Brandon Bielak,2021-08-31,HOU,@SEA,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Brandon Bielak,2021-07-28,HOU,@SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Brandon Bielak,2021-07-23,HOU,TEX,0,1,0,0.00,1,0,0,0,0,0,0,2.1,8,1,0,0,0,0,0,0,0,0,1,
Brandon Bielak,2021-07-17,HOU,@CHW,0,0,0,10.80,1,0,0,0,0,0,0,1.2,8,1,2,2,1,1,0,1,0,0,2,
Brandon Bielak,2021-07-09,HOU,NYY,0,0,0,0.00,1,0,0,0,0,0,0,2.2,10,3,0,0,0,0,0,0,0,0,2,
Brandon Bielak,2021-06-30,HOU,BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,1,0,0,
Brandon Bielak,2021-06-28,HOU,BAL,0,0,1,33.75,1,0,0,0,0,0,0,1.1,9,4,5,5,1,1,0,0,0,0,3,
Brandon Bielak,2021-06-23,HOU,@BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,1,0,0,0,0,1,
Brandon Bielak,2021-06-21,HOU,@BAL,0,0,0,18.00,1,0,0,0,0,0,0,1.0,7,2,2,2,1,0,0,1,0,0,2,
Brandon Bielak,2021-06-17,HOU,CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Brandon Bielak,2021-06-10,HOU,@BOS,0,0,0,13.50,1,0,0,0,0,0,0,2.0,10,4,3,3,1,0,0,0,0,0,1,
Brandon Bielak,2021-05-29,HOU,SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,1,0,0,1,0,0,1,0,1,
Brandon Bielak,2021-05-28,HOU,SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,7,3,3,0,0,0,0,0,0,0,0,
Brandon Bielak,2021-05-22,HOU,@TEX,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,0,0,0,0,0,0,1,0,0,0,
Brandon Bielak,2021-05-21,HOU,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Brandon Bielak,2021-05-15,HOU,TEX,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,1,0,0,0,0,0,0,0,0,0,
Brandon Bielak,2021-05-12,HOU,LAA,0,1,0,2.70,1,0,0,0,0,0,0,3.1,13,2,1,1,0,1,0,0,0,0,2,
