Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Brock Burke,2022-07-10,TEX,MIN,0,0,1,4.50,1,0,0,0,0,0,0,2.0,7,1,1,1,1,0,0,0,0,0,1,
Brock Burke,2022-07-08,TEX,MIN,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Brock Burke,2022-07-06,TEX,@BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Brock Burke,2022-07-04,TEX,@BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.2,8,2,0,0,0,1,0,0,0,0,1,
Brock Burke,2022-07-01,TEX,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,3,
Brock Burke,2022-06-27,TEX,@KCR,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,1,0,2,
Brock Burke,2022-06-25,TEX,WSN,0,0,0,18.00,1,0,0,0,0,0,1,1.0,6,3,2,2,1,0,0,0,0,0,0,
Brock Burke,2022-06-21,TEX,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Brock Burke,2022-06-13,TEX,HOU,0,1,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,1,
Brock Burke,2022-06-11,TEX,@CHW,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,1,0,0,0,1,0,0,0,0,2,
Brock Burke,2022-06-08,TEX,@CLE,0,0,0,0.00,1,0,0,0,0,0,0,2.0,8,2,0,0,0,0,0,0,0,0,3,
Brock Burke,2022-06-05,TEX,SEA,0,0,1,0.00,1,0,0,0,0,0,0,1.1,5,0,1,0,0,1,0,0,1,0,1,
Brock Burke,2022-06-02,TEX,TBR,0,0,0,0.00,1,0,0,0,0,0,0,2.0,8,2,0,0,0,1,0,0,0,0,0,
Brock Burke,2022-05-29,TEX,@OAK,0,0,0,0.00,1,0,0,0,0,1,0,1.2,7,1,0,0,0,2,0,0,0,0,2,
Brock Burke,2022-05-25,TEX,@LAA,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,1,
Brock Burke,2022-05-18,TEX,LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Brock Burke,2022-05-16,TEX,LAA,0,0,0,0.00,1,0,0,0,0,1,0,1.1,4,1,0,0,0,0,0,0,0,0,1,
Brock Burke,2022-05-12,TEX,KCR,0,0,0,0.00,1,0,0,0,0,1,0,2.0,7,0,0,0,0,1,0,0,0,0,1,
Brock Burke,2022-05-09,TEX,@NYY,0,0,0,0.00,1,0,0,0,0,0,0,2.2,10,1,0,0,0,1,0,0,0,0,5,
Brock Burke,2022-05-03,TEX,@PHI,0,1,0,0.00,1,0,0,0,0,0,0,2.1,9,3,0,0,0,0,0,0,0,0,1,
Brock Burke,2022-04-29,TEX,ATL,0,0,0,4.50,1,0,0,0,0,0,0,2.0,8,3,2,1,1,0,0,0,0,0,4,
Brock Burke,2022-04-26,TEX,HOU,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,2,
Brock Burke,2022-04-23,TEX,@OAK,0,1,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Brock Burke,2022-04-20,TEX,@SEA,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,3,
Brock Burke,2022-04-17,TEX,LAA,0,0,0,27.00,1,0,0,0,0,0,0,0.2,5,2,2,2,0,1,0,0,0,0,0,
Brock Burke,2022-04-14,TEX,LAA,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,5,
Brock Burke,2022-04-10,TEX,@TOR,0,1,0,0.00,1,0,0,0,0,0,0,2.0,8,1,0,0,0,1,0,0,0,0,5,
