Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Carlos Rodón,2022-07-09,SFG,@SDP,1,1,0,1.00,1,1,1,0,0,0,0,9.0,32,3,1,1,0,2,0,0,0,0,12,92
Carlos Rodón,2022-07-04,SFG,@ARI,1,0,1,7.20,1,1,0,0,0,0,0,5.0,22,5,4,4,0,2,0,0,0,0,7,50
Carlos Rodón,2022-06-28,SFG,DET,1,1,0,1.50,1,1,0,0,0,0,0,6.0,23,7,1,1,0,0,0,0,1,0,4,62
Carlos Rodón,2022-06-22,SFG,@ATL,1,0,0,1.29,1,1,0,0,0,0,0,7.0,25,3,1,1,0,1,0,0,1,0,10,80
Carlos Rodón,2022-06-17,SFG,@PIT,1,1,0,0.00,1,1,0,0,0,0,0,8.0,27,2,0,0,0,2,0,0,0,0,8,87
Carlos Rodón,2022-06-12,SFG,LAD,1,1,0,0.00,1,1,0,0,0,0,0,6.0,23,2,0,0,0,3,0,0,0,0,8,73
Carlos Rodón,2022-06-07,SFG,COL,1,0,0,4.50,1,1,0,0,0,0,0,4.0,18,4,2,2,1,1,0,0,0,0,5,46
Carlos Rodón,2022-06-01,SFG,@PHI,1,0,0,1.80,1,1,0,0,0,0,0,5.0,23,6,2,1,0,1,0,0,0,0,6,55
Carlos Rodón,2022-05-27,SFG,@CIN,1,0,1,5.06,1,1,0,0,0,0,0,5.1,25,7,3,3,1,3,0,0,0,0,2,38
Carlos Rodón,2022-05-21,SFG,SDP,1,0,1,3.00,1,1,0,0,0,0,0,6.0,27,5,2,2,1,4,0,0,0,0,6,51
Carlos Rodón,2022-05-15,SFG,@STL,1,0,1,19.64,1,1,0,0,0,0,0,3.2,20,10,8,8,1,1,0,0,0,0,3,12
Carlos Rodón,2022-05-09,SFG,COL,1,1,0,3.00,1,1,0,0,0,0,0,6.0,24,6,2,2,0,2,0,0,0,0,12,65
