Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Chris Paddack,2022-05-08,MIN,OAK,1,0,0,11.57,1,1,0,0,0,0,0,2.1,12,5,3,3,0,0,0,0,1,0,4,38
Chris Paddack,2022-05-02,MIN,@BAL,1,1,0,1.69,1,1,0,0,0,0,0,5.1,21,4,1,1,0,1,0,0,0,0,3,61
Chris Paddack,2022-04-26,MIN,DET,1,0,0,1.59,1,1,0,0,0,0,0,5.2,21,5,1,1,0,1,0,0,0,0,6,64
Chris Paddack,2022-04-20,MIN,@KCR,1,0,1,3.60,1,1,0,0,0,0,0,5.0,19,5,2,2,0,0,0,0,0,0,4,57
Chris Paddack,2022-04-13,MIN,LAD,1,0,1,6.75,1,1,0,0,0,0,0,4.0,20,6,3,3,0,0,0,1,0,0,3,45
Chris Paddack,2021-09-11,SDP,@LAD,1,0,1,7.71,1,1,0,0,0,0,0,4.2,18,3,4,4,0,2,0,0,0,0,4,50
Chris Paddack,2021-09-05,SDP,HOU,1,0,0,4.50,1,1,0,0,0,0,0,6.0,24,6,3,3,2,0,0,0,0,0,0,43
Chris Paddack,2021-08-30,SDP,@ARI,1,0,0,1.93,1,1,0,0,0,0,0,4.2,17,3,1,1,0,0,0,0,0,0,5,64
Chris Paddack,2021-07-27,SDP,OAK,1,1,0,4.50,1,1,0,0,0,0,0,6.0,26,9,3,3,0,1,0,0,0,0,6,53
Chris Paddack,2021-07-21,SDP,@ATL,1,1,0,0.00,1,1,0,0,0,0,0,5.0,19,3,0,0,0,0,0,0,0,0,1,65
Chris Paddack,2021-07-16,SDP,@WSN,1,1,0,7.20,1,1,0,0,0,0,0,5.0,20,5,4,4,1,1,0,0,0,0,2,42
Chris Paddack,2021-07-11,SDP,COL,0,0,0,4.50,1,0,0,0,0,0,0,2.0,10,4,1,1,1,0,0,0,0,0,4,
Chris Paddack,2021-07-07,SDP,WSN,1,0,1,36.00,1,1,0,0,0,0,0,2.0,18,9,9,8,1,1,1,1,0,0,2,1
Chris Paddack,2021-07-02,SDP,@PHI,1,0,0,3.86,1,1,0,0,0,0,0,7.0,26,4,3,3,1,1,0,0,1,0,5,62
Chris Paddack,2021-06-25,SDP,ARI,1,0,0,19.29,1,1,0,0,0,0,0,2.1,17,8,5,5,0,2,0,0,0,0,2,21
Chris Paddack,2021-06-18,SDP,CIN,1,1,0,3.60,1,1,0,0,0,0,0,5.0,22,6,2,2,0,1,0,0,0,0,11,61
Chris Paddack,2021-06-13,SDP,@NYM,1,1,0,3.00,1,1,0,0,0,0,0,6.0,24,6,2,2,1,0,0,0,0,0,9,61
Chris Paddack,2021-06-06,SDP,NYM,1,0,1,4.50,1,1,0,0,0,0,0,6.0,23,6,3,3,1,1,0,0,0,0,6,53
Chris Paddack,2021-05-31,SDP,@CHC,1,0,1,10.38,1,1,0,0,0,0,0,4.1,20,6,5,5,3,1,0,0,0,0,6,25
Chris Paddack,2021-05-26,SDP,@MIL,1,0,0,1.50,1,1,0,0,0,0,0,6.0,20,2,1,1,1,0,0,0,0,0,2,65
