Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Colin Holderman,2022-07-09,NYM,MIA,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,1,1,0,0,0,0,0,0,0,0,
Colin Holderman,2022-07-06,NYM,@CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,1,0,0,0,0,0,
Colin Holderman,2022-07-04,NYM,@CIN,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Colin Holderman,2022-06-07,NYM,@SDP,0,0,0,81.00,1,0,0,0,0,0,0,0.1,5,1,3,3,0,3,0,0,0,0,0,
Colin Holderman,2022-06-04,NYM,@LAD,0,1,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Colin Holderman,2022-06-02,NYM,@LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.1,6,2,0,0,0,0,0,0,0,0,2,
Colin Holderman,2022-05-30,NYM,WSN,0,1,0,6.75,1,0,0,0,0,0,0,1.1,5,2,1,1,0,0,0,0,0,0,1,
Colin Holderman,2022-05-28,NYM,PHI,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,3,
Colin Holderman,2022-05-25,NYM,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Colin Holderman,2022-05-23,NYM,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,2,
Colin Holderman,2022-05-19,NYM,STL,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,1,1,0,0,0,0,0,0,0,0,
Colin Holderman,2022-05-18,NYM,STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Colin Holderman,2022-05-15,NYM,SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,1,
