Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Dane Dunning,2022-07-10,TEX,MIN,1,0,0,15.43,1,1,0,0,0,0,0,2.1,17,6,4,4,1,4,0,1,0,0,2,17
Dane Dunning,2022-07-04,TEX,@BAL,1,0,0,5.06,1,1,0,0,0,0,0,5.1,26,7,5,3,1,1,0,1,0,0,5,39
Dane Dunning,2022-06-29,TEX,@KCR,1,0,1,3.00,1,1,0,0,0,0,0,6.0,24,6,2,2,1,3,0,0,0,0,3,48
Dane Dunning,2022-06-24,TEX,WSN,1,0,0,1.50,1,1,0,0,0,0,0,6.0,25,7,1,1,0,1,0,1,0,0,4,60
Dane Dunning,2022-06-19,TEX,@DET,1,0,1,9.64,1,1,0,0,0,0,0,4.2,23,4,5,5,1,4,0,1,0,0,2,32
Dane Dunning,2022-06-14,TEX,HOU,1,0,0,0.00,1,1,0,0,0,0,0,6.0,24,2,0,0,0,4,0,1,0,0,4,67
Dane Dunning,2022-06-08,TEX,@CLE,1,0,1,9.00,1,1,0,0,0,0,0,4.0,20,9,4,4,0,0,0,0,0,0,1,34
Dane Dunning,2022-06-03,TEX,SEA,1,0,0,2.57,1,1,0,0,0,0,0,7.0,25,3,2,2,1,0,0,1,0,0,7,70
Dane Dunning,2022-05-29,TEX,@OAK,1,0,0,4.15,1,1,0,0,0,0,0,4.1,24,7,3,2,0,3,0,1,2,0,5,41
Dane Dunning,2022-05-24,TEX,@LAA,1,0,1,7.11,1,1,0,0,0,0,0,6.1,31,11,5,5,1,1,0,1,0,0,8,40
Dane Dunning,2022-05-18,TEX,LAA,1,0,0,3.00,1,1,0,0,0,0,0,6.0,23,3,2,2,2,3,0,0,0,0,6,51
Dane Dunning,2022-05-13,TEX,BOS,1,0,1,7.94,1,1,0,0,0,0,0,5.2,25,6,5,5,0,2,0,0,1,0,6,48
Dane Dunning,2022-05-08,TEX,@NYY,1,0,0,1.50,1,1,0,0,0,0,0,6.0,24,2,1,1,0,3,0,0,0,0,5,67
Dane Dunning,2022-04-30,TEX,ATL,1,1,0,1.17,1,1,0,0,0,0,0,7.2,27,4,1,1,0,0,0,0,0,0,7,81
Dane Dunning,2022-04-25,TEX,HOU,1,0,0,3.18,1,1,0,0,0,0,0,5.2,23,5,2,2,1,1,0,0,0,0,5,54
Dane Dunning,2022-04-20,TEX,@SEA,1,0,1,6.75,1,1,0,0,0,0,0,4.0,20,6,3,3,0,3,0,0,0,0,3,39
Dane Dunning,2022-04-14,TEX,LAA,1,0,0,4.91,1,1,0,0,0,0,0,3.2,18,6,2,2,1,2,0,0,0,0,7,40
Dane Dunning,2022-04-09,TEX,@TOR,1,0,0,5.40,1,1,0,0,0,0,0,5.0,23,5,3,3,1,2,0,1,0,0,4,44
Dane Dunning,2021-10-03,TEX,CLE,1,0,1,12.00,1,1,0,0,0,0,0,3.0,17,5,4,4,0,1,0,1,1,0,3,38
Dane Dunning,2021-09-26,TEX,@BAL,1,0,0,3.86,1,1,0,0,0,0,0,4.2,19,1,2,2,1,5,0,1,0,0,5,50
Dane Dunning,2021-09-21,TEX,@NYY,1,0,1,6.75,1,1,0,0,0,0,0,2.2,13,3,2,2,1,1,0,1,0,0,3,40
Dane Dunning,2021-09-15,TEX,HOU,0,0,0,4.50,1,0,0,0,0,0,0,2.0,9,4,1,1,1,0,0,0,0,0,4,
Dane Dunning,2021-09-10,TEX,@OAK,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,0,0,0,0,0,1,
Dane Dunning,2021-08-20,TEX,@BOS,1,0,1,9.64,1,1,0,0,0,0,0,4.2,24,9,5,5,1,1,0,1,0,0,1,29
Dane Dunning,2021-08-13,TEX,OAK,1,0,0,3.86,1,1,0,0,0,0,0,4.2,20,4,2,2,0,2,0,0,0,0,4,55
Dane Dunning,2021-08-02,TEX,LAA,1,1,0,1.80,1,1,0,0,0,0,0,5.0,20,3,1,1,0,2,0,0,0,0,3,61
Dane Dunning,2021-07-27,TEX,ARI,1,1,0,2.84,1,1,0,0,0,0,0,6.1,23,6,2,2,0,2,0,0,0,0,3,60
Dane Dunning,2021-07-20,TEX,@DET,1,0,1,5.79,1,1,0,0,0,0,0,4.2,19,4,3,3,2,1,0,0,0,0,2,40
Dane Dunning,2021-07-06,TEX,DET,1,0,0,1.80,1,1,0,0,0,0,0,5.0,17,1,1,1,1,1,0,0,0,0,6,64
Dane Dunning,2021-07-01,TEX,@OAK,1,0,0,0.00,1,1,0,0,0,0,0,4.0,18,3,0,0,0,2,0,2,0,0,4,59
Dane Dunning,2021-06-25,TEX,KCR,1,1,0,3.60,1,1,0,0,0,0,0,5.0,21,5,2,2,0,2,0,0,0,0,4,55
Dane Dunning,2021-06-20,TEX,MIN,1,0,1,6.75,1,1,0,0,0,0,0,4.0,22,10,4,3,1,2,0,0,0,0,5,28
Dane Dunning,2021-06-13,TEX,@LAD,1,0,1,9.00,1,1,0,0,0,0,0,4.0,20,7,4,4,1,2,0,1,0,0,5,34
Dane Dunning,2021-06-06,TEX,TBR,1,0,0,0.00,1,1,0,0,0,0,0,5.0,19,3,0,0,0,2,0,0,0,0,6,67
Dane Dunning,2021-06-01,TEX,@COL,1,0,0,3.86,1,1,0,0,0,0,0,4.2,20,6,2,2,0,0,0,0,0,0,3,54
Dane Dunning,2021-05-26,TEX,@LAA,1,0,1,15.75,1,1,0,0,0,0,0,4.0,21,7,7,7,2,3,0,0,0,0,4,16
Dane Dunning,2021-05-20,TEX,NYY,1,0,0,0.00,1,1,0,0,0,0,0,6.0,21,4,0,0,0,1,0,0,1,0,6,73
Dane Dunning,2021-05-15,TEX,@HOU,1,0,1,9.00,1,1,0,0,0,0,0,4.0,21,7,4,4,1,3,0,0,2,0,3,30
Dane Dunning,2021-05-09,TEX,SEA,1,1,0,3.60,1,1,0,0,0,0,0,5.0,24,6,2,2,0,3,0,0,0,0,10,57
Dane Dunning,2021-05-03,TEX,@MIN,1,0,1,3.18,1,1,0,0,0,0,0,5.2,22,3,3,2,0,2,0,0,0,0,5,61
Dane Dunning,2021-04-28,TEX,LAA,1,0,1,7.20,1,1,0,0,0,0,0,5.0,21,6,4,4,0,1,0,0,1,0,6,51
Dane Dunning,2021-04-23,TEX,@CHW,1,0,0,16.88,1,1,0,0,0,0,0,2.2,17,8,5,5,0,2,0,0,1,0,2,24
Dane Dunning,2021-04-17,TEX,BAL,1,0,0,0.00,1,1,0,0,0,0,0,6.0,24,5,0,0,0,0,0,0,0,0,5,72
Dane Dunning,2021-04-12,TEX,@TBR,1,0,0,0.00,1,1,0,0,0,0,0,4.0,16,2,0,0,0,2,0,0,1,0,5,62
Dane Dunning,2021-04-06,TEX,TOR,1,1,0,1.80,1,1,0,0,0,0,0,5.0,18,3,1,1,1,0,0,0,1,0,6,62
Dane Dunning,2020-09-26,CHW,CHC,1,0,0,12.00,1,1,0,0,0,0,0,3.0,15,3,5,4,1,3,0,1,0,0,2,29
Dane Dunning,2020-09-21,CHW,@CLE,1,0,0,9.00,1,1,0,0,0,0,0,4.0,19,6,4,4,1,1,0,0,0,0,5,39
Dane Dunning,2020-09-15,CHW,MIN,1,1,0,1.29,1,1,0,0,0,0,0,7.0,27,3,2,1,1,2,0,1,3,0,7,69
Dane Dunning,2020-09-09,CHW,@PIT,1,1,0,0.00,1,1,0,0,0,0,0,6.0,22,3,0,0,0,1,0,0,0,0,3,73
Dane Dunning,2020-09-04,CHW,@KCR,1,0,0,5.79,1,1,0,0,0,0,0,4.2,24,5,3,3,0,4,0,0,1,0,4,47
Dane Dunning,2020-08-30,CHW,KCR,1,0,0,0.00,1,1,0,0,0,0,0,5.0,16,0,0,0,0,1,0,0,0,0,7,77
