Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Daniel Castano,2022-07-07,MIA,@NYM,1,0,1,11.25,1,1,0,0,0,0,0,4.0,21,9,6,5,1,0,0,0,1,0,2,23
Daniel Castano,2022-07-02,MIA,@WSN,1,1,0,1.80,1,1,0,0,0,0,0,5.0,20,4,3,1,1,2,0,0,1,0,3,45
Daniel Castano,2022-06-26,MIA,NYM,1,0,0,2.57,1,1,0,0,0,0,0,7.0,28,5,2,2,1,2,0,0,0,0,4,59
Daniel Castano,2022-06-21,MIA,COL,1,0,0,10.80,1,1,0,0,0,0,0,3.1,19,7,4,4,1,3,0,0,0,0,3,24
Daniel Castano,2022-06-15,MIA,@PHI,1,0,0,0.00,1,1,0,0,0,0,0,6.2,27,5,0,0,0,2,0,1,0,0,3,68
Daniel Castano,2022-05-18,MIA,WSN,0,0,1,0.00,1,0,0,0,0,0,0,2.0,7,1,1,0,0,0,0,0,0,0,0,
Daniel Castano,2022-04-16,MIA,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,1,
Daniel Castano,2022-04-15,MIA,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,1,
Daniel Castano,2021-09-28,MIA,@NYM,0,0,0,3.00,1,0,0,0,0,0,0,3.0,14,2,2,1,0,1,0,0,0,0,3,
Daniel Castano,2021-05-08,MIA,MIL,1,0,1,6.75,1,1,0,0,0,0,0,4.0,20,6,3,3,1,2,0,0,0,0,5,38
Daniel Castano,2021-04-27,MIA,@MIL,1,0,0,8.10,1,1,0,0,0,0,0,3.1,18,6,3,3,2,1,0,1,0,0,3,28
Daniel Castano,2021-04-22,MIA,@SFG,1,0,1,5.40,1,1,0,0,0,0,0,5.0,21,5,3,3,0,2,0,0,0,0,2,49
Daniel Castano,2021-04-16,MIA,SFG,1,0,0,1.80,1,1,0,0,0,0,0,5.0,19,3,1,1,0,2,0,0,0,0,0,57
Daniel Castano,2020-09-27,MIA,@NYY,0,1,0,0.00,1,0,0,0,0,0,0,6.1,24,4,0,0,0,2,0,0,0,0,2,
Daniel Castano,2020-09-18,MIA,WSN,1,0,0,6.23,1,1,0,0,0,0,0,4.1,18,5,3,3,0,0,0,0,0,0,1,49
Daniel Castano,2020-09-11,MIA,PHI,1,0,0,0.00,1,1,0,0,0,0,0,3.2,16,5,1,0,0,1,0,0,0,0,1,49
Daniel Castano,2020-08-25,MIA,@NYM,1,0,0,0.00,1,1,0,0,0,0,0,4.2,22,6,0,0,0,3,0,0,0,0,1,52
Daniel Castano,2020-08-22,MIA,@WSN,1,0,1,54.00,1,1,0,0,0,0,0,0.1,4,1,2,2,0,2,0,0,1,0,1,32
Daniel Castano,2020-08-15,MIA,ATL,1,0,0,1.50,1,1,0,0,0,0,0,6.0,22,4,1,1,1,2,0,0,0,0,2,58
Daniel Castano,2020-08-08,MIA,@NYM,1,0,1,8.31,1,1,0,0,0,0,0,4.1,20,5,5,4,2,1,0,0,0,0,4,32
