Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Darren O'Day,2022-07-11,ATL,NYM,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,0,
Darren O'Day,2022-07-10,ATL,WSN,0,0,0,0.00,1,0,0,0,0,0,0,0.1,3,1,0,0,0,1,0,0,0,0,0,
Darren O'Day,2022-07-07,ATL,STL,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,0,0,0,0,2,1,0,0,0,1,
Darren O'Day,2022-07-06,ATL,STL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,0,0,1,0,0,1,
Darren O'Day,2022-07-04,ATL,STL,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Darren O'Day,2022-06-30,ATL,@PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,2,
Darren O'Day,2022-06-26,ATL,LAD,0,0,1,13.50,1,0,0,0,0,0,0,0.2,4,2,2,1,0,0,0,0,0,0,1,
Darren O'Day,2022-06-24,ATL,LAD,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Darren O'Day,2022-06-21,ATL,SFG,0,0,1,18.00,1,0,0,0,0,0,0,0.0,3,2,2,2,0,1,0,0,0,0,0,
Darren O'Day,2022-06-14,ATL,@WSN,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Darren O'Day,2022-06-13,ATL,@WSN,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,1,0,0,0,1,0,0,0,0,0,
Darren O'Day,2022-06-10,ATL,PIT,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Darren O'Day,2022-06-04,ATL,@COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Darren O'Day,2022-06-02,ATL,@COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,2,
Darren O'Day,2022-05-28,ATL,MIA,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,1,
Darren O'Day,2022-05-23,ATL,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Darren O'Day,2022-05-21,ATL,@MIA,0,0,0,27.00,1,0,0,0,0,1,0,0.1,3,2,1,1,0,0,0,0,0,0,0,
Darren O'Day,2022-05-18,ATL,@MIL,0,0,0,0.00,1,0,0,0,0,0,1,0.2,4,1,1,0,0,1,1,0,0,0,1,
Darren O'Day,2022-05-13,ATL,SDP,0,0,0,18.00,1,0,0,0,0,0,0,1.0,6,2,2,2,0,1,0,0,0,0,0,
Darren O'Day,2022-05-08,ATL,MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Darren O'Day,2022-05-04,ATL,@NYM,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,1,1,0,0,0,0,2,
Darren O'Day,2022-05-01,ATL,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Darren O'Day,2022-04-24,ATL,MIA,0,0,0,13.50,1,0,0,0,0,0,0,0.2,3,1,1,1,0,0,0,0,0,0,0,
Darren O'Day,2022-04-22,ATL,MIA,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,1,0,0,0,0,0,0,0,0,0,
Darren O'Day,2022-04-18,ATL,@LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Darren O'Day,2022-04-15,ATL,@SDP,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Darren O'Day,2022-04-12,ATL,WSN,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Darren O'Day,2022-04-09,ATL,CIN,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Darren O'Day,2021-07-04,NYY,NYM,0,0,0,13.50,1,0,0,0,0,0,0,0.2,5,1,1,1,1,2,0,0,0,0,1,
Darren O'Day,2021-06-30,NYY,LAA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Darren O'Day,2021-04-29,NYY,@BAL,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,0,1,0,0,0,0,0,
Darren O'Day,2021-04-26,NYY,@BAL,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,0,0,0,1,0,1,2,
Darren O'Day,2021-04-23,NYY,@CLE,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Darren O'Day,2021-04-18,NYY,TBR,0,0,0,13.50,1,0,0,0,0,0,0,0.2,3,1,1,1,1,0,0,0,0,0,1,
