Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
David Price,2022-07-10,LAD,CHC,0,0,0,27.00,1,0,0,0,0,1,0,0.1,5,3,1,1,1,1,0,0,0,0,0,
David Price,2022-07-06,LAD,COL,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,1,
David Price,2022-06-29,LAD,@COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,1,
David Price,2022-06-27,LAD,@COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
David Price,2022-06-25,LAD,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,2,
David Price,2022-06-23,LAD,@CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
David Price,2022-06-21,LAD,@CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
David Price,2022-06-18,LAD,CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
David Price,2022-06-10,LAD,@SFG,0,0,0,5.40,1,0,0,0,0,0,0,1.2,6,1,1,1,1,0,0,0,0,0,1,
David Price,2022-06-07,LAD,@CHW,0,0,0,54.00,1,0,0,0,0,0,0,0.1,5,3,2,2,0,1,1,0,0,0,0,
David Price,2022-06-04,LAD,NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,1,
David Price,2022-05-31,LAD,PIT,0,0,0,6.75,1,0,0,0,0,0,0,1.1,7,2,1,1,0,1,1,0,0,0,3,
David Price,2022-05-29,LAD,@ARI,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
David Price,2022-05-24,LAD,@WSN,0,0,0,9.00,1,0,0,0,0,0,0,1.0,6,3,1,1,0,0,0,0,0,0,2,
David Price,2022-05-21,LAD,@PHI,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,3,1,1,1,0,0,0,0,0,0,
David Price,2022-05-18,LAD,ARI,0,0,0,0.00,1,0,0,0,0,1,0,1.1,4,0,0,0,0,0,0,0,0,0,3,
David Price,2022-04-22,LAD,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
David Price,2022-04-19,LAD,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,2,
David Price,2022-04-16,LAD,CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
David Price,2022-04-14,LAD,CIN,0,0,0,6.75,1,0,0,0,0,0,1,1.1,5,1,1,1,1,0,0,0,0,0,1,
David Price,2022-04-12,LAD,@MIN,0,0,0,0.00,1,0,0,0,0,0,0,0.1,2,0,0,0,0,1,0,0,0,0,0,
