Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Dillon Tate,2022-07-10,BAL,LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Dillon Tate,2022-07-08,BAL,LAA,0,1,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,0,
Dillon Tate,2022-07-05,BAL,TEX,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,1,2,2,0,1,0,0,0,0,3,
Dillon Tate,2022-07-03,BAL,@MIN,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Dillon Tate,2022-07-02,BAL,@MIN,0,0,0,13.50,1,0,0,0,0,1,0,0.2,4,2,1,1,0,0,0,0,0,0,0,
Dillon Tate,2022-06-29,BAL,@SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Dillon Tate,2022-06-25,BAL,@CHW,0,0,0,4.50,1,0,0,0,0,0,0,2.0,9,1,1,1,0,0,0,2,0,0,1,
Dillon Tate,2022-06-23,BAL,@CHW,0,0,0,0.00,1,0,0,0,0,1,0,1.1,7,2,0,0,0,1,0,0,0,0,1,
Dillon Tate,2022-06-18,BAL,TBR,0,0,1,9.00,1,0,0,0,0,0,0,1.0,6,1,1,1,0,1,0,1,0,0,2,
Dillon Tate,2022-06-15,BAL,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Dillon Tate,2022-06-14,BAL,@TOR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,2,0,0,0,0,0,0,0,0,2,
Dillon Tate,2022-06-11,BAL,@KCR,0,0,0,9.00,1,0,0,0,0,1,0,1.0,5,3,1,1,0,0,0,0,0,0,0,
Dillon Tate,2022-06-10,BAL,@KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,1,
Dillon Tate,2022-06-04,BAL,CLE,0,0,0,0.00,1,0,0,0,0,1,0,0.2,4,1,0,0,0,1,1,0,0,0,1,
Dillon Tate,2022-06-02,BAL,SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.2,7,1,0,0,0,0,0,0,0,0,2,
Dillon Tate,2022-05-30,BAL,@BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Dillon Tate,2022-05-27,BAL,@BOS,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,1,0,0,0,0,0,1,0,0,0,
Dillon Tate,2022-05-24,BAL,@NYY,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,1,0,0,0,1,
Dillon Tate,2022-05-22,BAL,TBR,0,0,0,0.00,1,0,0,0,0,0,0,2.0,9,2,1,0,0,0,0,0,0,0,1,
Dillon Tate,2022-05-20,BAL,TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,1,0,0,0,0,0,0,0,0,
Dillon Tate,2022-05-19,BAL,NYY,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Dillon Tate,2022-05-17,BAL,NYY,0,0,1,5.40,1,0,0,0,0,0,0,1.2,10,2,2,1,0,1,0,1,0,0,0,
Dillon Tate,2022-05-14,BAL,@DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Dillon Tate,2022-05-12,BAL,@STL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Dillon Tate,2022-05-10,BAL,@STL,0,0,0,13.50,1,0,0,0,0,1,0,0.2,5,2,1,1,1,0,0,1,1,0,0,
Dillon Tate,2022-05-08,BAL,KCR,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Dillon Tate,2022-05-04,BAL,MIN,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,1,0,0,0,0,2,
