Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Domingo Acevedo,2022-07-11,OAK,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Domingo Acevedo,2022-07-09,OAK,HOU,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Domingo Acevedo,2022-07-06,OAK,TOR,0,0,1,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,1,
Domingo Acevedo,2022-07-05,OAK,TOR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Domingo Acevedo,2022-07-02,OAK,@SEA,0,0,0,0.00,1,0,0,0,0,1,0,0.2,2,1,0,0,0,0,0,0,0,0,0,
Domingo Acevedo,2022-07-01,OAK,@SEA,0,0,0,0.00,1,0,0,0,0,1,0,0.2,4,1,0,0,0,1,0,0,0,0,1,
Domingo Acevedo,2022-06-28,OAK,@NYY,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Domingo Acevedo,2022-06-26,OAK,@KCR,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Domingo Acevedo,2022-06-24,OAK,@KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.2,6,1,0,0,0,0,0,0,0,0,2,
Domingo Acevedo,2022-06-19,OAK,KCR,0,0,0,0.00,1,0,0,0,0,1,0,1.1,4,0,0,0,0,0,0,0,0,0,3,
Domingo Acevedo,2022-06-18,OAK,KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,2,
Domingo Acevedo,2022-06-15,OAK,@BOS,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,1,2,2,1,1,0,0,0,0,0,
Domingo Acevedo,2022-06-11,OAK,@CLE,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Domingo Acevedo,2022-06-08,OAK,@ATL,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,1,
Domingo Acevedo,2022-06-07,OAK,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Domingo Acevedo,2022-06-03,OAK,BOS,0,0,0,54.00,1,0,0,0,0,0,0,0.1,3,0,2,2,0,1,0,1,0,0,0,
Domingo Acevedo,2022-06-01,OAK,HOU,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,0,
Domingo Acevedo,2022-05-29,OAK,TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,6,0,0,0,0,2,1,0,0,0,0,
Domingo Acevedo,2022-05-26,OAK,TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Domingo Acevedo,2022-05-24,OAK,@SEA,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,0,0,0,0,1,0,0,0,0,0,
Domingo Acevedo,2022-05-23,OAK,@SEA,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Domingo Acevedo,2022-05-21,OAK,@LAA,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,0,
Domingo Acevedo,2022-05-16,OAK,MIN,0,0,0,5.40,1,0,0,0,0,0,0,1.2,6,1,1,1,1,0,0,0,0,0,2,
Domingo Acevedo,2022-05-15,OAK,LAA,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Domingo Acevedo,2022-05-12,OAK,@DET,0,0,0,9.00,1,0,0,0,0,0,1,1.0,5,2,1,1,0,0,0,0,0,0,0,
Domingo Acevedo,2022-05-10,OAK,@DET,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Domingo Acevedo,2022-05-08,OAK,@MIN,0,0,0,0.00,1,0,0,0,0,0,0,0.2,1,0,0,0,0,0,0,0,0,0,0,
Domingo Acevedo,2022-05-06,OAK,@MIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Domingo Acevedo,2022-05-04,OAK,TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.1,6,1,0,0,0,0,0,1,0,1,0,
Domingo Acevedo,2022-05-02,OAK,TBR,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,2,
Domingo Acevedo,2022-04-29,OAK,CLE,0,0,1,18.00,1,0,0,0,0,0,1,1.0,5,3,2,2,1,0,0,0,0,0,1,
Domingo Acevedo,2022-04-27,OAK,@SFG,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Domingo Acevedo,2022-04-23,OAK,TEX,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,0,
Domingo Acevedo,2022-04-21,OAK,BAL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Domingo Acevedo,2022-04-18,OAK,BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,2,0,0,0,0,0,0,0,0,1,
Domingo Acevedo,2022-04-16,OAK,@TOR,0,0,0,40.50,1,0,0,0,0,0,1,0.2,7,5,3,3,2,0,0,0,0,0,0,
Domingo Acevedo,2022-04-14,OAK,@TBR,0,0,0,0.00,1,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,2,
Domingo Acevedo,2022-04-12,OAK,@TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.2,6,0,0,0,0,1,0,0,0,0,2,
Domingo Acevedo,2022-04-10,OAK,@PHI,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Domingo Acevedo,2022-04-08,OAK,@PHI,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,0,1,0,0,0,0,2,
Domingo Acevedo,2021-10-03,OAK,@HOU,0,0,0,9.00,1,0,0,0,0,0,0,1.0,6,2,1,1,1,1,0,0,0,0,0,
Domingo Acevedo,2021-10-02,OAK,@HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Domingo Acevedo,2021-09-27,OAK,@SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Domingo Acevedo,2021-09-24,OAK,HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.0,6,0,0,0,0,3,0,0,0,0,3,
Domingo Acevedo,2021-09-22,OAK,SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Domingo Acevedo,2021-09-20,OAK,SEA,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,2,
Domingo Acevedo,2021-09-14,OAK,@KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Domingo Acevedo,2021-07-01,OAK,TEX,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,2,1,1,1,0,0,0,0,0,1,
Domingo Acevedo,2021-06-29,OAK,TEX,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,2,2,2,1,0,0,0,0,0,1,
Domingo Acevedo,2021-06-21,OAK,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
