Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Drew Smith,2022-07-10,NYM,MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Drew Smith,2022-07-08,NYM,MIA,0,0,0,10.80,1,0,0,0,0,0,0,1.2,7,3,2,2,1,0,0,0,0,0,0,
Drew Smith,2022-07-04,NYM,@CIN,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,1,0,0,0,0,0,1,
Drew Smith,2022-06-29,NYM,HOU,0,0,1,18.00,1,0,0,0,0,0,0,1.0,5,2,2,2,1,0,0,0,0,0,1,
Drew Smith,2022-06-24,NYM,@MIA,0,0,0,0.00,1,0,0,0,0,1,0,0.2,5,0,0,0,0,3,0,0,0,0,2,
Drew Smith,2022-06-20,NYM,MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Drew Smith,2022-06-18,NYM,MIA,0,0,0,0.00,1,0,0,0,0,1,0,1.1,4,0,0,0,0,0,0,0,0,0,3,
Drew Smith,2022-06-16,NYM,MIL,0,1,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,1,
Drew Smith,2022-06-14,NYM,MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Drew Smith,2022-06-10,NYM,@LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Drew Smith,2022-06-06,NYM,@SDP,0,0,0,5.40,1,0,0,0,0,0,0,1.2,6,1,1,1,1,0,0,0,0,0,2,
Drew Smith,2022-06-04,NYM,@LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.1,6,1,0,0,0,1,0,0,0,0,0,
Drew Smith,2022-05-31,NYM,WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.2,7,2,0,0,0,0,0,0,0,0,4,
Drew Smith,2022-05-29,NYM,PHI,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,1,0,0,0,0,0,0,0,0,1,
Drew Smith,2022-05-27,NYM,PHI,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
