Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Giovanny Gallegos,2022-07-09,STL,PHI,0,0,1,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,0,0,1,
Giovanny Gallegos,2022-07-07,STL,@ATL,0,0,0,9.00,1,0,0,0,0,0,1,1.0,4,1,1,1,1,0,0,0,0,0,2,
Giovanny Gallegos,2022-07-06,STL,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Giovanny Gallegos,2022-06-29,STL,MIA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Giovanny Gallegos,2022-06-28,STL,MIA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Giovanny Gallegos,2022-06-25,STL,CHC,0,0,0,13.50,1,0,0,0,0,0,1,1.1,6,3,2,2,1,0,0,0,0,1,1,
Giovanny Gallegos,2022-06-21,STL,@MIL,0,0,0,0.00,1,0,0,0,0,1,0,2.0,6,0,0,0,0,0,0,0,0,0,1,
Giovanny Gallegos,2022-06-14,STL,PIT,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Giovanny Gallegos,2022-06-13,STL,PIT,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Giovanny Gallegos,2022-06-10,STL,CIN,0,0,0,0.00,1,0,0,0,0,1,0,1.0,6,0,0,0,0,3,0,0,0,0,1,
Giovanny Gallegos,2022-06-07,STL,@TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Giovanny Gallegos,2022-06-04,STL,@CHC,0,1,0,0.00,1,0,0,0,0,0,0,2.0,9,2,1,0,0,1,1,0,0,0,5,
Giovanny Gallegos,2022-05-31,STL,SDP,0,0,0,18.00,1,0,0,0,0,0,1,1.0,5,2,2,2,1,0,0,0,0,0,2,
Giovanny Gallegos,2022-05-30,STL,SDP,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,2,0,0,0,0,0,0,0,0,2,
Giovanny Gallegos,2022-05-26,STL,MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Giovanny Gallegos,2022-05-23,STL,TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Giovanny Gallegos,2022-05-20,STL,@PIT,0,0,0,0.00,1,0,0,0,1,0,0,1.2,5,0,0,0,0,0,0,0,0,0,5,
Giovanny Gallegos,2022-05-19,STL,@NYM,0,0,1,9.00,1,0,0,0,0,0,1,0.0,1,1,2,1,1,0,0,0,0,0,0,
Giovanny Gallegos,2022-05-17,STL,@NYM,0,0,0,0.00,1,0,0,0,1,0,0,1.0,5,1,0,0,0,1,0,0,0,0,2,
Giovanny Gallegos,2022-05-14,STL,SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Giovanny Gallegos,2022-05-12,STL,BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Giovanny Gallegos,2022-05-08,STL,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,1,0,1,
Giovanny Gallegos,2022-05-06,STL,@SFG,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Giovanny Gallegos,2022-05-02,STL,KCR,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Giovanny Gallegos,2022-04-25,STL,NYM,0,0,1,54.00,1,0,0,0,0,0,1,0.2,6,4,4,4,0,0,0,0,0,0,0,
Giovanny Gallegos,2022-04-22,STL,@CIN,0,0,0,9.00,1,0,0,0,1,0,0,1.0,5,2,1,1,0,0,0,0,1,0,0,
Giovanny Gallegos,2022-04-20,STL,@MIA,0,0,0,0.00,1,0,0,0,1,0,0,1.0,5,1,0,0,0,1,0,0,0,0,2,
Giovanny Gallegos,2022-04-19,STL,@MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Giovanny Gallegos,2022-04-16,STL,@MIL,0,0,0,0.00,1,0,0,0,1,0,0,1.1,4,1,0,0,0,0,0,0,0,0,1,
Giovanny Gallegos,2022-04-12,STL,KCR,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Giovanny Gallegos,2022-04-09,STL,PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Giovanny Gallegos,2021-10-01,STL,CHC,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,2,0,0,0,0,0,0,0,0,0,
Giovanny Gallegos,2021-09-28,STL,MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Giovanny Gallegos,2021-09-26,STL,@CHC,0,0,0,0.00,1,0,0,0,1,0,0,1.0,5,0,0,0,0,2,0,0,0,0,2,
Giovanny Gallegos,2021-09-24,STL,@CHC,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Giovanny Gallegos,2021-09-23,STL,@MIL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Giovanny Gallegos,2021-09-21,STL,@MIL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,6,1,0,0,0,2,1,0,0,0,1,
Giovanny Gallegos,2021-09-19,STL,SDP,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Giovanny Gallegos,2021-09-18,STL,SDP,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Giovanny Gallegos,2021-09-14,STL,@NYM,0,0,0,9.00,1,0,0,0,0,0,1,1.0,4,1,1,1,1,0,0,0,0,0,1,
Giovanny Gallegos,2021-09-12,STL,CIN,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Giovanny Gallegos,2021-09-11,STL,CIN,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Giovanny Gallegos,2021-09-09,STL,LAD,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Giovanny Gallegos,2021-09-08,STL,LAD,0,0,0,0.00,1,0,0,0,1,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Giovanny Gallegos,2021-09-05,STL,@MIL,0,0,0,36.00,1,0,0,0,0,1,0,1.0,7,3,4,4,0,1,0,0,0,0,2,
Giovanny Gallegos,2021-09-01,STL,@CIN,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Giovanny Gallegos,2021-08-30,STL,@CIN,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Giovanny Gallegos,2021-08-29,STL,@PIT,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Giovanny Gallegos,2021-08-27,STL,@PIT,0,0,0,9.00,1,0,0,0,0,1,0,1.0,5,3,1,1,0,0,0,0,0,0,0,
Giovanny Gallegos,2021-08-25,STL,DET,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Giovanny Gallegos,2021-08-19,STL,MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Giovanny Gallegos,2021-08-18,STL,MIL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,1,0,0,0,1,0,0,0,0,2,
Giovanny Gallegos,2021-08-13,STL,@KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Giovanny Gallegos,2021-08-12,STL,@PIT,0,0,0,0.00,1,0,0,0,0,1,0,1.1,8,4,0,0,0,0,0,0,0,0,3,
Giovanny Gallegos,2021-08-07,STL,KCR,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Giovanny Gallegos,2021-08-05,STL,ATL,0,0,1,40.50,1,0,0,0,0,0,1,0.2,5,3,3,3,1,0,0,0,0,0,0,
Giovanny Gallegos,2021-08-04,STL,ATL,0,0,1,40.50,1,0,0,0,0,0,0,0.2,6,3,3,3,0,1,0,0,0,0,1,
Giovanny Gallegos,2021-08-01,STL,MIN,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Giovanny Gallegos,2021-07-30,STL,MIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Giovanny Gallegos,2021-07-27,STL,@CLE,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,1,0,0,0,0,0,0,0,0,1,
Giovanny Gallegos,2021-07-25,STL,@CIN,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Giovanny Gallegos,2021-07-23,STL,@CIN,0,0,1,0.00,1,0,0,0,0,0,0,1.0,6,1,1,0,0,1,0,0,0,0,0,
Giovanny Gallegos,2021-07-21,STL,CHC,0,0,0,9.00,1,0,0,0,0,0,1,1.0,6,1,1,1,0,0,0,2,0,0,1,
Giovanny Gallegos,2021-07-20,STL,CHC,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Giovanny Gallegos,2021-07-18,STL,SFG,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,0,0,1,0,0,3,
Giovanny Gallegos,2021-07-17,STL,SFG,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Giovanny Gallegos,2021-07-10,STL,@CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Giovanny Gallegos,2021-07-05,STL,@SFG,0,0,0,9.00,1,0,0,0,0,1,0,1.0,4,1,1,1,1,0,0,0,0,0,3,
Giovanny Gallegos,2021-07-04,STL,@COL,0,0,0,5.40,1,0,0,0,0,0,1,1.2,6,1,1,1,0,0,0,0,0,0,1,
Giovanny Gallegos,2021-07-01,STL,@COL,0,0,1,40.50,1,0,0,0,0,0,0,0.2,5,1,3,3,1,2,0,0,0,0,1,
Giovanny Gallegos,2021-06-28,STL,ARI,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Giovanny Gallegos,2021-06-26,STL,PIT,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Giovanny Gallegos,2021-06-25,STL,PIT,0,0,0,0.00,1,0,0,0,0,0,0,0.2,1,0,0,0,0,0,0,0,0,0,0,
Giovanny Gallegos,2021-06-23,STL,@DET,0,0,0,0.00,1,0,0,0,0,0,0,1.2,4,0,0,0,0,0,0,0,0,0,1,
Giovanny Gallegos,2021-06-15,STL,MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Giovanny Gallegos,2021-06-14,STL,MIA,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
