Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Jake Diekman,2022-07-09,BOS,NYY,0,1,0,9.00,1,0,0,0,0,0,0,1.0,4,2,2,1,0,0,0,0,0,0,1,
Jake Diekman,2022-07-06,BOS,TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,2,
Jake Diekman,2022-07-05,BOS,TBR,0,0,0,0.00,1,0,0,0,0,0,0,0.1,3,1,0,0,0,1,0,0,0,0,0,
Jake Diekman,2022-07-03,BOS,@CHC,0,1,0,0.00,1,0,0,0,0,0,0,2.0,8,0,0,0,0,1,0,1,0,0,4,
Jake Diekman,2022-07-01,BOS,@CHC,0,0,0,0.00,1,0,0,0,0,0,0,0.1,2,0,0,0,0,1,0,0,1,0,1,
Jake Diekman,2022-06-25,BOS,@CLE,0,0,0,0.00,1,0,0,0,0,1,0,1.1,6,1,0,0,0,1,0,0,0,0,1,
Jake Diekman,2022-06-22,BOS,DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Jake Diekman,2022-06-20,BOS,DET,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Jake Diekman,2022-06-15,BOS,OAK,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,1,
Jake Diekman,2022-06-11,BOS,@SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.1,6,0,0,0,0,2,0,1,0,0,1,
Jake Diekman,2022-06-10,BOS,@SEA,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Jake Diekman,2022-06-08,BOS,@LAA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,2,0,0,0,0,0,0,0,0,0,1,
Jake Diekman,2022-06-07,BOS,@LAA,0,0,0,9.00,1,0,0,0,0,0,0,1.0,6,1,1,1,0,2,0,0,1,0,2,
Jake Diekman,2022-05-31,BOS,CIN,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,2,1,0,0,0,0,0,0,0,0,
Jake Diekman,2022-05-28,BOS,BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Jake Diekman,2022-05-27,BOS,BAL,0,0,0,27.00,1,0,0,0,0,0,0,1.0,6,2,3,3,1,1,0,0,0,0,0,
Jake Diekman,2022-05-22,BOS,SEA,0,1,0,0.00,1,0,0,0,0,0,0,1.0,5,2,1,0,0,0,0,0,0,0,2,
Jake Diekman,2022-05-21,BOS,SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Jake Diekman,2022-05-20,BOS,SEA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Jake Diekman,2022-05-17,BOS,HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Jake Diekman,2022-05-16,BOS,HOU,0,0,0,0.00,1,0,0,0,0,0,1,0.2,3,0,0,0,0,1,0,0,0,0,0,
Jake Diekman,2022-05-14,BOS,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Jake Diekman,2022-05-08,BOS,CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,3,
Jake Diekman,2022-05-04,BOS,LAA,0,0,0,0.00,1,0,0,0,0,0,1,0.1,3,1,0,0,0,1,0,0,0,0,0,
Jake Diekman,2022-05-03,BOS,LAA,0,0,0,0.00,1,0,0,0,0,1,0,1.1,4,0,0,0,0,1,0,0,0,0,0,
Jake Diekman,2022-04-29,BOS,@BAL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Jake Diekman,2022-04-27,BOS,@TOR,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,0,0,0,0,1,0,0,0,0,1,
Jake Diekman,2022-04-26,BOS,@TOR,0,0,0,40.50,1,0,0,0,0,0,1,0.2,5,3,3,3,1,0,0,0,0,0,2,
Jake Diekman,2022-04-24,BOS,@TBR,0,0,0,13.50,1,0,0,0,0,0,0,0.2,3,2,1,1,1,0,0,0,1,0,0,
Jake Diekman,2022-04-22,BOS,@TBR,0,0,0,0.00,1,0,0,0,0,1,0,0.2,5,0,0,0,0,3,0,0,0,0,1,
Jake Diekman,2022-04-19,BOS,TOR,0,0,0,0.00,1,0,0,0,0,1,0,0.1,2,1,0,0,0,0,0,0,0,0,0,
Jake Diekman,2022-04-17,BOS,MIN,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Jake Diekman,2022-04-13,BOS,@DET,0,0,0,0.00,1,0,0,0,0,1,0,0.2,4,1,0,0,0,0,0,1,0,0,2,
Jake Diekman,2022-04-10,BOS,@NYY,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Jake Diekman,2022-04-08,BOS,@NYY,0,0,0,0.00,1,0,0,0,0,1,0,0.1,3,0,1,0,0,1,1,1,0,0,0,
Jake Diekman,2021-10-01,OAK,@HOU,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,1,0,0,0,0,0,0,0,0,0,
Jake Diekman,2021-09-28,OAK,@SEA,0,0,0,6.75,1,0,0,0,0,0,0,1.1,6,1,1,1,1,1,0,0,0,0,1,
Jake Diekman,2021-09-23,OAK,SEA,0,0,1,81.00,1,0,0,0,0,0,1,0.1,4,2,3,3,2,1,0,0,0,0,1,
Jake Diekman,2021-09-21,OAK,SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,3,
Jake Diekman,2021-09-19,OAK,@LAA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Jake Diekman,2021-09-17,OAK,@LAA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Jake Diekman,2021-09-15,OAK,@KCR,0,0,0,40.50,1,0,0,0,0,0,0,0.2,7,3,3,3,0,1,0,1,0,0,1,
Jake Diekman,2021-09-14,OAK,@KCR,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,0,0,1,
Jake Diekman,2021-09-12,OAK,TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,3,
Jake Diekman,2021-09-10,OAK,TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Jake Diekman,2021-09-07,OAK,CHW,0,0,0,0.00,1,0,0,0,0,0,0,0.1,2,1,0,0,0,0,0,0,1,0,1,
Jake Diekman,2021-09-04,OAK,@TOR,0,0,0,27.00,1,0,0,0,0,0,0,1.0,7,3,3,3,1,1,0,0,0,0,1,
Jake Diekman,2021-09-01,OAK,@DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Jake Diekman,2021-08-29,OAK,NYY,0,0,0,0.00,1,0,0,0,0,0,1,1.0,5,0,1,0,0,1,0,0,1,0,2,
Jake Diekman,2021-08-27,OAK,NYY,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Jake Diekman,2021-08-26,OAK,NYY,0,0,0,0.00,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,
Jake Diekman,2021-08-21,OAK,SFG,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,2,0,0,0,0,0,0,0,0,1,
Jake Diekman,2021-08-20,OAK,SFG,0,0,0,0.00,1,0,0,0,0,1,0,1.1,4,0,0,0,0,0,0,0,0,0,1,
Jake Diekman,2021-08-17,OAK,@CHW,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,0,1,0,0,0,0,1,
Jake Diekman,2021-08-15,OAK,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Jake Diekman,2021-08-12,OAK,@CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Jake Diekman,2021-08-11,OAK,@CLE,0,1,0,9.00,1,0,0,0,0,0,0,1.0,6,1,1,1,0,2,0,0,0,0,2,
Jake Diekman,2021-08-08,OAK,TEX,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Jake Diekman,2021-08-04,OAK,SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,1,0,0,1,
Jake Diekman,2021-08-01,OAK,@LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Jake Diekman,2021-07-25,OAK,@SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,2,
Jake Diekman,2021-07-23,OAK,@SEA,0,0,1,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,0,1,0,0,3,0,2,
Jake Diekman,2021-07-18,OAK,CLE,0,0,0,0.00,1,0,0,0,0,0,0,0.2,5,1,0,0,0,2,1,0,0,0,1,
Jake Diekman,2021-07-16,OAK,CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Jake Diekman,2021-07-10,OAK,@TEX,0,0,0,27.00,1,0,0,0,0,0,1,0.1,4,1,1,1,0,2,0,0,0,0,1,
Jake Diekman,2021-07-08,OAK,@HOU,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Jake Diekman,2021-07-03,OAK,BOS,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Jake Diekman,2021-07-02,OAK,BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Jake Diekman,2021-06-26,OAK,@SFG,0,0,0,13.50,1,0,0,0,0,0,1,0.2,6,2,1,1,1,1,0,1,0,0,1,
Jake Diekman,2021-06-24,OAK,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,1,0,3,
Jake Diekman,2021-06-22,OAK,@TEX,0,0,0,13.50,1,0,0,0,0,0,0,0.2,4,1,1,1,1,2,0,0,0,0,1,
Jake Diekman,2021-06-18,OAK,@NYY,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Jake Diekman,2021-06-14,OAK,LAA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Jake Diekman,2021-06-13,OAK,KCR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Jake Diekman,2021-06-11,OAK,KCR,0,0,0,13.50,1,0,0,0,0,0,1,0.2,4,1,1,1,1,1,0,0,0,0,1,
Jake Diekman,2021-06-09,OAK,ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Jake Diekman,2021-06-06,OAK,@COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Jake Diekman,2021-06-04,OAK,@COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,1,0,0,0,0,0,
Jake Diekman,2021-06-01,OAK,@SEA,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,1,2,2,1,1,0,0,0,0,1,
Jake Diekman,2021-05-31,OAK,@SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Jake Diekman,2021-05-26,OAK,SEA,0,0,0,0.00,1,0,0,0,1,0,0,1.1,6,1,0,0,0,1,0,0,0,0,1,
Jake Diekman,2021-05-22,OAK,@LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Jake Diekman,2021-05-21,OAK,@LAA,0,0,0,0.00,1,0,0,0,0,1,0,1.1,5,0,0,0,0,1,0,0,0,0,1,
Jake Diekman,2021-05-16,OAK,@MIN,0,0,0,54.00,1,0,0,0,0,0,1,0.1,4,3,2,2,1,0,0,0,1,0,1,
Jake Diekman,2021-05-15,OAK,@MIN,0,0,1,27.00,1,0,0,0,0,0,1,0.1,2,1,1,1,1,0,0,0,0,0,0,
Jake Diekman,2021-05-12,OAK,@BOS,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Jake Diekman,2021-05-11,OAK,@BOS,0,0,0,0.00,1,0,0,0,1,0,0,1.0,5,0,0,0,0,2,0,0,0,0,1,
Jake Diekman,2021-05-08,OAK,TBR,0,0,0,9.00,1,0,0,0,0,1,0,1.0,6,3,1,1,0,0,0,0,0,0,2,
Jake Diekman,2021-05-07,OAK,TBR,0,1,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,2,
Jake Diekman,2021-05-03,OAK,TOR,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Jake Diekman,2021-05-02,OAK,BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,6,1,1,0,0,1,0,0,0,0,2,
Jake Diekman,2021-04-29,OAK,@TBR,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Jake Diekman,2021-04-26,OAK,@TBR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,1,0,0,0,1,0,0,1,0,1,
