Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Jeff Hoffman,2022-07-09,CIN,TBR,0,1,0,0.00,1,0,0,0,0,0,0,1.0,5,1,1,0,0,1,0,0,0,0,0,
Jeff Hoffman,2022-07-07,CIN,PIT,1,0,0,0.00,1,1,0,0,0,0,0,1.2,7,1,0,0,0,0,0,1,0,0,3,50
Jeff Hoffman,2022-07-05,CIN,NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,1,
Jeff Hoffman,2022-07-03,CIN,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Jeff Hoffman,2022-07-01,CIN,ATL,0,0,0,9.00,1,0,0,0,0,0,0,1.0,6,2,1,1,0,0,0,1,0,0,1,
Jeff Hoffman,2022-06-29,CIN,@CHC,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,0,1,0,0,1,0,2,
Jeff Hoffman,2022-06-23,CIN,LAD,0,0,0,10.80,1,0,0,0,0,0,0,1.2,9,3,2,2,1,1,0,0,0,0,1,
Jeff Hoffman,2022-06-19,CIN,MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,2,0,0,1,0,0,
Jeff Hoffman,2022-06-17,CIN,MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,1,0,0,0,0,2,
Jeff Hoffman,2022-06-12,CIN,@STL,0,1,0,0.00,1,0,0,0,0,0,0,1.1,6,2,0,0,0,0,0,0,0,0,2,
Jeff Hoffman,2022-06-10,CIN,@STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Jeff Hoffman,2022-06-07,CIN,ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Jeff Hoffman,2022-06-03,CIN,WSN,0,0,0,6.75,1,0,0,0,0,0,0,1.1,8,3,2,1,1,0,0,0,0,0,2,
Jeff Hoffman,2022-06-01,CIN,@BOS,0,0,0,27.00,1,0,0,0,0,0,0,1.0,7,1,3,3,0,3,1,0,1,0,2,
Jeff Hoffman,2022-05-29,CIN,SFG,0,0,0,27.00,1,0,0,0,0,1,0,0.2,4,1,2,2,0,1,0,0,0,0,1,
Jeff Hoffman,2022-05-26,CIN,CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,0,0,0,0,0,1,
Jeff Hoffman,2022-05-23,CIN,CHC,0,0,0,0.00,1,0,0,0,0,0,0,2.0,8,1,0,0,0,2,0,0,0,0,4,
Jeff Hoffman,2022-05-21,CIN,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,0,
Jeff Hoffman,2022-05-14,CIN,@PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Jeff Hoffman,2022-05-11,CIN,MIL,0,0,0,4.50,1,0,0,0,0,0,0,2.0,8,2,1,1,1,0,0,0,0,0,1,
Jeff Hoffman,2022-05-09,CIN,MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Jeff Hoffman,2022-05-07,CIN,PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.1,6,1,0,0,0,1,0,0,0,0,1,
Jeff Hoffman,2022-05-03,CIN,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.2,6,1,0,0,0,1,0,0,0,0,3,
Jeff Hoffman,2022-04-29,CIN,@COL,0,0,0,0.00,1,0,0,0,0,0,0,1.1,6,2,1,0,0,0,0,0,0,0,2,
Jeff Hoffman,2022-04-26,CIN,SDP,0,0,0,0.00,1,0,0,0,0,0,0,2.0,8,3,0,0,0,0,0,0,0,0,2,
Jeff Hoffman,2022-04-22,CIN,STL,0,0,0,5.40,1,0,0,0,0,0,0,1.2,9,3,1,1,0,1,0,0,0,0,1,
Jeff Hoffman,2022-04-19,CIN,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Jeff Hoffman,2022-04-17,CIN,@LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Jeff Hoffman,2022-04-15,CIN,@LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Jeff Hoffman,2022-04-12,CIN,CLE,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,2,0,0,0,0,0,0,0,0,1,
Jeff Hoffman,2022-04-08,CIN,@ATL,0,0,0,6.75,1,0,0,0,0,0,0,2.2,12,2,2,2,0,1,0,0,0,0,0,
Jeff Hoffman,2021-10-02,CIN,@PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.0,6,1,0,0,0,2,1,0,0,0,3,
Jeff Hoffman,2021-09-29,CIN,@CHW,0,0,0,3.86,1,0,0,0,0,0,0,2.1,9,2,1,1,1,0,0,0,0,0,3,
Jeff Hoffman,2021-09-26,CIN,WSN,0,0,0,9.00,1,0,0,0,0,0,0,1.0,6,1,1,1,0,2,0,0,1,0,2,
Jeff Hoffman,2021-09-25,CIN,WSN,0,0,0,9.00,1,0,0,0,0,0,0,1.0,6,1,1,1,1,1,0,1,2,0,1,
