Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Jhoulys Chacín,2022-07-09,COL,@ARI,0,0,0,27.00,1,0,0,0,0,0,0,1.0,8,4,3,3,0,1,0,0,1,0,2,
Jhoulys Chacín,2022-07-04,COL,@LAD,0,0,0,6.75,1,0,0,0,0,0,0,1.1,6,1,1,1,0,1,0,0,0,0,2,
Jhoulys Chacín,2022-07-02,COL,ARI,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,1,2,2,1,1,0,0,1,0,2,
Jhoulys Chacín,2022-06-29,COL,LAD,0,0,0,13.50,1,0,0,0,0,0,0,1.1,5,2,2,2,1,0,0,0,0,0,0,
Jhoulys Chacín,2022-06-25,COL,@MIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Jhoulys Chacín,2022-06-21,COL,@MIA,0,0,0,13.50,1,0,0,0,0,0,0,1.1,9,4,3,2,0,0,0,0,0,0,0,
Jhoulys Chacín,2022-06-18,COL,SDP,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,1,0,0,1,
Jhoulys Chacín,2022-06-15,COL,CLE,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,2,
Jhoulys Chacín,2022-06-14,COL,CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Jhoulys Chacín,2022-06-05,COL,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.2,8,2,1,0,0,1,0,0,0,0,2,
Jhoulys Chacín,2022-06-04,COL,ATL,0,0,1,27.00,1,0,0,0,0,0,0,1.0,6,3,4,3,1,0,0,0,0,0,0,
Jhoulys Chacín,2022-06-01,COL,MIA,0,0,0,27.00,1,0,0,0,0,0,0,0.2,5,3,2,2,0,0,0,0,0,0,1,
Jhoulys Chacín,2022-05-28,COL,@WSN,0,0,0,0.00,1,0,0,0,0,0,0,2.0,9,1,0,0,0,1,0,1,0,0,0,
Jhoulys Chacín,2022-05-26,COL,@WSN,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,0,0,1,
Jhoulys Chacín,2022-05-24,COL,@PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.2,6,1,0,0,0,0,0,0,0,0,2,
Jhoulys Chacín,2022-05-21,COL,NYM,0,0,0,0.00,1,0,0,0,0,0,0,2.0,8,1,0,0,0,1,0,0,0,0,1,
Jhoulys Chacín,2022-05-17,COL,SFG,0,0,0,9.00,1,0,0,0,0,0,0,2.0,10,2,2,2,0,2,0,0,0,0,2,
Jhoulys Chacín,2022-05-15,COL,KCR,0,0,0,40.50,1,0,0,0,0,0,0,0.2,6,2,3,3,1,2,0,0,0,0,0,
Jhoulys Chacín,2022-05-13,COL,KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,1,
Jhoulys Chacín,2022-05-10,COL,@SFG,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,0,0,2,
Jhoulys Chacín,2022-05-05,COL,WSN,0,1,0,5.40,1,0,0,0,0,0,0,1.2,6,2,1,1,1,0,0,0,0,0,1,
Jhoulys Chacín,2022-04-29,COL,CIN,0,0,0,0.00,1,0,0,0,0,1,0,0.2,2,0,0,0,0,1,0,0,0,0,0,
Jhoulys Chacín,2022-04-26,COL,@PHI,0,0,0,13.50,1,0,0,0,0,0,0,2.0,10,2,3,3,1,2,0,0,0,0,2,
Jhoulys Chacín,2022-04-23,COL,@DET,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,2,
Jhoulys Chacín,2022-04-20,COL,PHI,0,0,1,81.00,1,0,0,0,0,0,0,0.1,4,2,3,3,0,1,0,0,0,0,1,
Jhoulys Chacín,2022-04-18,COL,PHI,0,0,0,0.00,1,0,0,0,0,1,0,0.2,1,0,0,0,0,0,0,0,0,0,0,
Jhoulys Chacín,2022-04-16,COL,CHC,0,0,0,20.25,1,0,0,0,0,0,0,1.1,9,4,4,3,0,0,0,0,0,0,0,
Jhoulys Chacín,2022-04-12,COL,@TEX,0,1,0,0.00,1,0,0,0,0,0,0,2.2,9,0,0,0,0,1,0,0,0,0,1,
Jhoulys Chacín,2022-04-10,COL,LAD,0,1,0,0.00,1,0,0,0,0,0,0,1.2,6,0,0,0,0,0,0,0,0,0,3,
Jhoulys Chacín,2021-10-02,COL,@ARI,0,0,0,9.00,1,0,0,0,0,0,0,2.0,10,3,2,2,0,1,0,0,0,0,1,
Jhoulys Chacín,2021-09-29,COL,WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,2,0,0,0,0,0,
Jhoulys Chacín,2021-09-27,COL,WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Jhoulys Chacín,2021-09-26,COL,SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Jhoulys Chacín,2021-09-23,COL,LAD,0,0,0,9.00,1,0,0,0,0,1,0,1.0,5,2,1,1,0,0,0,0,0,0,0,
Jhoulys Chacín,2021-09-21,COL,LAD,0,0,1,0.00,1,0,0,0,0,0,0,1.0,3,1,1,0,0,0,0,0,0,0,1,
Jhoulys Chacín,2021-09-17,COL,@WSN,0,0,0,54.00,1,0,0,0,0,0,1,0.1,4,2,2,2,0,1,0,0,0,0,1,
Jhoulys Chacín,2021-09-14,COL,@ATL,0,0,0,18.00,1,0,0,0,0,1,0,1.0,5,2,2,2,1,0,0,0,0,0,1,
Jhoulys Chacín,2021-09-12,COL,@PHI,0,0,0,4.50,1,0,0,0,0,1,0,2.0,7,1,1,1,1,0,0,0,0,0,1,
Jhoulys Chacín,2021-09-08,COL,SFG,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Jhoulys Chacín,2021-09-04,COL,ATL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Jhoulys Chacín,2021-09-03,COL,ATL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
