Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Joe Barlow,2022-07-10,TEX,MIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Joe Barlow,2022-07-05,TEX,@BAL,0,0,0,9.00,1,0,0,0,0,0,1,1.0,4,1,1,1,1,0,0,0,0,0,1,
Joe Barlow,2022-07-04,TEX,@BAL,0,0,0,9.00,1,0,0,0,0,0,1,1.0,5,2,1,1,0,0,0,0,0,0,0,
Joe Barlow,2022-07-02,TEX,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Joe Barlow,2022-06-25,TEX,WSN,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Joe Barlow,2022-06-22,TEX,PHI,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Joe Barlow,2022-06-16,TEX,@DET,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Joe Barlow,2022-06-12,TEX,@CHW,0,1,0,18.00,1,0,0,0,0,0,1,1.0,6,2,3,2,0,0,0,1,0,0,1,
Joe Barlow,2022-06-11,TEX,@CHW,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,2,1,0,0,0,0,0,0,0,
Joe Barlow,2022-06-07,TEX,@CLE,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Joe Barlow,2022-06-04,TEX,SEA,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Joe Barlow,2022-06-03,TEX,SEA,0,0,1,18.00,1,0,0,0,0,0,1,1.0,5,1,2,2,1,1,0,0,0,0,0,
Joe Barlow,2022-05-31,TEX,TBR,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Joe Barlow,2022-05-30,TEX,TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,1,
Joe Barlow,2022-05-26,TEX,@OAK,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,1,0,0,0,0,0,
Joe Barlow,2022-05-25,TEX,@LAA,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,0,0,1,
Joe Barlow,2022-05-16,TEX,LAA,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Joe Barlow,2022-05-15,TEX,BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Joe Barlow,2022-05-12,TEX,KCR,0,0,0,0.00,1,0,0,0,1,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Joe Barlow,2022-05-10,TEX,KCR,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Joe Barlow,2022-05-08,TEX,@NYY,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Joe Barlow,2022-05-04,TEX,@PHI,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,1,0,0,0,0,0,0,0,2,
Joe Barlow,2022-05-03,TEX,@PHI,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Joe Barlow,2022-04-30,TEX,ATL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Joe Barlow,2022-04-25,TEX,HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Joe Barlow,2022-04-21,TEX,@SEA,0,1,0,0.00,1,0,0,0,0,0,0,1.1,5,0,0,0,0,1,0,0,0,0,2,
Joe Barlow,2022-04-16,TEX,LAA,0,0,0,9.00,1,0,0,0,0,0,0,1.0,6,3,1,1,1,0,0,0,0,0,0,
Joe Barlow,2022-04-11,TEX,COL,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,3,
Joe Barlow,2022-04-10,TEX,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,0,0,1,0,0,2,
Joe Barlow,2021-09-30,TEX,LAA,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Joe Barlow,2021-09-28,TEX,LAA,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Joe Barlow,2021-09-26,TEX,@BAL,0,0,0,0.00,1,0,0,0,1,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Joe Barlow,2021-09-24,TEX,@BAL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Joe Barlow,2021-09-23,TEX,@BAL,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,0,
Joe Barlow,2021-09-18,TEX,CHW,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Joe Barlow,2021-09-17,TEX,CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Joe Barlow,2021-09-12,TEX,@OAK,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Joe Barlow,2021-09-11,TEX,@OAK,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,1,0,0,
Joe Barlow,2021-09-08,TEX,@ARI,0,0,0,0.00,1,0,0,0,1,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Joe Barlow,2021-09-06,TEX,@LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Joe Barlow,2021-09-05,TEX,@LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Joe Barlow,2021-09-01,TEX,COL,0,0,1,27.00,1,0,0,0,0,0,1,0.2,7,1,5,2,0,2,0,0,0,0,0,
Joe Barlow,2021-08-30,TEX,COL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Joe Barlow,2021-08-19,TEX,SEA,0,0,1,4.50,1,0,0,0,0,0,0,2.0,7,1,2,1,1,0,0,0,0,0,2,
Joe Barlow,2021-08-15,TEX,OAK,0,0,0,0.00,1,0,0,0,1,0,0,1.0,5,1,0,0,0,1,0,0,0,0,0,
Joe Barlow,2021-08-13,TEX,OAK,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Joe Barlow,2021-08-10,TEX,@SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Joe Barlow,2021-08-06,TEX,@OAK,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Joe Barlow,2021-08-04,TEX,LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Joe Barlow,2021-08-02,TEX,LAA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Joe Barlow,2021-07-31,TEX,SEA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Joe Barlow,2021-07-27,TEX,ARI,0,0,0,0.00,1,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,2,
Joe Barlow,2021-07-25,TEX,@HOU,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Joe Barlow,2021-07-24,TEX,@HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Joe Barlow,2021-07-22,TEX,@DET,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,1,
Joe Barlow,2021-07-19,TEX,@DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,2,0,0,0,0,0,
Joe Barlow,2021-07-16,TEX,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Joe Barlow,2021-07-07,TEX,DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Joe Barlow,2021-07-03,TEX,@SEA,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,0,1,0,0,0,0,1,
Joe Barlow,2021-06-24,TEX,OAK,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
