Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
John Curtiss,2021-08-10,MIL,@CHC,0,0,0,13.50,1,0,0,0,0,0,0,0.2,4,2,1,1,1,0,0,0,0,0,1,
John Curtiss,2021-08-08,MIL,SFG,0,0,0,0.00,1,0,0,0,0,1,0,1.0,6,0,1,0,0,2,0,0,0,0,1,
John Curtiss,2021-08-07,MIL,SFG,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
John Curtiss,2021-08-03,MIL,PIT,0,0,0,0.00,1,0,0,0,0,0,1,0.2,4,1,1,0,0,0,0,0,0,0,1,
John Curtiss,2021-08-01,MIL,@ATL,0,0,0,0.00,1,0,0,0,0,1,0,0.1,2,1,0,0,0,0,0,0,0,0,0,
John Curtiss,2021-07-31,MIL,@ATL,0,0,0,67.50,1,0,0,0,0,0,0,0.2,7,4,5,5,1,1,0,0,0,0,1,
John Curtiss,2021-07-28,MIA,@BAL,0,0,0,0.00,1,0,0,0,0,1,0,1.1,4,0,0,0,0,0,0,0,0,0,0,
John Curtiss,2021-07-25,MIA,SDP,1,0,0,0.00,1,1,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,48
John Curtiss,2021-07-23,MIA,SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,2,
John Curtiss,2021-07-20,MIA,@WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
John Curtiss,2021-07-18,MIA,@PHI,0,0,0,13.50,1,0,0,0,0,0,0,0.2,3,1,1,1,1,0,0,0,0,0,0,
John Curtiss,2021-07-17,MIA,@PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
John Curtiss,2021-06-30,MIA,@PHI,0,0,0,0.00,1,0,0,0,0,0,0,0.1,3,1,0,0,0,1,0,0,0,0,0,
John Curtiss,2021-06-27,MIA,WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
John Curtiss,2021-06-23,MIA,TOR,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,1,0,0,0,0,0,
John Curtiss,2021-06-18,MIA,@CHC,0,1,0,0.00,1,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,0,
John Curtiss,2021-06-13,MIA,ATL,0,0,0,4.50,1,0,0,0,0,0,0,2.0,9,1,1,1,0,3,0,0,0,0,2,
John Curtiss,2021-06-09,MIA,COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,1,0,0,0,0,0,0,0,3,
John Curtiss,2021-06-07,MIA,@BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
John Curtiss,2021-06-05,MIA,@PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,1,0,1,
John Curtiss,2021-06-04,MIA,@PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
John Curtiss,2021-06-01,MIA,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
John Curtiss,2021-05-23,MIA,NYM,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,0,0,1,
John Curtiss,2021-05-21,MIA,NYM,1,0,0,9.00,1,1,0,0,0,0,0,1.0,5,1,2,1,0,1,0,0,0,0,0,36
John Curtiss,2021-05-18,MIA,@PHI,0,0,0,27.00,1,0,0,0,0,0,0,0.2,6,3,2,2,0,1,0,0,0,0,0,
John Curtiss,2021-05-14,MIA,@LAD,0,0,0,0.00,1,0,0,0,0,0,0,2.0,8,2,0,0,0,0,0,0,0,0,1,
John Curtiss,2021-05-11,MIA,@ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.2,9,3,0,0,0,1,0,0,0,0,3,
John Curtiss,2021-05-08,MIA,MIL,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,1,2,2,1,0,0,1,0,0,2,
John Curtiss,2021-05-05,MIA,ARI,0,0,0,0.00,1,0,0,0,0,0,0,2.0,8,2,0,0,0,0,0,0,0,0,3,
John Curtiss,2021-05-02,MIA,@WSN,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
John Curtiss,2021-05-01,MIA,@WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
John Curtiss,2021-04-27,MIA,@MIL,0,0,1,5.40,1,0,0,0,0,0,0,1.2,7,2,1,1,0,0,0,0,0,0,2,
John Curtiss,2021-04-25,MIA,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
John Curtiss,2021-04-22,MIA,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
John Curtiss,2021-04-18,MIA,SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,1,
John Curtiss,2021-04-16,MIA,SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
John Curtiss,2021-04-14,MIA,@ATL,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,1,
John Curtiss,2021-04-13,MIA,@ATL,0,1,0,0.00,1,0,0,0,0,0,0,1.2,6,1,0,0,0,0,0,0,0,0,2,
John Curtiss,2021-04-11,MIA,@NYM,0,0,0,0.00,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,
John Curtiss,2021-04-07,MIA,STL,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,2,0,0,0,0,0,0,0,0,1,
John Curtiss,2021-04-05,MIA,STL,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,1,0,0,0,0,0,2,
John Curtiss,2021-04-02,MIA,TBR,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,0,
John Curtiss,2020-09-26,TBR,PHI,1,0,0,0.00,1,1,0,0,0,0,0,0.2,5,3,1,0,0,0,0,0,0,0,0,37
