Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Jordan Romano,2022-07-08,TOR,@SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,1,1,0,0,0,1,
Jordan Romano,2022-07-06,TOR,@OAK,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Jordan Romano,2022-07-04,TOR,@OAK,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Jordan Romano,2022-06-29,TOR,BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Jordan Romano,2022-06-28,TOR,BOS,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Jordan Romano,2022-06-21,TOR,@CHW,0,0,0,18.00,1,0,0,0,0,0,1,1.0,7,3,2,2,0,2,0,0,0,0,0,
Jordan Romano,2022-06-19,TOR,NYY,0,0,0,0.00,1,0,0,0,1,0,0,1.2,7,1,0,0,0,1,0,0,0,0,2,
Jordan Romano,2022-06-15,TOR,BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Jordan Romano,2022-06-12,TOR,@DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Jordan Romano,2022-06-07,TOR,@KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Jordan Romano,2022-05-31,TOR,CHW,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,2,0,0,0,0,0,0,0,0,1,
Jordan Romano,2022-05-28,TOR,@LAA,0,0,0,13.50,1,0,0,0,0,1,0,0.2,6,1,1,1,0,2,0,1,0,0,0,
Jordan Romano,2022-05-27,TOR,@LAA,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Jordan Romano,2022-05-26,TOR,@LAA,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,0,0,1,
Jordan Romano,2022-05-21,TOR,CIN,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Jordan Romano,2022-05-20,TOR,CIN,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
