Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
José Quintana,2022-07-10,PIT,@MIL,1,0,0,8.31,1,1,0,0,0,0,0,4.1,21,6,4,4,0,2,0,0,0,0,4,41
José Quintana,2022-07-05,PIT,NYY,1,1,0,1.80,1,1,0,0,0,0,0,5.0,21,6,1,1,0,0,0,0,0,0,7,61
José Quintana,2022-06-28,PIT,@WSN,1,0,0,1.50,1,1,0,0,0,0,0,6.0,25,4,1,1,0,2,0,0,0,0,6,66
José Quintana,2022-06-23,PIT,CHC,1,0,0,3.00,1,1,0,0,0,0,0,6.0,23,6,2,2,0,1,0,0,0,0,6,61
José Quintana,2022-06-18,PIT,SFG,1,0,0,5.06,1,1,0,0,0,0,0,5.1,23,5,3,3,2,2,0,0,0,0,5,41
José Quintana,2022-06-12,PIT,@ATL,1,0,1,7.20,1,1,0,0,0,0,0,5.0,22,6,4,4,3,1,0,0,0,0,4,29
José Quintana,2022-06-07,PIT,DET,1,0,1,10.80,1,1,0,0,0,0,0,3.1,18,7,4,4,0,1,0,0,0,0,5,36
José Quintana,2022-06-01,PIT,@LAD,1,0,0,4.15,1,1,0,0,0,0,0,4.1,20,7,2,2,0,1,0,0,0,0,3,46
José Quintana,2022-05-27,PIT,@SDP,1,0,0,3.38,1,1,0,0,0,0,0,5.1,21,5,2,2,0,2,0,0,0,0,4,55
José Quintana,2022-05-21,PIT,STL,1,0,1,4.91,1,1,0,0,0,0,0,3.2,20,7,5,2,0,1,0,0,0,0,4,34
José Quintana,2022-05-15,PIT,CIN,1,0,0,0.00,1,1,0,0,0,0,0,7.0,24,3,0,0,0,1,0,0,1,0,5,78
José Quintana,2022-05-09,PIT,LAD,1,1,0,0.00,1,1,0,0,0,0,0,6.0,25,2,0,0,0,4,0,1,0,0,5,68
José Quintana,2022-05-04,PIT,@DET,1,0,0,3.60,1,1,0,0,0,0,0,5.0,22,4,2,2,0,1,1,0,0,0,3,56
José Quintana,2022-04-28,PIT,MIL,1,0,0,1.80,1,1,0,0,0,0,0,5.0,19,4,1,1,1,0,0,0,0,0,9,61
José Quintana,2022-04-22,PIT,@CHC,1,0,0,3.86,1,1,0,0,0,0,0,4.2,19,3,2,2,0,3,0,0,0,0,3,52
José Quintana,2022-04-17,PIT,WSN,1,0,0,6.75,1,1,0,0,0,0,0,4.0,20,5,3,3,0,3,0,0,0,0,2,40
José Quintana,2022-04-12,PIT,CHC,1,0,1,1.69,1,1,0,0,0,0,0,5.1,20,5,1,1,1,2,0,0,0,0,3,51
José Quintana,2021-09-23,SFG,@SDP,0,0,0,10.80,1,0,0,0,0,0,0,1.2,8,3,2,2,2,0,0,0,0,0,0,
José Quintana,2021-09-15,SFG,SDP,0,0,0,9.00,1,0,0,0,0,0,0,2.0,11,3,2,2,1,2,1,0,0,0,2,
José Quintana,2021-09-05,SFG,LAD,0,0,0,4.50,1,0,0,0,0,0,0,2.0,10,1,1,1,0,3,0,0,0,0,3,
José Quintana,2021-09-04,SFG,LAD,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,1,1,1,
José Quintana,2021-08-31,SFG,MIL,0,0,0,0.00,1,0,0,0,0,0,0,3.1,12,1,0,0,0,1,0,0,1,0,6,
José Quintana,2021-08-26,LAA,@BAL,0,0,0,4.50,1,0,0,0,0,0,0,2.0,9,3,1,1,0,0,0,0,0,0,2,
José Quintana,2021-08-19,LAA,@DET,1,0,0,33.75,1,1,0,0,0,0,0,1.1,11,7,6,5,1,0,0,0,0,0,1,12
José Quintana,2021-08-15,LAA,HOU,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,2,0,0,0,0,0,0,0,0,0,
José Quintana,2021-08-13,LAA,HOU,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,2,
José Quintana,2021-08-07,LAA,@LAD,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,0,
José Quintana,2021-08-02,LAA,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
José Quintana,2021-07-29,LAA,OAK,0,0,0,3.86,1,0,0,0,0,0,0,2.1,11,2,1,1,0,1,0,1,0,0,6,
José Quintana,2021-07-26,LAA,COL,0,0,0,27.00,1,0,0,0,0,1,0,0.1,3,2,1,1,1,0,0,0,0,0,0,
José Quintana,2021-07-18,LAA,SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.2,7,2,0,0,0,0,0,0,0,0,3,
José Quintana,2021-07-16,LAA,SEA,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,1,0,0,0,0,0,0,0,0,1,
José Quintana,2021-07-09,LAA,@SEA,0,0,0,54.00,1,0,0,0,0,0,0,0.1,3,1,2,2,1,1,0,0,0,0,0,
José Quintana,2021-07-02,LAA,BAL,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,0,1,1,0,1,0,0,0,0,1,
José Quintana,2021-06-29,LAA,@NYY,0,0,0,0.00,1,0,0,0,0,0,0,1.1,6,2,0,0,0,0,0,0,0,0,1,
José Quintana,2021-06-26,LAA,@TBR,0,0,0,9.00,1,0,0,0,0,0,0,2.0,10,4,2,2,1,0,0,0,1,0,3,
José Quintana,2021-06-22,LAA,SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,3,
José Quintana,2021-05-30,LAA,@OAK,1,0,0,0.00,1,1,0,0,0,0,0,3.0,16,2,2,0,0,4,0,0,0,0,5,46
José Quintana,2021-05-21,LAA,OAK,1,0,0,5.06,1,1,0,0,0,0,0,5.1,23,6,3,3,1,3,0,0,0,0,4,44
José Quintana,2021-05-16,LAA,@BOS,1,0,0,6.23,1,1,0,0,0,0,0,4.1,18,5,3,3,1,0,0,0,0,0,7,49
José Quintana,2021-05-09,LAA,LAD,1,0,0,2.25,1,1,0,0,0,0,0,4.0,20,2,1,1,0,5,0,0,1,0,6,54
José Quintana,2021-05-03,LAA,TBR,1,0,1,12.27,1,1,0,0,0,0,0,3.2,18,6,5,5,1,1,0,0,1,0,9,37
José Quintana,2021-04-27,LAA,@TEX,1,0,1,13.50,1,1,0,0,0,0,0,3.1,17,6,5,5,2,2,0,0,0,0,2,20
José Quintana,2021-04-21,LAA,TEX,1,0,0,1.80,1,1,0,0,0,0,0,5.0,20,2,1,1,0,4,0,0,0,0,8,64
José Quintana,2021-04-10,LAA,@TOR,1,0,1,27.00,1,1,0,0,0,0,0,1.2,15,5,7,5,0,4,0,0,1,0,4,16
José Quintana,2021-04-05,LAA,HOU,1,0,0,10.80,1,1,0,0,0,0,0,3.1,19,5,4,4,0,3,0,0,1,0,5,38
José Quintana,2020-09-27,CHC,@CHW,0,0,0,0.00,1,0,0,0,0,0,0,2.0,9,2,0,0,0,1,0,0,0,0,2,
José Quintana,2020-09-22,CHC,@PIT,1,0,0,4.50,1,1,0,0,0,0,0,2.0,8,2,1,1,0,0,0,0,1,0,1,47
José Quintana,2020-08-30,CHC,@CIN,0,0,0,3.00,1,0,0,0,0,0,0,3.0,12,2,1,1,1,1,0,0,0,0,6,
José Quintana,2020-08-25,CHC,@DET,0,0,0,9.00,1,0,0,0,0,0,0,3.0,12,4,3,3,0,1,0,0,0,0,3,
