Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
José Álvarez,2022-06-11,SFG,LAD,0,0,0,9.00,1,0,0,0,1,0,0,1.0,6,3,1,1,1,0,0,0,0,0,1,
José Álvarez,2022-06-07,SFG,COL,0,0,0,13.50,1,0,0,0,0,0,1,0.2,3,1,1,1,1,0,0,0,0,0,1,
José Álvarez,2022-05-31,SFG,@PHI,0,1,0,0.00,1,0,0,0,0,0,0,1.1,6,0,0,0,0,2,1,0,0,0,2,
José Álvarez,2022-05-27,SFG,@CIN,0,0,0,9.00,1,0,0,0,0,0,0,1.0,8,2,2,1,0,1,0,1,0,0,1,
José Álvarez,2022-05-25,SFG,NYM,0,0,0,9.00,1,0,0,0,0,0,0,1.0,6,1,1,1,0,2,0,0,0,0,2,
José Álvarez,2022-05-23,SFG,NYM,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,0,
José Álvarez,2022-05-21,SFG,SDP,0,0,0,0.00,1,0,0,0,0,0,0,0.1,3,0,0,0,0,1,0,1,0,0,0,
José Álvarez,2022-05-20,SFG,SDP,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
José Álvarez,2022-05-18,SFG,@COL,0,0,1,54.00,1,0,0,0,0,0,1,0.1,4,3,2,2,1,0,0,0,0,0,0,
José Álvarez,2022-05-11,SFG,COL,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,0,0,0,0,0,0,0,0,0,0,
José Álvarez,2022-05-09,SFG,COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
José Álvarez,2022-05-05,SFG,STL,0,0,0,54.00,1,0,0,0,0,0,0,0.1,4,3,2,2,0,0,0,0,0,0,0,
José Álvarez,2022-05-03,SFG,@LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,1,0,1,
José Álvarez,2022-04-30,SFG,WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
José Álvarez,2022-04-25,SFG,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
José Álvarez,2022-04-24,SFG,@WSN,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
José Álvarez,2022-04-19,SFG,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
José Álvarez,2022-04-16,SFG,@CLE,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
José Álvarez,2022-04-11,SFG,SDP,0,0,0,13.50,1,0,0,0,0,0,0,0.2,5,1,1,1,0,2,0,0,0,0,0,
José Álvarez,2022-04-09,SFG,MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
José Álvarez,2022-04-08,SFG,MIA,0,1,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
José Álvarez,2021-10-02,SFG,SDP,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
José Álvarez,2021-10-01,SFG,SDP,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,3,0,0,0,0,0,0,0,0,0,
José Álvarez,2021-09-30,SFG,ARI,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
José Álvarez,2021-09-28,SFG,ARI,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
José Álvarez,2021-09-26,SFG,@COL,0,0,0,0.00,1,0,0,0,0,1,0,0.1,3,1,1,0,0,0,0,0,0,0,0,
José Álvarez,2021-09-25,SFG,@COL,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,0,
José Álvarez,2021-09-23,SFG,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,0,0,0,0,2,0,0,0,0,1,
José Álvarez,2021-09-21,SFG,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
José Álvarez,2021-09-19,SFG,ATL,0,0,0,0.00,1,0,0,0,0,0,0,0.1,3,2,0,0,0,0,0,0,0,0,0,
José Álvarez,2021-09-18,SFG,ATL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
José Álvarez,2021-09-15,SFG,SDP,0,0,0,9.00,1,0,0,0,0,0,0,2.0,8,3,2,2,0,0,0,0,0,0,1,
José Álvarez,2021-09-13,SFG,SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
José Álvarez,2021-09-10,SFG,@CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.2,5,0,0,0,0,1,0,0,0,0,2,
José Álvarez,2021-09-05,SFG,LAD,0,0,0,9.00,1,0,0,0,0,0,0,0.0,3,2,1,1,0,1,0,0,0,0,0,
José Álvarez,2021-09-04,SFG,LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
José Álvarez,2021-09-01,SFG,MIL,0,0,0,0.00,1,0,0,0,0,0,0,0.1,3,1,0,0,0,1,0,0,0,0,0,
José Álvarez,2021-08-30,SFG,MIL,1,0,1,10.80,1,1,0,0,0,0,0,1.2,11,4,2,2,0,2,0,0,0,0,0,32
José Álvarez,2021-08-26,SFG,@NYM,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
José Álvarez,2021-08-25,SFG,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
José Álvarez,2021-08-24,SFG,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
José Álvarez,2021-08-20,SFG,@OAK,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,0,0,0,0,1,0,0,0,0,0,
José Álvarez,2021-08-18,SFG,NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.2,4,0,0,0,0,0,0,0,0,0,2,
José Álvarez,2021-08-16,SFG,NYM,0,0,0,0.00,1,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
José Álvarez,2021-08-14,SFG,COL,0,0,0,0.00,1,0,0,0,0,0,0,1.2,6,0,0,0,0,0,0,0,0,0,0,
José Álvarez,2021-08-11,SFG,ARI,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
José Álvarez,2021-08-08,SFG,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,1,0,0,0,1,1,0,1,0,1,
José Álvarez,2021-08-07,SFG,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,0,
