Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Julian Merryweather,2022-06-13,TOR,BAL,0,0,0,13.50,1,0,0,0,0,0,0,0.2,4,2,1,1,0,0,0,0,0,0,1,
Julian Merryweather,2022-06-08,TOR,@KCR,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,0,0,0,1,0,0,1,
Julian Merryweather,2022-06-06,TOR,@KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Julian Merryweather,2022-06-04,TOR,MIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,1,
Julian Merryweather,2022-06-03,TOR,MIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Julian Merryweather,2022-05-31,TOR,CHW,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,2,0,0,0,0,0,0,0,0,2,
Julian Merryweather,2022-05-28,TOR,@LAA,0,0,0,18.00,1,0,0,0,0,0,1,0.0,3,2,2,2,1,0,0,1,0,0,0,
Julian Merryweather,2022-05-23,TOR,@STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,1,1,0,0,0,0,
Julian Merryweather,2022-05-07,TOR,@CLE,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,1,0,1,
Julian Merryweather,2022-05-03,TOR,NYY,0,0,0,27.00,1,0,0,0,0,0,0,0.0,4,3,3,3,0,0,0,0,0,0,0,
Julian Merryweather,2022-04-29,TOR,HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.2,7,1,0,0,0,1,0,0,0,0,3,
Julian Merryweather,2022-04-27,TOR,BOS,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,2,2,2,0,0,0,0,0,0,0,
Julian Merryweather,2022-04-25,TOR,BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Julian Merryweather,2022-04-24,TOR,@HOU,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Julian Merryweather,2022-04-20,TOR,@BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Julian Merryweather,2022-04-16,TOR,OAK,0,0,1,18.00,1,0,0,0,0,0,0,1.0,5,2,2,2,1,0,0,0,0,0,3,
Julian Merryweather,2022-04-14,TOR,@NYY,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,0,0,0,0,0,0,0,
Julian Merryweather,2022-04-12,TOR,@NYY,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Julian Merryweather,2022-04-10,TOR,TEX,0,0,1,13.50,1,0,0,0,0,0,0,0.2,4,2,1,1,0,0,0,0,0,0,2,
Julian Merryweather,2022-04-08,TOR,TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Julian Merryweather,2021-10-03,TOR,BAL,0,0,0,9.00,1,0,0,0,0,0,0,1.0,6,2,1,1,0,0,0,1,0,0,0,
Julian Merryweather,2021-09-30,TOR,NYY,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,1,0,0,0,0,0,2,
