Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Keegan Thompson,2022-07-08,CHC,@LAD,1,0,0,0.00,1,1,0,0,0,0,0,5.2,22,2,1,0,0,1,0,1,0,0,8,72
Keegan Thompson,2022-07-03,CHC,BOS,1,0,0,4.50,1,1,0,0,0,0,0,4.0,20,7,2,2,0,3,0,0,1,0,3,40
Keegan Thompson,2022-06-28,CHC,CIN,1,0,1,5.68,1,1,0,0,0,0,0,6.1,26,8,4,4,0,0,0,0,1,0,8,57
Keegan Thompson,2022-06-22,CHC,@PIT,1,1,0,1.50,1,1,0,0,0,0,0,6.0,24,4,1,1,1,1,0,0,0,0,7,63
Keegan Thompson,2022-06-17,CHC,ATL,1,0,0,0.00,1,1,0,0,0,0,0,6.0,22,2,0,0,0,2,0,0,0,0,9,76
Keegan Thompson,2022-06-12,CHC,@NYY,1,0,1,40.50,1,1,0,0,0,0,0,0.2,9,3,5,3,0,3,0,0,0,0,0,16
Keegan Thompson,2022-06-07,CHC,@BAL,1,0,1,21.00,1,1,0,0,0,0,0,3.0,16,5,7,7,3,1,0,2,0,0,1,7
Keegan Thompson,2022-06-02,CHC,STL,1,1,0,5.06,1,1,0,0,0,0,0,5.1,23,5,3,3,0,3,0,0,0,0,3,49
Keegan Thompson,2022-05-28,CHC,@CHW,1,1,0,1.80,1,1,0,0,0,0,0,5.0,20,5,1,1,1,1,0,0,0,0,4,52
Keegan Thompson,2022-05-22,CHC,ARI,0,1,0,3.00,1,0,0,0,0,0,0,3.0,11,2,1,1,0,0,0,0,1,0,4,
Keegan Thompson,2022-05-17,CHC,PIT,1,1,0,0.00,1,1,0,0,0,0,0,5.0,17,4,0,0,0,0,0,0,0,0,5,66
Keegan Thompson,2022-05-11,CHC,@SDP,1,0,0,4.50,1,1,0,0,0,0,0,4.0,18,5,2,2,1,2,0,1,0,0,1,38
Keegan Thompson,2022-05-07,CHC,LAD,0,0,0,3.38,1,0,0,0,0,0,0,2.2,12,1,1,1,0,3,0,0,0,0,4,
Keegan Thompson,2022-05-03,CHC,CHW,0,0,0,2.45,1,0,0,0,0,0,0,3.2,15,4,1,1,1,0,0,2,0,0,0,
Keegan Thompson,2022-04-27,CHC,@ATL,0,0,0,3.00,1,0,0,0,0,0,0,3.0,14,3,1,1,0,2,0,0,0,0,3,
Keegan Thompson,2022-04-22,CHC,PIT,0,0,0,0.00,1,0,0,0,0,0,0,4.0,13,2,0,0,0,1,0,0,0,0,4,
Keegan Thompson,2022-04-18,CHC,TBR,0,1,0,0.00,1,0,0,0,0,0,0,3.2,11,1,0,0,0,1,0,0,0,0,5,
Keegan Thompson,2022-04-14,CHC,@COL,0,1,0,0.00,1,0,0,0,0,0,0,3.1,13,3,0,0,0,0,0,0,0,0,1,
Keegan Thompson,2022-04-09,CHC,MIL,0,0,0,0.00,1,0,0,0,0,0,0,2.2,10,0,0,0,0,1,0,1,0,0,4,
Keegan Thompson,2021-09-26,CHC,STL,1,0,0,3.00,1,1,0,0,0,0,0,3.0,14,3,1,1,1,1,0,0,0,0,7,48
Keegan Thompson,2021-09-19,CHC,@MIL,1,0,0,0.00,1,1,0,0,0,0,0,2.0,10,1,0,0,0,2,0,1,0,0,0,46
Keegan Thompson,2021-09-02,CHC,PIT,1,0,0,16.20,1,1,0,0,0,0,0,1.2,12,4,3,3,1,2,0,0,0,0,3,26
Keegan Thompson,2021-08-27,CHC,@CHW,1,0,0,18.00,1,1,0,0,0,0,0,2.0,14,5,5,4,0,2,0,0,0,0,1,24
Keegan Thompson,2021-08-21,CHC,KCR,1,0,1,4.50,1,1,0,0,0,0,0,4.0,19,5,2,2,0,2,0,0,1,0,1,45
Keegan Thompson,2021-07-26,CHC,CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,6,1,0,0,0,1,0,0,0,0,2,
Keegan Thompson,2021-07-23,CHC,ARI,0,0,0,3.00,1,0,0,0,1,0,0,3.0,11,1,1,1,1,1,0,0,0,0,2,
Keegan Thompson,2021-07-21,CHC,@STL,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,1,0,0,0,1,0,0,0,0,2,
Keegan Thompson,2021-07-19,CHC,@STL,0,0,0,13.50,1,0,0,0,0,0,0,2.0,9,2,3,3,2,0,0,1,0,0,3,
Keegan Thompson,2021-07-17,CHC,@ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Keegan Thompson,2021-07-10,CHC,STL,0,0,0,0.00,1,0,0,0,0,0,0,2.0,8,1,0,0,0,1,0,0,0,0,1,
Keegan Thompson,2021-07-05,CHC,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.2,6,1,0,0,0,0,0,0,0,0,0,
Keegan Thompson,2021-07-04,CHC,@CIN,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Keegan Thompson,2021-06-30,CHC,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,0.1,3,2,0,0,0,0,0,0,0,0,1,
Keegan Thompson,2021-06-29,CHC,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Keegan Thompson,2021-06-26,CHC,@LAD,0,0,1,13.50,1,0,0,0,0,0,0,0.2,3,1,1,1,1,0,0,0,0,0,0,
Keegan Thompson,2021-06-25,CHC,@LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.1,6,0,0,0,0,1,0,0,1,0,1,
Keegan Thompson,2021-06-21,CHC,CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,1,
Keegan Thompson,2021-06-15,CHC,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,2.0,9,1,0,0,0,2,0,0,0,0,3,
Keegan Thompson,2021-06-11,CHC,STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,0,
Keegan Thompson,2021-06-07,CHC,@SDP,0,0,0,9.00,1,0,0,0,0,0,0,2.0,10,1,2,2,0,2,0,0,1,0,3,
Keegan Thompson,2021-06-04,CHC,@SFG,0,0,0,9.00,1,0,0,0,0,0,0,2.0,10,2,2,2,2,2,0,0,0,0,5,
Keegan Thompson,2021-05-31,CHC,SDP,0,0,0,3.86,1,0,0,0,0,0,0,2.1,10,3,1,1,1,0,0,0,0,0,3,
Keegan Thompson,2021-05-29,CHC,CIN,0,1,0,0.00,1,0,0,0,0,0,1,0.2,3,1,0,0,0,0,0,0,0,0,1,
Keegan Thompson,2021-05-25,CHC,@PIT,0,0,0,0.00,1,0,0,0,0,1,0,1.2,6,0,0,0,0,2,0,0,0,0,2,
Keegan Thompson,2021-05-22,CHC,@STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Keegan Thompson,2021-05-18,CHC,WSN,0,1,0,0.00,1,0,0,0,0,0,0,1.1,6,1,0,0,0,1,0,0,1,0,3,
Keegan Thompson,2021-05-15,CHC,@DET,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,5,
Keegan Thompson,2021-05-12,CHC,@CLE,0,0,1,0.00,1,0,0,0,0,0,0,0.2,5,1,1,0,0,2,1,0,0,0,0,
Keegan Thompson,2021-05-08,CHC,PIT,0,1,0,0.00,1,0,0,0,0,0,0,3.0,12,2,0,0,0,1,0,0,0,0,0,
Keegan Thompson,2021-05-04,CHC,LAD,1,0,0,0.00,1,1,0,0,0,0,0,3.2,13,2,0,0,0,2,0,0,0,0,2,56
Keegan Thompson,2021-05-02,CHC,@CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,1,0,0,0,0,0,
