Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Kenley Jansen,2022-06-26,ATL,LAD,0,0,0,18.00,1,0,0,0,0,0,1,1.0,6,3,2,2,0,0,0,0,0,0,2,
Kenley Jansen,2022-06-25,ATL,LAD,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Kenley Jansen,2022-06-23,ATL,SFG,0,0,0,9.00,1,0,0,0,1,0,0,1.0,4,1,1,1,1,0,0,0,0,0,1,
Kenley Jansen,2022-06-20,ATL,SFG,0,1,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,3,
Kenley Jansen,2022-06-19,ATL,@CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Kenley Jansen,2022-06-12,ATL,PIT,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Kenley Jansen,2022-06-10,ATL,PIT,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Kenley Jansen,2022-06-09,ATL,PIT,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Kenley Jansen,2022-06-07,ATL,OAK,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Kenley Jansen,2022-06-05,ATL,@COL,0,0,0,9.00,1,0,0,0,1,0,0,1.0,5,2,1,1,1,0,0,0,0,0,1,
Kenley Jansen,2022-06-03,ATL,@COL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,1,0,0,0,0,0,0,0,2,
Kenley Jansen,2022-05-31,ATL,@ARI,0,0,0,9.00,1,0,0,0,0,0,1,1.0,6,2,1,1,0,1,1,0,0,0,1,
Kenley Jansen,2022-05-29,ATL,MIA,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Kenley Jansen,2022-05-27,ATL,MIA,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Kenley Jansen,2022-05-24,ATL,PHI,0,1,0,18.00,1,0,0,0,0,0,1,1.0,5,1,2,2,1,1,0,0,0,0,0,
Kenley Jansen,2022-05-21,ATL,@MIA,0,0,0,9.00,1,0,0,0,1,0,0,1.0,6,2,1,1,0,1,0,0,0,0,3,
Kenley Jansen,2022-05-18,ATL,@MIL,0,0,0,9.00,1,0,0,0,0,0,1,1.0,5,1,1,1,0,1,0,0,0,0,0,
Kenley Jansen,2022-05-17,ATL,@MIL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Kenley Jansen,2022-05-15,ATL,SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Kenley Jansen,2022-05-14,ATL,SDP,0,1,0,0.00,1,0,0,0,0,0,0,1.2,6,0,0,0,0,0,0,0,0,0,2,
Kenley Jansen,2022-05-11,ATL,BOS,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Kenley Jansen,2022-05-07,ATL,MIL,0,0,0,9.00,1,0,0,0,1,0,0,1.0,4,2,1,1,0,0,0,0,0,0,2,
Kenley Jansen,2022-05-02,ATL,@NYM,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Kenley Jansen,2022-04-29,ATL,@TEX,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Kenley Jansen,2022-04-27,ATL,CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Kenley Jansen,2022-04-26,ATL,CHC,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Kenley Jansen,2022-04-22,ATL,MIA,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Kenley Jansen,2022-04-19,ATL,@LAD,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Kenley Jansen,2022-04-16,ATL,@SDP,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Kenley Jansen,2022-04-15,ATL,@SDP,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Kenley Jansen,2022-04-13,ATL,WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Kenley Jansen,2022-04-08,ATL,CIN,0,0,0,27.00,1,0,0,0,0,0,0,1.0,7,3,3,3,0,1,0,0,0,0,1,
Kenley Jansen,2021-10-01,LAD,MIL,0,0,0,0.00,1,0,0,0,1,0,0,1.1,5,0,0,0,0,0,0,0,0,0,1,
Kenley Jansen,2021-09-29,LAD,SDP,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Kenley Jansen,2021-09-26,LAD,@ARI,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,1,2,
Kenley Jansen,2021-09-24,LAD,@ARI,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
