Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Lucas Gilbreath,2022-07-11,COL,SDP,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,3,
Lucas Gilbreath,2022-07-08,COL,@ARI,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,1,0,0,0,0,1,
Lucas Gilbreath,2022-07-07,COL,@ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Lucas Gilbreath,2022-07-05,COL,@LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Lucas Gilbreath,2022-07-03,COL,ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,2,0,0,0,0,0,0,0,0,2,
Lucas Gilbreath,2022-06-28,COL,LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Lucas Gilbreath,2022-06-22,COL,@MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,2,0,0,0,0,0,0,0,0,1,
Lucas Gilbreath,2022-06-19,COL,SDP,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,1,0,0,0,1,0,0,0,0,1,
Lucas Gilbreath,2022-06-16,COL,CLE,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,1,1,0,0,0,0,0,0,0,2,
Lucas Gilbreath,2022-06-12,COL,@SDP,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,1,0,0,0,0,1,
Lucas Gilbreath,2022-06-11,COL,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,2,
Lucas Gilbreath,2022-06-10,COL,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Lucas Gilbreath,2022-06-05,COL,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,0,0,0,0,1,0,0,1,0,2,
Lucas Gilbreath,2022-06-03,COL,ATL,0,0,0,0.00,1,0,0,0,0,0,0,0.1,3,1,0,0,0,1,0,0,0,0,1,
Lucas Gilbreath,2022-06-01,COL,MIA,0,0,0,0.00,1,0,0,0,0,0,1,0.1,2,1,0,0,0,0,0,0,0,0,0,
