Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Lucas Sims,2022-05-10,CIN,MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.2,5,0,0,0,0,1,0,0,0,0,0,
Lucas Sims,2022-05-07,CIN,PIT,0,1,0,0.00,1,0,0,0,0,0,0,1.0,6,2,0,0,0,1,0,0,0,0,3,
Lucas Sims,2022-05-04,CIN,@MIL,0,0,0,67.50,1,0,0,0,0,0,0,0.2,7,1,5,5,0,4,0,0,0,0,1,
Lucas Sims,2022-04-30,CIN,@COL,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,0,
Lucas Sims,2022-04-24,CIN,STL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Lucas Sims,2022-04-23,CIN,STL,0,0,0,18.00,1,0,0,0,0,0,0,1.0,6,2,2,2,0,0,0,1,0,0,1,
Lucas Sims,2021-10-01,CIN,@PIT,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,2,
Lucas Sims,2021-09-25,CIN,WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Lucas Sims,2021-09-24,CIN,WSN,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Lucas Sims,2021-09-21,CIN,PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Lucas Sims,2021-09-20,CIN,PIT,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Lucas Sims,2021-09-16,CIN,@PIT,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Lucas Sims,2021-09-15,CIN,@PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Lucas Sims,2021-09-11,CIN,@STL,0,0,1,18.00,1,0,0,0,0,0,0,1.0,6,3,2,2,1,0,0,0,0,0,2,
Lucas Sims,2021-09-10,CIN,@STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Lucas Sims,2021-09-06,CIN,@CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Lucas Sims,2021-09-04,CIN,DET,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Lucas Sims,2021-09-01,CIN,STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Lucas Sims,2021-08-29,CIN,@MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Lucas Sims,2021-08-25,CIN,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,2,
Lucas Sims,2021-08-22,CIN,MIA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Lucas Sims,2021-08-20,CIN,MIA,0,0,0,27.00,1,0,0,0,0,0,0,1.0,6,2,3,3,1,1,0,0,0,0,2,
Lucas Sims,2021-08-15,CIN,@PHI,0,1,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,2,
Lucas Sims,2021-08-11,CIN,@ATL,0,0,1,27.00,1,0,0,0,0,0,1,0.2,4,1,3,2,1,1,0,0,0,0,1,
Lucas Sims,2021-08-09,CIN,@CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,2,
Lucas Sims,2021-06-22,CIN,@MIN,0,0,0,27.00,1,0,0,0,0,0,0,0.0,3,3,3,3,1,0,0,0,0,0,0,
Lucas Sims,2021-06-21,CIN,@MIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,6,2,0,0,0,1,1,0,0,0,1,
Lucas Sims,2021-06-16,CIN,@MIL,0,0,0,0.00,1,0,0,0,1,0,0,1.1,5,1,0,0,0,0,0,0,0,0,4,
Lucas Sims,2021-06-15,CIN,@MIL,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Lucas Sims,2021-06-13,CIN,COL,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,2,
Lucas Sims,2021-06-10,CIN,MIL,0,0,0,27.00,1,0,0,0,0,0,1,0.1,3,2,1,1,0,0,0,0,0,0,1,
Lucas Sims,2021-06-06,CIN,@STL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,5,2,0,0,0,0,0,0,0,0,2,
Lucas Sims,2021-06-05,CIN,@STL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,5,2,0,0,0,0,0,0,0,0,2,
