Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Luis Severino,2022-07-06,NYY,@PIT,1,1,0,0.00,1,1,0,0,0,0,0,6.0,22,4,0,0,0,0,0,0,0,0,3,70
Luis Severino,2022-06-30,NYY,@HOU,1,0,1,3.00,1,1,0,0,0,0,0,6.0,22,3,2,2,0,2,0,0,0,0,4,63
Luis Severino,2022-06-24,NYY,HOU,1,0,1,4.50,1,1,0,0,0,0,0,6.0,25,5,3,3,1,2,0,0,0,0,7,53
Luis Severino,2022-06-19,NYY,@TOR,1,0,0,9.00,1,1,0,0,0,0,0,5.0,22,3,5,5,2,4,0,0,0,0,9,37
Luis Severino,2022-06-10,NYY,CHC,1,0,0,1.50,1,1,0,0,0,0,0,6.0,25,7,1,1,1,1,0,0,0,0,10,60
Luis Severino,2022-06-04,NYY,DET,1,1,0,0.00,1,1,0,0,0,0,0,7.0,22,1,0,0,0,1,0,0,0,0,10,87
Luis Severino,2022-05-29,NYY,@TBR,1,0,1,5.68,1,1,0,0,0,0,0,6.1,23,2,4,4,2,2,0,0,0,0,8,53
Luis Severino,2022-05-22,NYY,CHW,1,0,0,0.00,1,1,0,0,0,0,0,7.0,30,8,0,0,0,0,0,2,0,0,5,70
Luis Severino,2022-05-16,NYY,@BAL,1,1,0,1.50,1,1,0,0,0,0,0,6.0,22,1,1,1,1,2,0,1,0,0,7,67
Luis Severino,2022-05-10,NYY,TOR,1,0,0,5.79,1,1,0,0,0,0,0,4.2,21,5,3,3,1,2,0,0,0,0,8,46
Luis Severino,2022-05-01,NYY,@KCR,1,0,0,5.40,1,1,0,0,0,0,0,5.0,24,7,4,3,1,1,0,0,1,0,4,39
Luis Severino,2022-04-26,NYY,BAL,1,1,0,6.00,1,1,0,0,0,0,0,6.0,23,3,4,4,1,2,0,0,0,0,5,52
Luis Severino,2022-04-20,NYY,@DET,1,0,0,1.80,1,1,0,0,0,0,0,5.0,21,7,1,1,0,2,0,0,0,0,3,51
Luis Severino,2022-04-14,NYY,TOR,1,1,0,0.00,1,1,0,0,0,0,0,5.0,21,2,0,0,0,2,0,1,0,0,6,67
Luis Severino,2022-04-09,NYY,BOS,1,0,0,6.00,1,1,0,0,0,0,0,3.0,14,5,2,2,1,0,0,0,0,0,5,40
Luis Severino,2021-09-30,NYY,@TOR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Luis Severino,2021-09-28,NYY,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Luis Severino,2021-09-25,NYY,@BOS,0,1,0,0.00,1,0,0,0,0,0,0,2.0,8,0,0,0,0,1,0,1,0,0,4,
Luis Severino,2021-09-21,NYY,TEX,0,0,0,0.00,1,0,0,0,0,0,0,2.0,8,2,0,0,0,0,0,0,0,0,2,
