Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Matt Manning,2022-04-16,DET,@KCR,1,0,0,4.50,1,1,0,0,0,0,0,2.0,10,5,1,1,0,0,0,0,0,0,2,40
Matt Manning,2022-04-11,DET,BOS,1,0,0,1.50,1,1,0,0,0,0,0,6.0,19,1,1,1,1,0,0,0,0,0,2,66
Matt Manning,2021-10-02,DET,@CHW,1,0,0,0.00,1,1,0,0,0,0,0,5.0,18,2,0,0,0,1,0,0,0,0,7,72
Matt Manning,2021-09-27,DET,CHW,1,0,1,16.20,1,1,0,0,0,0,0,3.1,18,4,6,6,1,5,0,0,0,0,3,22
Matt Manning,2021-09-20,DET,CHW,1,0,0,5.40,1,1,0,0,0,0,0,5.0,23,4,3,3,0,3,0,1,0,0,2,50
Matt Manning,2021-09-15,DET,MIL,1,1,0,1.50,1,1,0,0,0,0,0,6.0,24,2,1,1,0,3,0,0,1,0,6,70
Matt Manning,2021-09-08,DET,@PIT,1,0,0,3.00,1,1,0,0,0,0,0,3.0,13,4,1,1,0,0,0,0,0,0,4,52
Matt Manning,2021-09-02,DET,OAK,1,0,1,19.64,1,1,0,0,0,0,0,3.2,22,8,8,8,2,3,0,0,0,0,1,6
Matt Manning,2021-08-27,DET,TOR,1,0,0,1.50,1,1,0,0,0,0,0,6.0,25,6,1,1,0,1,0,0,0,0,5,65
Matt Manning,2021-08-19,DET,LAA,1,0,0,3.86,1,1,0,0,0,0,0,4.2,24,5,2,2,0,4,0,0,0,0,4,49
Matt Manning,2021-08-12,DET,@BAL,1,1,0,4.50,1,1,0,0,0,0,0,6.0,25,8,3,3,2,0,0,0,0,0,2,42
Matt Manning,2021-08-06,DET,@CLE,1,0,1,13.50,1,1,0,0,0,0,0,4.0,21,10,6,6,0,0,0,0,0,0,3,30
Matt Manning,2021-07-31,DET,BAL,1,0,1,3.18,1,1,0,0,0,0,0,5.2,27,7,5,2,1,2,0,0,0,0,3,39
Matt Manning,2021-07-26,DET,@MIN,1,0,0,7.20,1,1,0,0,0,0,0,5.0,21,5,4,4,1,1,0,1,0,0,4,45
Matt Manning,2021-07-21,DET,TEX,1,1,0,1.50,1,1,0,0,0,0,0,6.0,23,4,2,1,0,2,0,0,0,0,4,63
Matt Manning,2021-07-09,DET,@MIN,1,0,1,3.60,1,1,0,0,0,0,0,5.0,20,2,2,2,0,3,0,0,0,0,3,58
Matt Manning,2021-07-04,DET,CHW,1,0,0,6.75,1,1,0,0,0,0,0,2.2,15,7,2,2,0,1,0,0,0,0,0,35
Matt Manning,2021-06-28,DET,@CLE,1,0,1,22.09,1,1,0,0,0,0,0,3.2,21,9,9,9,2,0,0,1,0,0,2,8
Matt Manning,2021-06-23,DET,STL,1,1,0,3.18,1,1,0,0,0,0,0,5.2,24,5,2,2,1,2,0,0,0,0,1,50
Matt Manning,2021-06-17,DET,@LAA,1,0,1,3.60,1,1,0,0,0,0,0,5.0,21,4,2,2,0,2,0,0,0,0,3,56
