Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Max Scherzer,2022-07-11,NYM,@ATL,1,1,0,1.29,1,1,0,0,0,0,0,7.0,24,3,1,1,1,0,0,0,0,0,9,75
Max Scherzer,2022-07-05,NYM,@CIN,1,0,0,0.00,1,1,0,0,0,0,0,6.0,21,2,0,0,0,0,0,1,0,0,11,82
Max Scherzer,2022-05-18,NYM,STL,1,1,0,1.59,1,1,0,0,0,0,0,5.2,24,7,2,1,0,0,0,1,0,0,4,57
Max Scherzer,2022-05-13,NYM,SEA,1,0,0,1.29,1,1,0,0,0,0,0,7.0,26,3,1,1,0,2,0,2,0,0,6,74
Max Scherzer,2022-05-08,NYM,@PHI,1,0,1,4.50,1,1,0,0,0,0,0,6.0,26,10,3,3,1,0,0,0,0,0,7,47
Max Scherzer,2022-05-01,NYM,PHI,1,1,0,6.00,1,1,0,0,0,0,0,6.0,23,5,4,4,3,1,0,0,0,0,9,42
Max Scherzer,2022-04-25,NYM,@STL,1,0,0,0.00,1,1,0,0,0,0,0,7.0,25,2,0,0,0,1,0,0,0,0,10,85
Max Scherzer,2022-04-19,NYM,SFG,1,1,0,1.29,1,1,0,0,0,0,0,7.0,25,1,1,1,0,3,0,0,0,0,10,80
Max Scherzer,2022-04-13,NYM,@PHI,1,1,0,1.80,1,1,0,0,0,0,0,5.0,22,5,1,1,0,3,0,0,0,0,7,57
Max Scherzer,2022-04-08,NYM,@WSN,1,1,0,4.50,1,1,0,0,0,0,0,6.0,22,3,3,3,1,1,0,1,0,0,6,58
Max Scherzer,2021-09-29,LAD,SDP,1,0,0,8.44,1,1,0,0,0,0,0,5.1,27,11,6,5,2,0,0,0,0,0,4,24
Max Scherzer,2021-09-23,LAD,@COL,1,0,0,9.00,1,1,0,0,0,0,0,5.0,22,6,5,5,1,1,0,0,0,0,6,41
Max Scherzer,2021-09-18,LAD,@CIN,1,1,0,0.00,1,1,0,0,0,0,0,7.0,25,2,0,0,0,2,0,0,0,0,7,81
Max Scherzer,2021-09-12,LAD,SDP,1,1,0,0.00,1,1,0,0,0,0,0,8.0,25,1,0,0,0,0,0,0,0,0,9,95
Max Scherzer,2021-09-06,LAD,@STL,1,1,0,0.00,1,1,0,0,0,0,0,8.0,30,6,1,0,0,0,0,0,1,0,13,86
Max Scherzer,2021-09-01,LAD,ATL,1,0,0,0.00,1,1,0,0,0,0,0,6.0,21,3,0,0,0,0,0,0,0,0,9,79
Max Scherzer,2021-08-26,LAD,@SDP,1,1,0,0.00,1,1,0,0,0,0,0,7.2,26,2,0,0,0,1,0,1,0,0,10,90
Max Scherzer,2021-08-21,LAD,NYM,1,1,0,1.80,1,1,0,0,0,0,0,5.0,23,5,1,1,1,1,0,1,0,0,8,57
Max Scherzer,2021-08-15,LAD,@NYM,1,1,0,3.00,1,1,0,0,0,0,0,6.0,27,4,2,2,0,2,0,0,0,0,7,65
Max Scherzer,2021-08-10,LAD,@PHI,1,0,0,0.00,1,1,0,0,0,0,0,3.1,12,3,0,0,0,0,0,0,0,0,6,60
Max Scherzer,2021-08-04,LAD,HOU,1,1,0,2.57,1,1,0,0,0,0,0,7.0,27,5,2,2,1,1,0,0,1,0,10,68
Max Scherzer,2021-07-29,WSN,@PHI,1,1,0,1.50,1,1,0,0,0,0,0,6.0,23,3,1,1,1,3,0,1,0,0,5,60
Max Scherzer,2021-07-18,WSN,SDP,1,0,0,5.14,1,1,0,0,0,0,0,7.0,28,4,4,4,2,3,0,0,0,0,8,52
Max Scherzer,2021-07-08,WSN,@SDP,1,0,0,17.18,1,1,0,0,0,0,0,3.2,19,5,7,7,2,1,0,2,0,0,7,24
Max Scherzer,2021-07-02,WSN,LAD,1,0,0,1.50,1,1,0,0,0,0,0,6.0,22,4,1,1,1,1,0,0,0,0,8,65
Max Scherzer,2021-06-27,WSN,@MIA,1,1,0,1.50,1,1,0,0,0,0,0,6.0,26,5,1,1,0,2,0,1,0,0,7,66
Max Scherzer,2021-06-22,WSN,@PHI,1,1,0,1.80,1,1,0,0,0,0,0,5.0,21,2,1,1,1,3,0,0,0,0,8,59
Max Scherzer,2021-06-11,WSN,SFG,1,0,0,0.00,1,1,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,42
Max Scherzer,2021-06-04,WSN,@PHI,1,1,0,1.17,1,1,0,0,0,0,0,7.2,28,5,1,1,0,1,0,1,0,0,9,80
Max Scherzer,2021-05-30,WSN,MIL,1,0,1,3.00,1,1,0,0,0,0,0,6.0,21,2,2,2,1,1,0,0,0,0,10,68
Max Scherzer,2021-05-25,WSN,CIN,1,0,1,2.57,1,1,0,0,0,0,0,7.0,26,5,2,2,2,1,0,1,0,0,9,61
Max Scherzer,2021-05-19,WSN,@CHC,1,1,0,3.60,1,1,0,0,0,0,0,5.0,23,5,2,2,0,4,0,0,0,0,8,54
Max Scherzer,2021-05-14,WSN,@ARI,1,1,0,0.00,1,1,0,0,0,0,0,5.0,18,2,0,0,0,1,0,0,0,0,7,71
Max Scherzer,2021-05-08,WSN,@NYY,1,0,0,1.23,1,1,0,0,0,0,0,7.1,25,2,1,1,1,1,0,0,0,0,14,83
